;;;1;2;3;4;5;6;7;8
1;CMP;sg;Jules  ;signale ;à l' étudiant  ;que ;l' orateur ;bâille ;sérieusement ;depuis le début  .
2;CMP;sg;Paul ;apprend ;à l' électeur ;que  ;le politicien ;ment;franchement;depuis les élections  .
3;CMP;sg;Sébastien ;avoue ;à la patiente ;que  ;le calmant ;agit;progressivement;depuis un an  .
4;CMP;sg;Jérôme ;signale ;à la prisonnière ;que  ;le gardien ;vient;parfois;dans la cour  .
5;CMP;sg;Charles ;explique ;à la victime ;que  ;le traitement ;démarre;lentement;mais sûrement  .
6;CMP;sg;Benjamin ;rappelle ;à l' adolescent ;que  ;l' éducateur ;boit;souvent;depuis quelques années .
7;CMP;pl;Bernard ;rappelle ;aux joueuses ;que  ;le casino ;ferme;malheureusement;bien trop vite .
8;CMP;pl;Laure ;dit ;aux bergères ;que  ;le mouton ;bêle;stupidement;après la tonte .
9;CMP;pl;Pierre ;annonce ;aux candidates ;que  ;le jury ;délibère;fermement;après l' audition .
10;CMP;pl;Marc ;répète ;aux populations ;que  ;le malheur ;perdure;fatalement;après le drame .
11;CMP;pl;Claire ;rappelle ;aux ouvriers ;que  ;la cheminée ;fume;énormément;depuis les travaux .
12;CMP;pl;Patricia ;dit ;aux clientes ;que  ;le chapeau ;plaît;beaucoup;à cause des plumes
13;ORC;sg;Fred ;sourit;à l' enfant ;que  ;le curé ;bénit;joyeusement; après chaque messe .
14;ORC;sg;Lise ;parle ;à la femme ;que  ;le régime ;amincit;étonnamment;facilement .
15;ORC;sg;Gilles ;parle ;à la travailleuse ;que  ;l' effort ;fatigue;inexorablement;avec le temps .
16;ORC;sg;Jacques ;pense ;à la patronne ;que  ;le stress ;vieillit;prématurément;malgré les anxiolytiques .
17;ORC;sg;Patrick ;pense;à la famille;que;la fête;réunit;chaque année;pendant dix jours
18;ORC;sg;Louise ;sourit;à la gamine;que;la sorcière;inquiète;volontairement;pour Halloween .
19;ORC;pl;Aude ;plaît;aux gymnastes;que;le massage;détend;toujours;après l' entraînement .
20;ORC;pl;Luc ;pense;aux fillettes;que;le dragueur;séduit;inlassablement;depuis une heure .
21;ORC;pl;Anne ;parle;aux actrices;que;le spectateur;applaudit;frénétiquement;à chaque représentation .
22;ORC;pl;Jeanne ;parle;aux voisines;que;la sortie;excite;rarement;en fin d' année .
23;ORC;pl;Jean ;téléphone;aux avocats;que;la déception;aigrit;inévitablement;après le procès .
24;ORC;pl;Roland ;sourit;aux canailles;que;le policier;poursuit;secrètement;depuis un mois .
1;ORC;pl;Jules ;sourit;aux étudiants;que;l' orateur;endort;sérieusement;depuis le début .
2;ORC;pl;Paul ;pense;aux électeurs;que;le politicien;déçoit;franchement;depuis les élections .
3;ORC;pl;Sébastien ;sourit;aux patientes;que;le calmant;affaiblit;progressivement;depuis un an .
4;ORC;pl;Jérôme ;parle;aux prisonnières;que;le gardien;sort;parfois;dans la cour .
5;ORC;pl;Charles ;sourit;aux victimes;que;le traitement;guérit;lentement ;mais sûrement .
6;ORC;pl;Benjamin ;pense;aux adolescents;que;l' éducateur;bat;souvent;depuis quelques années .
7;ORC;sg;Bernard ;songe;à la joueuse;que;le casino;ruine;malheureusement;bien trop vite .
8;ORC;sg;Laure ;sourit;à la bergère;que;le mouton;suit;stupidement;après la tonte .
9;ORC;sg;Pierre ;téléphone;à la candidate;que;le jury;attend;fermement;après l' audition .
10;ORC;sg;Marc ;pense;à la population;que;le malheur;unit;fatalement;après le drame .
