;;;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6;groupe 7;groupe 8
12;CMP;sg;Anne; ricorda ;all'attore; che; il pubblico; ha riso; freneticamente; dopo ogni spettacolo .
1;CMP;sg;Roland; fa notare; al trasgressore; che ;il poliziotto;è intervenuto; segretamente ;per un mese .
1;CMP;pl;Roland; fa notare ;ai trasgressori;che; il poliziotto ;è intervenuto ;segretamente; per un mese . 
1;ORC;sg;Roland; sorride; al trasgressore ;che; il poliziotto; ha indagato; segretamente ;per un mese .
1;ORC;pl;Roland ;sorride; ai trasgressori; che ;il poliziotto ;ha indagato ;segretamente ;per un mese .  
2;CMP;sg;Julia; fa notare; allo studente; che ;l'oratore; sta sbadigliando; frequentemente; dall'inizio .
2;CMP;pl;Julia ;fa notare; agli studenti; che; l'oratore ;sta sbadigliando; frequentemente; dall'inizio . 
2;ORC;sg;Julia ;sorride; allo studente; che; l'oratore; ha messo a dormire ;seriamente; fin dall'inizio .
2;ORC;pl;Julia ;sorride; agli studenti; che ;l'oratore; ha fatto addormentare; seriamente ;fin dall'inizio .
3;CMP;sg;Paul ;spiega ;all'elettore ;che ;il politico ;ha mentito;chiaramente ; fin dalle elezioni . 
3;CMP;pl;Paul; spiega ;agli elettori; che ;il politico ;ha mentito;chiaramente ; fin dalle elezioni . 
3;ORC;sg;Paul ;pensa ;all'elettore ;che; il politico ;ha deluso;francamente; fin dalle elezioni . 
3;ORC;pl;Paul ;pensa ;agli elettori ;che ;il politico;ha deluso;profondamente; fin dalle elezioni .  
4;CMP;sg;Louise; ripete; alla ragazza; che; la strega; fa smorfie; di proposito; per halloween .
4;CMP;pl;Louise; ripete; alle ragazze; che; la strega ;fa smorfie; di proposito; per halloween . 
4;ORC;sg;Louise ;sorride ;alla ragazza; che; la strega; spaventa ;di proposito; per halloween . 
4;ORC;pl;Louise; sorride; alle ragazze; che; la strega; spaventa; di proposito; per halloween . 
5;CMP;sg;Laura; dice; al pastore; che ;la pecora; sta sanguinando ;stupidamente; dopo la tosatura .
5;CMP;pl;Laura ;dice; ai pastori; che; la pecora; sta sanguinando ;stupidamente ;dopo la tosatura . 
5;ORC;sg;Laura ;sorride ;al pastore ;che; la pecora ;sta seguendo ;stupidamente; dopo la tosatura . 
5;ORC;pl;Laura; sorride; ai pastori; che; la pecora; sta seguendo; stupidamente; dopo la tosatura .  
6;CMP;sg;Peter; annuncia; al candidato; che; la giuria; deliberera; fermamente; dopo l'audizione .  
6;CMP;pl;Peter; annuncia ;ai candidati; che ;la giuria; deliberera; fermamente; dopo l'audizione . 
6;ORC;sg;Peter; chiama ;il candidato; che; la giuria; aspettera; con fermezza; dopo l'audizione . 
6;ORC;pl;Peter; chiama; i candidati; che; la giuria; aspettera; con fermezza; dopo l'audizione . 
7;CMP;sg;Mark; ripete; alla popolazione; che ;l'infelicita; continua ;inevitabilmente; dopo la tragedia . 
7;CMP;pl;Mark ;ripete; alle popolazioni; che; l'infelicita ;continua ;inevitabilmente; dopo la tragedia .
7;ORC;sg;Mark ;pensa ;alla persona; che ;l'infelicita; unisce; inevitabilmente ;dopo la tragedia .  
7;ORC;pl;Mark; pensa; alle persone ;che; l'infelicita; unisce; inevitabilmente; dopo la tragedia .  
8;CMP;sg;Claire; ricorda; all'operaio; che; il caminetto; ha fumato ;molto; dopo i lavori . 
8;CMP;pl;Claire ;ricorda; agli operai; che; il caminetto; ha fumato ;molto; dopo i lavori . 
8;ORC;sg;Claire; attira; l'operaio ;che; il caminetto; ha annerito; molto ;dai lavori . 
8;ORC;pl;Claire; attira; gli operai; che; il caminetto; ha annerito; molto; dai lavori . 
9;CMP;sg;Patricia; dice; al cliente ;che ;il cappello ;è molto gradevole;a vedersi; a causa delle piume .
9;CMP;pl;Patricia ;dice; ai clienti; che ;il cappello;è molto gradevole;a vedersi; a causa delle piume .
