numero;variable;nombre;region1;region2;region3;region4;region5;region6;region7;region8
1;CMP;sg;Roland;points out to ;the offender;that;the policeman ;has been intervening;secretly;for a month.  
1;ORC;pl;Roland ;smiles to;the offenders;that;the policeman ;has been investigating;secretly;for a month.  
1;ORC;sg;Roland ;smiles to;the offender;that;the policeman ;has been investigating;secretly;for a month.  
1;CMP;pl;Roland;points out to ;the offenders;that;the policeman ;has been intervening;secretly;for a month.  
2;CMP;sg;Julia;points out to;the student ;that ;the speaker ;has been yawning;frequently;from the beginning.  
2;ORC;pl;Julia ;smiles to ;the students;that ;the speaker;has been putting to sleep ;seriously; from the beginning.
2;ORC;sg;Julia ;smiles to ;the student ;that ;the speaker ;has been putting to sleep ;seriously ;from the beginning.
2;CMP;pl;Julia;points out to;the students;that ;the speaker;has been yawning;frequently;from the beginning.  
3;CMP;sg;Paul;explains to ;the voter  ;that;the politician ;has been lying;shamelessly;since the elections.   
3;ORC;pl;Paul ;thinks of ;the voters;that;the politician ;has disappointed;deeply;since the elections.   
3;ORC;sg;Paul ;thinks of ;the voter  ;that;the politician ;has disappointed;deeply;since the elections.   
3;CMP;pl;Paul;explains to ;the voters;that;the politician ;has been lying;shamelessly;since the elections.   
4;CMP;sg;Louise;repeats to;the girl;that ;the witch;makes grimaces;on purpose ;for Halloween. 
4;ORC;pl;Louise ;smiles to ;the girls ;that ;the witch ;frightens;on purpose;for Halloween.  
4;ORC;sg;Louise ;smiles to ;the girl;that ;the witch;frightens;on purpose;for Halloween.  
4;CMP;pl;Louise;repeats to;the girls ;that ;the witch ;makes grimaces;on purpose ;for Halloween. 
5;CMP;sg;Laura;says to ;the shepherd;that;the sheep ;is bleeting ;stupidly;after the shearing.  
5;ORC;pl;Laura ;smiles to ;the shepherds ;that;the sheep ;is following;stupidly;after the shearing.  
5;ORC;sg;Laura ;smiles to ;the shepherd;that;the sheep ;is following;stupidly;after the shearing.  
5;CMP;pl;Laura;says to ;the shepherds ;that;the sheep ;is bleeting ;stupidly;after the shearing.  
