numero,variable,region,model,langue,surprisal
1,CMPsg,1,BERT,Anglais,14.272464752197266
1,CMPsg,2,BERT,Anglais,0.0017610588110983372
1,CMPsg,3,BERT,Anglais,17.00851821899414
1,CMPsg,4,BERT,Anglais,0.016569435596466064
1,CMPsg,5,BERT,Anglais,8.198657989501953
1,CMPsg,6,BERT,Anglais,21.497539520263672
1,CMPsg,7,BERT,Anglais,8.781937599182129
1,CMPsg,8,BERT,Anglais,10.90255069732666
1,ORCpl,1,BERT,Anglais,13.073391914367676
1,ORCpl,2,BERT,Anglais,7.319977760314941
1,ORCpl,3,BERT,Anglais,18.11511993408203
1,ORCpl,4,BERT,Anglais,1.590019702911377
1,ORCpl,5,BERT,Anglais,8.435934066772461
1,ORCpl,6,BERT,Anglais,7.1301398277282715
1,ORCpl,7,BERT,Anglais,16.40351104736328
1,ORCpl,8,BERT,Anglais,8.724682807922363
1,ORCsg,1,BERT,Anglais,14.77307415008545
1,ORCsg,2,BERT,Anglais,7.096548080444336
1,ORCsg,3,BERT,Anglais,18.705137252807617
1,ORCsg,4,BERT,Anglais,2.0658552646636963
1,ORCsg,5,BERT,Anglais,7.157957553863525
1,ORCsg,6,BERT,Anglais,6.150057792663574
1,ORCsg,7,BERT,Anglais,15.152132034301758
1,ORCsg,8,BERT,Anglais,9.20954418182373
1,CMPpl,1,BERT,Anglais,13.555183410644531
1,CMPpl,2,BERT,Anglais,0.005947967525571585
1,CMPpl,3,BERT,Anglais,15.880462646484375
1,CMPpl,4,BERT,Anglais,0.0222989059984684
1,CMPpl,5,BERT,Anglais,10.486067771911621
1,CMPpl,6,BERT,Anglais,21.503204345703125
1,CMPpl,7,BERT,Anglais,7.549068927764893
1,CMPpl,8,BERT,Anglais,10.591523170471191
2,CMPsg,1,BERT,Anglais,13.332174301147461
2,CMPsg,2,BERT,Anglais,0.003385836724191904
2,CMPsg,3,BERT,Anglais,12.421860694885254
2,CMPsg,4,BERT,Anglais,0.021398894488811493
2,CMPsg,5,BERT,Anglais,8.606452941894531
2,CMPsg,6,BERT,Anglais,20.171932220458984
2,CMPsg,7,BERT,Anglais,10.811665534973145
2,CMPsg,8,BERT,Anglais,12.813050270080566
2,ORCpl,1,BERT,Anglais,10.377106666564941
2,ORCpl,2,BERT,Anglais,2.38573956489563
2,ORCpl,3,BERT,Anglais,8.502240180969238
2,ORCpl,4,BERT,Anglais,1.8624998331069946
2,ORCpl,5,BERT,Anglais,9.638955116271973
2,ORCpl,6,BERT,Anglais,6.333439350128174
2,ORCpl,7,BERT,Anglais,13.357704162597656
2,ORCpl,8,BERT,Anglais,7.497695446014404
2,ORCsg,1,BERT,Anglais,9.873297691345215
2,ORCsg,2,BERT,Anglais,4.050417900085449
2,ORCsg,3,BERT,Anglais,11.479642868041992
2,ORCsg,4,BERT,Anglais,2.80892276763916
2,ORCsg,5,BERT,Anglais,10.284080505371094
2,ORCsg,6,BERT,Anglais,5.712080478668213
2,ORCsg,7,BERT,Anglais,12.805188179016113
2,ORCsg,8,BERT,Anglais,7.4913482666015625
