numero,variable,region,model,langue,surprisal
1,CMPsg,1,BERT,Français,13.708376657355828
1,CMPsg,2,BERT,Français,11.258462242062931
1,CMPsg,3,BERT,Français,12.637860858838248
1,CMPsg,4,BERT,Français,0.3353996172658419
1,CMPsg,5,BERT,Français,11.06360576063825
1,CMPsg,6,BERT,Français,17.16131300342115
1,CMPsg,7,BERT,Français,14.360469502268803
1,CMPsg,8,BERT,Français,0.4989554073760828
2,CMPsg,1,BERT,Français,7.838902108998517
2,CMPsg,2,BERT,Français,5.3322175321525505
2,CMPsg,3,BERT,Français,11.25216054044403
2,CMPsg,4,BERT,Français,0.20296330607496185
2,CMPsg,5,BERT,Français,18.834584928323316
2,CMPsg,6,BERT,Français,16.445274505429417
2,CMPsg,7,BERT,Français,22.27070475483348
2,CMPsg,8,BERT,Français,0.11845983334695245
3,CMPsg,1,BERT,Français,13.654845877738897
3,CMPsg,2,BERT,Français,14.118577272503504
3,CMPsg,3,BERT,Français,13.252242781836166
3,CMPsg,4,BERT,Français,0.16686399316948664
3,CMPsg,5,BERT,Français,9.899716395824681
3,CMPsg,6,BERT,Français,10.802188045110316
3,CMPsg,7,BERT,Français,8.267467665418271
3,CMPsg,8,BERT,Français,0.11087606512382088
4,CMPsg,1,BERT,Français,11.55371945922642
4,CMPsg,2,BERT,Français,12.268840720161423
4,CMPsg,3,BERT,Français,10.898210386527465
4,CMPsg,4,BERT,Français,0.10301624615815648
4,CMPsg,5,BERT,Français,9.676663435816074
4,CMPsg,6,BERT,Français,8.597845110038
4,CMPsg,7,BERT,Français,10.896678090645597
4,CMPsg,8,BERT,Français,0.6279829353832154
5,CMPsg,1,BERT,Français,11.998799544732305
5,CMPsg,2,BERT,Français,5.968353309601692
5,CMPsg,3,BERT,Français,11.61864531686703
5,CMPsg,4,BERT,Français,0.20084478412217133
5,CMPsg,5,BERT,Français,9.786837325407225
5,CMPsg,6,BERT,Français,14.220213127495644
5,CMPsg,7,BERT,Français,13.931670266121829
5,CMPsg,8,BERT,Français,0.10749183144119918
6,CMPsg,1,BERT,Français,15.71258351598637
6,CMPsg,2,BERT,Français,10.259571326555745
6,CMPsg,3,BERT,Français,13.765976964327953
6,CMPsg,4,BERT,Français,0.22538001354837614
6,CMPsg,5,BERT,Français,15.732366177650759
6,CMPsg,6,BERT,Français,13.140056369749887
6,CMPsg,7,BERT,Français,7.892388127471202
6,CMPsg,8,BERT,Français,0.09187954193910262
7,CMPpl,1,BERT,Français,13.489757014546989
7,CMPpl,2,BERT,Français,8.403762349037741
7,CMPpl,3,BERT,Français,16.104510602804467
7,CMPpl,4,BERT,Français,0.3147661416133903
7,CMPpl,5,BERT,Français,14.690797760230664
7,CMPpl,6,BERT,Français,12.390016250070477
7,CMPpl,7,BERT,Français,10.709180580053788
7,CMPpl,8,BERT,Français,0.17164993256982283
8,CMPpl,1,BERT,Français,12.852235327049879
8,CMPpl,2,BERT,Français,2.1588778670937008
8,CMPpl,3,BERT,Français,14.85552021205536
8,CMPpl,4,BERT,Français,0.21315269487492053
8,CMPpl,5,BERT,Français,12.853498445027716
8,CMPpl,6,BERT,Français,16.2151179823403
8,CMPpl,7,BERT,Français,17.382787025789828
8,CMPpl,8,BERT,Français,0.4727543659772874
9,CMPpl,1,BERT,Français,11.276614651208162
9,CMPpl,2,BERT,Français,7.1953515754265025
9,CMPpl,3,BERT,Français,15.386338999445861
9,CMPpl,4,BERT,Français,0.06955004305422781
9,CMPpl,5,BERT,Français,8.032560348640365
9,CMPpl,6,BERT,Français,15.377541709235247
9,CMPpl,7,BERT,Français,14.139083154554816
9,CMPpl,8,BERT,Français,0.10948475524934237
10,CMPpl,1,BERT,Français,13.294357067154104
10,CMPpl,2,BERT,Français,13.399200071037718
10,CMPpl,3,BERT,Français,15.704076259399248
10,CMPpl,4,BERT,Français,0.4516939351526177
10,CMPpl,5,BERT,Français,7.76340356440028
10,CMPpl,6,BERT,Français,15.762732990578666
10,CMPpl,7,BERT,Français,21.255060253939224
10,CMPpl,8,BERT,Français,0.1902292222801347
11,CMPpl,1,BERT,Français,15.594391452812237
11,CMPpl,2,BERT,Français,7.765175846018019
11,CMPpl,3,BERT,Français,6.384976493629389
11,CMPpl,4,BERT,Français,0.09308656527622935
11,CMPpl,5,BERT,Français,17.001198356725553
11,CMPpl,6,BERT,Français,14.815345568284618
11,CMPpl,7,BERT,Français,20.392375860442367
11,CMPpl,8,BERT,Français,0.21922747342287874
12,CMPpl,1,BERT,Français,14.999026047111096
12,CMPpl,2,BERT,Français,5.783723352083448
12,CMPpl,3,BERT,Français,15.651965649199026
12,CMPpl,4,BERT,Français,0.503378048618275
12,CMPpl,5,BERT,Français,14.6967294207883
12,CMPpl,6,BERT,Français,14.465010059372684
12,CMPpl,7,BERT,Français,8.0090272621713
12,CMPpl,8,BERT,Français,15.378328946248807
13,ORCsg,1,BERT,Français,16.873920081796562
13,ORCsg,2,BERT,Français,13.480557385436306
13,ORCsg,3,BERT,Français,8.583582441286486
13,ORCsg,4,BERT,Français,3.4903589567963422
13,ORCsg,5,BERT,Français,3.174770129556086
13,ORCsg,6,BERT,Français,12.74754577093729
13,ORCsg,7,BERT,Français,11.613883591263006
13,ORCsg,8,BERT,Français,0.1401432654378862
14,ORCsg,1,BERT,Français,15.239295988822287
14,ORCsg,2,BERT,Français,13.652242263950203
14,ORCsg,3,BERT,Français,8.075898363264239
14,ORCsg,4,BERT,Français,1.2173709501652843
14,ORCsg,5,BERT,Français,13.755757690415066
14,ORCsg,6,BERT,Français,20.699088631843622
14,ORCsg,7,BERT,Français,14.910156133044573
14,ORCsg,8,BERT,Français,0.2867803746338515
15,ORCsg,1,BERT,Français,17.29287492813751
15,ORCsg,2,BERT,Français,10.181208767709279
15,ORCsg,3,BERT,Français,17.714092117297298
15,ORCsg,4,BERT,Français,0.9874642861656957
15,ORCsg,5,BERT,Français,11.901997001230848
15,ORCsg,6,BERT,Français,22.66152746692245
15,ORCsg,7,BERT,Français,15.089701937843309
15,ORCsg,8,BERT,Français,0.10860453304778038
16,ORCsg,1,BERT,Français,10.935086232645244
16,ORCsg,2,BERT,Français,8.463830939051338
16,ORCsg,3,BERT,Français,17.858510551644947
16,ORCsg,4,BERT,Français,3.355914114724372
16,ORCsg,5,BERT,Français,10.125631135817791
16,ORCsg,6,BERT,Français,13.699956957629453
16,ORCsg,7,BERT,Français,18.130076940663578
16,ORCsg,8,BERT,Français,0.13829523089927107
17,ORCsg,1,BERT,Français,13.073651788483854
17,ORCsg,2,BERT,Français,13.728506338359038
17,ORCsg,3,BERT,Français,6.744412222844949
17,ORCsg,4,BERT,Français,2.3413866582807157
