numero,variable,region,model,langue,surprisal
1,CMPsg,1,BERT,Français,16.625683358618186
1,CMPsg,2,BERT,Français,12.315894657004947
1,CMPsg,3,BERT,Français,10.546700475156024
1,CMPsg,4,BERT,Français,4.945295831737
1,CMPsg,5,BERT,Français,13.296075415954936
1,CMPsg,6,BERT,Français,20.4697045249212
1,CMPsg,7,BERT,Français,9.523654641559666
1,CMPsg,8,BERT,Français,11.359600368720306
2,CMPsg,1,BERT,Français,18.25155191553902
2,CMPsg,2,BERT,Français,11.927119141860173
2,CMPsg,3,BERT,Français,11.750490389832297
2,CMPsg,4,BERT,Français,4.343514797860324
2,CMPsg,5,BERT,Français,10.580643865290016
2,CMPsg,6,BERT,Français,11.475128220647973
2,CMPsg,7,BERT,Français,13.763790727365118
2,CMPsg,8,BERT,Français,17.57239942273884
3,CMPsg,1,BERT,Français,18.158095756371598
3,CMPsg,2,BERT,Français,13.516344846178534
3,CMPsg,3,BERT,Français,11.646722174900564
3,CMPsg,4,BERT,Français,5.698774275404396
3,CMPsg,5,BERT,Français,14.868578043878793
3,CMPsg,6,BERT,Français,8.269100586728465
3,CMPsg,7,BERT,Français,12.414766709346141
3,CMPsg,8,BERT,Français,10.43682456318287
4,CMPsg,1,BERT,Français,19.13933193736101
4,CMPsg,2,BERT,Français,13.635049028453912
4,CMPsg,3,BERT,Français,17.109531234333296
4,CMPsg,4,BERT,Français,4.4555741359644845
4,CMPsg,5,BERT,Français,14.002385478651691
4,CMPsg,6,BERT,Français,9.0322073439148
4,CMPsg,7,BERT,Français,6.949785652836786
4,CMPsg,8,BERT,Français,11.440243546252411
5,CMPsg,1,BERT,Français,17.03786589904632
5,CMPsg,2,BERT,Français,8.457306983849259
5,CMPsg,3,BERT,Français,11.456782166449152
5,CMPsg,4,BERT,Français,2.361132271776955
5,CMPsg,5,BERT,Français,6.656417921510374
5,CMPsg,6,BERT,Français,8.501369761233027
5,CMPsg,7,BERT,Français,7.707548748023812
5,CMPsg,8,BERT,Français,11.59849350269044
6,CMPsg,1,BERT,Français,18.801287295822448
6,CMPsg,2,BERT,Français,11.15331174862416
6,CMPsg,3,BERT,Français,12.18409950973766
6,CMPsg,4,BERT,Français,5.619857501044491
6,CMPsg,5,BERT,Français,13.004316335723367
6,CMPsg,6,BERT,Français,12.462398379502613
6,CMPsg,7,BERT,Français,6.955042804684546
6,CMPsg,8,BERT,Français,16.447965015216234
7,CMPpl,1,BERT,Français,13.042088415161377
7,CMPpl,2,BERT,Français,6.909179112586159
7,CMPpl,3,BERT,Français,10.962266558861055
7,CMPpl,4,BERT,Français,1.967857222269316
7,CMPpl,5,BERT,Français,13.956526250067185
7,CMPpl,6,BERT,Français,6.397312573698561
7,CMPpl,7,BERT,Français,10.546825589197923
7,CMPpl,8,BERT,Français,9.546532040555702
8,CMPpl,1,BERT,Français,19.69418149116835
8,CMPpl,2,BERT,Français,7.9919433091299386
8,CMPpl,3,BERT,Français,13.410745470304017
8,CMPpl,4,BERT,Français,9.619349229232071
8,CMPpl,5,BERT,Français,12.301227094776705
8,CMPpl,6,BERT,Français,13.215838353580502
8,CMPpl,7,BERT,Français,20.74774603127588
8,CMPpl,8,BERT,Français,19.179144905473162
9,CMPpl,1,BERT,Français,17.50698712150113
9,CMPpl,2,BERT,Français,9.18637819734945
9,CMPpl,3,BERT,Français,12.533496803642214
9,CMPpl,4,BERT,Français,7.479550366400163
9,CMPpl,5,BERT,Français,7.261605868704639
9,CMPpl,6,BERT,Français,8.665000902978694
9,CMPpl,7,BERT,Français,11.737665245895737
9,CMPpl,8,BERT,Français,14.308787464642949
10,CMPpl,1,BERT,Français,18.801620757829344
10,CMPpl,2,BERT,Français,14.188355237275516
10,CMPpl,3,BERT,Français,12.802105126892794
10,CMPpl,4,BERT,Français,3.672277697046496
10,CMPpl,5,BERT,Français,11.714748780987518
10,CMPpl,6,BERT,Français,9.114490546459741
10,CMPpl,7,BERT,Français,21.063600728076015
10,CMPpl,8,BERT,Français,14.433908440149471
11,CMPpl,1,BERT,Français,18.372861360139012
11,CMPpl,2,BERT,Français,7.422252756465416
11,CMPpl,3,BERT,Français,11.415317514206958
11,CMPpl,4,BERT,Français,2.5409588035338526
11,CMPpl,5,BERT,Français,5.7516072308418735
11,CMPpl,6,BERT,Français,8.489105716748425
11,CMPpl,7,BERT,Français,10.096076517110895
11,CMPpl,8,BERT,Français,11.89785511931307
12,CMPpl,1,BERT,Français,19.471436793248802
12,CMPpl,2,BERT,Français,12.272809195954082
12,CMPpl,3,BERT,Français,18.539620974293413
12,CMPpl,4,BERT,Français,9.19671244665272
12,CMPpl,5,BERT,Français,17.342117126672893
12,CMPpl,6,BERT,Français,19.056031439000314
12,CMPpl,7,BERT,Français,11.180939985680723
12,CMPpl,8,BERT,Français,18.073528629632893
13,ORCsg,1,BERT,Français,19.02019201849633
13,ORCsg,2,BERT,Français,10.549500297302027
13,ORCsg,3,BERT,Français,7.729130254994781
13,ORCsg,4,BERT,Français,8.579308314603516
13,ORCsg,5,BERT,Français,6.04010495807307
13,ORCsg,6,BERT,Français,14.906070074030895
13,ORCsg,7,BERT,Français,10.691866122314098
13,ORCsg,8,BERT,Français,14.030254188253707
14,ORCsg,1,BERT,Français,16.62671942738866
14,ORCsg,2,BERT,Français,11.607204118937243
14,ORCsg,3,BERT,Français,6.956713164953871
14,ORCsg,4,BERT,Français,10.081026516109265
14,ORCsg,5,BERT,Français,12.646780201005686
14,ORCsg,6,BERT,Français,15.62477160732057
14,ORCsg,7,BERT,Français,12.186581837215016
14,ORCsg,8,BERT,Français,14.115979881280332
15,ORCsg,1,BERT,Français,18.96747295175372
15,ORCsg,2,BERT,Français,11.326204196020583
15,ORCsg,3,BERT,Français,18.959145431945455
15,ORCsg,4,BERT,Français,6.623862552059896
15,ORCsg,5,BERT,Français,14.803816186543791
15,ORCsg,6,BERT,Français,12.66987693013985
15,ORCsg,7,BERT,Français,14.25961178340321
15,ORCsg,8,BERT,Français,15.011669743940764
16,ORCsg,1,BERT,Français,15.960174796408847
