numero,variable,region,model,langue,surprisal
12,CMPsg,1,BERT,Italien,14.954275131225586
12,CMPsg,2,BERT,Italien,8.837838172912598
12,CMPsg,3,BERT,Italien,20.65007209777832
12,CMPsg,4,BERT,Italien,0.14471593499183655
12,CMPsg,5,BERT,Italien,0.5717381238937378
12,CMPsg,6,BERT,Italien,5.314614295959473
12,CMPsg,7,BERT,Italien,26.95265007019043
12,CMPsg,8,BERT,Italien,0.03290903940796852
1,CMPsg,1,BERT,Italien,13.110018730163574
1,CMPsg,2,BERT,Italien,0.9554869532585144
1,CMPsg,3,BERT,Italien,26.061540603637695
1,CMPsg,4,BERT,Italien,0.004799583461135626
1,CMPsg,5,BERT,Italien,3.202810287475586
1,CMPsg,6,BERT,Italien,15.96766185760498
1,CMPsg,7,BERT,Italien,12.834268569946289
1,CMPsg,8,BERT,Italien,0.01891409605741501
1,CMPpl,1,BERT,Italien,13.14782428741455
1,CMPpl,2,BERT,Italien,1.4321396350860596
1,CMPpl,3,BERT,Italien,28.42916488647461
1,CMPpl,4,BERT,Italien,0.005219990387558937
1,CMPpl,5,BERT,Italien,4.598568439483643
1,CMPpl,6,BERT,Italien,16.790084838867188
1,CMPpl,7,BERT,Italien,13.153865814208984
1,CMPpl,8,BERT,Italien,0.01881207525730133
1,ORCsg,1,BERT,Italien,14.85387897491455
1,ORCsg,2,BERT,Italien,22.87226104736328
1,ORCsg,3,BERT,Italien,30.316974639892578
1,ORCsg,4,BERT,Italien,3.506120443344116
1,ORCsg,5,BERT,Italien,4.173364639282227
1,ORCsg,6,BERT,Italien,19.382896423339844
1,ORCsg,7,BERT,Italien,8.861804962158203
1,ORCsg,8,BERT,Italien,0.05066537857055664
1,ORCpl,1,BERT,Italien,15.462248802185059
1,ORCpl,2,BERT,Italien,22.795665740966797
1,ORCpl,3,BERT,Italien,27.071245193481445
1,ORCpl,4,BERT,Italien,3.678723096847534
1,ORCpl,5,BERT,Italien,6.322503566741943
1,ORCpl,6,BERT,Italien,20.62331199645996
1,ORCpl,7,BERT,Italien,8.127702713012695
1,ORCpl,8,BERT,Italien,0.052904512733221054
2,CMPsg,1,BERT,Italien,13.538379669189453
2,CMPsg,2,BERT,Italien,0.4827893376350403
2,CMPsg,3,BERT,Italien,4.75599479675293
2,CMPsg,4,BERT,Italien,0.013230829499661922
2,CMPsg,5,BERT,Italien,13.098494529724121
2,CMPsg,6,BERT,Italien,22.486616134643555
2,CMPsg,7,BERT,Italien,24.954681396484375
2,CMPsg,8,BERT,Italien,0.047258395701646805
2,CMPpl,1,BERT,Italien,13.62220573425293
2,CMPpl,2,BERT,Italien,0.5771351456642151
2,CMPpl,3,BERT,Italien,3.0549612045288086
2,CMPpl,4,BERT,Italien,0.019090451300144196
2,CMPpl,5,BERT,Italien,15.31214714050293
2,CMPpl,6,BERT,Italien,22.42345428466797
2,CMPpl,7,BERT,Italien,24.481050491333008
2,CMPpl,8,BERT,Italien,0.04393373057246208
2,ORCsg,1,BERT,Italien,10.79584789276123
2,ORCsg,2,BERT,Italien,20.12318992614746
2,ORCsg,3,BERT,Italien,5.291295051574707
2,ORCsg,4,BERT,Italien,0.3412639796733856
2,ORCsg,5,BERT,Italien,11.010941505432129
2,ORCsg,6,BERT,Italien,12.692849159240723
2,ORCsg,7,BERT,Italien,12.846148490905762
2,ORCsg,8,BERT,Italien,0.057262957096099854
2,ORCpl,1,BERT,Italien,11.847674369812012
2,ORCpl,2,BERT,Italien,20.075632095336914
2,ORCpl,3,BERT,Italien,5.495870113372803
2,ORCpl,4,BERT,Italien,1.4307725429534912
2,ORCpl,5,BERT,Italien,8.461743354797363
2,ORCpl,6,BERT,Italien,22.886568069458008
2,ORCpl,7,BERT,Italien,14.153239250183105
2,ORCpl,8,BERT,Italien,0.05791572108864784
3,CMPsg,1,BERT,Italien,15.026142120361328
3,CMPsg,2,BERT,Italien,3.7018940448760986
3,CMPsg,3,BERT,Italien,18.762435913085938
3,CMPsg,4,BERT,Italien,0.13218039274215698
3,CMPsg,5,BERT,Italien,7.179737091064453
3,CMPsg,6,BERT,Italien,7.431166648864746
3,CMPsg,7,BERT,Italien,7.774911880493164
3,CMPsg,8,BERT,Italien,0.027170835062861443
3,CMPpl,1,BERT,Italien,14.358284950256348
3,CMPpl,2,BERT,Italien,3.5419652462005615
3,CMPpl,3,BERT,Italien,2.8285648822784424
3,CMPpl,4,BERT,Italien,0.1680731177330017
3,CMPpl,5,BERT,Italien,8.5712308883667
3,CMPpl,6,BERT,Italien,8.650091171264648
3,CMPpl,7,BERT,Italien,7.573793888092041
3,CMPpl,8,BERT,Italien,0.051795609295368195
3,ORCsg,1,BERT,Italien,17.790122985839844
3,ORCsg,2,BERT,Italien,13.669561386108398
3,ORCsg,3,BERT,Italien,18.797901153564453
3,ORCsg,4,BERT,Italien,1.3631731271743774
3,ORCsg,5,BERT,Italien,8.260379791259766
3,ORCsg,6,BERT,Italien,8.043161392211914
3,ORCsg,7,BERT,Italien,19.198612213134766
3,ORCsg,8,BERT,Italien,0.06857579946517944
3,ORCpl,1,BERT,Italien,16.98856544494629
3,ORCpl,2,BERT,Italien,14.390731811523438
3,ORCpl,3,BERT,Italien,0.20224566757678986
3,ORCpl,4,BERT,Italien,0.6897035837173462
3,ORCpl,5,BERT,Italien,9.612914085388184
3,ORCpl,6,BERT,Italien,3.9317750930786133
3,ORCpl,7,BERT,Italien,4.2690253257751465
3,ORCpl,8,BERT,Italien,0.061436913907527924
4,CMPsg,1,BERT,Italien,13.251462936401367
4,CMPsg,2,BERT,Italien,9.383885383605957
4,CMPsg,3,BERT,Italien,2.6235318183898926
4,CMPsg,4,BERT,Italien,0.05584505945444107
4,CMPsg,5,BERT,Italien,6.120058059692383
4,CMPsg,6,BERT,Italien,22.485183715820312
4,CMPsg,7,BERT,Italien,12.123348236083984
4,CMPsg,8,BERT,Italien,0.14533750712871552
4,CMPpl,1,BERT,Italien,13.970853805541992
4,CMPpl,2,BERT,Italien,8.243945121765137
4,CMPpl,3,BERT,Italien,1.8960120677947998
4,CMPpl,4,BERT,Italien,0.05776606500148773
4,CMPpl,5,BERT,Italien,6.0410075187683105
4,CMPpl,6,BERT,Italien,22.60585594177246
4,CMPpl,7,BERT,Italien,12.423129081726074
