numero,variable,region,model,langue,surprisal
12,CMPsg,1,BERT,italien,16.353745422417273
12,CMPsg,2,BERT,italien,16.589445004682027
12,CMPsg,3,BERT,italien,14.643386167895514
12,CMPsg,4,BERT,italien,0.17701681301939004
12,CMPsg,5,BERT,italien,6.15800988343436
12,CMPsg,6,BERT,italien,10.01193079029503
12,CMPsg,7,BERT,italien,18.177029451278877
12,CMPsg,8,BERT,italien,0.15979709391272087
1,CMPsg,1,BERT,italien,13.582260648101949
1,CMPsg,2,BERT,italien,5.940915023886168
1,CMPsg,3,BERT,italien,20.04828396838402
1,CMPsg,4,BERT,italien,0.22064663592139008
1,CMPsg,5,BERT,italien,11.769145884398192
1,CMPsg,6,BERT,italien,13.561751806215995
1,CMPsg,7,BERT,italien,18.13667718602992
1,CMPsg,8,BERT,italien,0.16736287680575537
1,CMPpl,1,BERT,italien,13.6874614145495
1,CMPpl,2,BERT,italien,5.823825785403153
1,CMPpl,3,BERT,italien,18.426856964129787
1,CMPpl,4,BERT,italien,0.200542575437355
1,CMPpl,5,BERT,italien,11.367859878427018
1,CMPpl,6,BERT,italien,13.725543925233849
1,CMPpl,7,BERT,italien,18.3330919846609
1,CMPpl,8,BERT,italien,0.1756842924868028
1,ORCsg,1,BERT,italien,13.448745284717662
1,ORCsg,2,BERT,italien,14.475217393927409
1,ORCsg,3,BERT,italien,19.051468431989782
1,ORCsg,4,BERT,italien,1.549611683338647
1,ORCsg,5,BERT,italien,9.773026950755382
1,ORCsg,6,BERT,italien,14.093437538740783
1,ORCsg,7,BERT,italien,18.64056851856468
1,ORCsg,8,BERT,italien,0.22630147497621234
1,ORCpl,1,BERT,italien,13.666785401416256
1,ORCpl,2,BERT,italien,13.741416858360152
1,ORCpl,3,BERT,italien,15.26339306863656
1,ORCpl,4,BERT,italien,2.00599278215149
1,ORCpl,5,BERT,italien,9.69927445820179
1,ORCpl,6,BERT,italien,14.94056938472617
1,ORCpl,7,BERT,italien,18.70427043523034
1,ORCpl,8,BERT,italien,0.24461065058003664
2,CMPsg,1,BERT,italien,14.116265815713817
2,CMPsg,2,BERT,italien,2.8153156071127032
2,CMPsg,3,BERT,italien,8.318419704600746
2,CMPsg,4,BERT,italien,0.13461229012735498
2,CMPsg,5,BERT,italien,12.299508635070369
2,CMPsg,6,BERT,italien,16.143193424472237
2,CMPsg,7,BERT,italien,15.420242243027166
2,CMPsg,8,BERT,italien,0.24340265353635873
2,CMPpl,1,BERT,italien,15.073598849702634
2,CMPpl,2,BERT,italien,2.985880236905994
2,CMPpl,3,BERT,italien,4.6211369663861
2,CMPpl,4,BERT,italien,0.14542624158751163
2,CMPpl,5,BERT,italien,14.311203639024765
2,CMPpl,6,BERT,italien,16.676579730059185
2,CMPpl,7,BERT,italien,14.76632459508131
2,CMPpl,8,BERT,italien,0.20565840727663998
2,ORCsg,1,BERT,italien,11.506504265947472
2,ORCsg,2,BERT,italien,13.770143659681578
2,ORCsg,3,BERT,italien,7.408597500109057
2,ORCsg,4,BERT,italien,1.0729068425175785
2,ORCsg,5,BERT,italien,6.1845510308324325
2,ORCsg,6,BERT,italien,13.73609399145962
2,ORCsg,7,BERT,italien,20.403291676496757
2,ORCsg,8,BERT,italien,0.40358762038134616
2,ORCpl,1,BERT,italien,13.738970670735725
2,ORCpl,2,BERT,italien,14.907010483246266
2,ORCpl,3,BERT,italien,6.641449264574359
2,ORCpl,4,BERT,italien,0.7167026195537324
2,ORCpl,5,BERT,italien,8.84329565539208
2,ORCpl,6,BERT,italien,17.54941660610808
2,ORCpl,7,BERT,italien,22.70235014038654
2,ORCpl,8,BERT,italien,0.46424123193497685
3,CMPsg,1,BERT,italien,11.200031791026943
3,CMPsg,2,BERT,italien,13.60771219129973
3,CMPsg,3,BERT,italien,14.104992634665894
3,CMPsg,4,BERT,italien,0.16861688193956914
3,CMPsg,5,BERT,italien,11.442905861698573
3,CMPsg,6,BERT,italien,17.691754861337323
3,CMPsg,7,BERT,italien,12.72011174972516
3,CMPsg,8,BERT,italien,0.2036159376956712
3,CMPpl,1,BERT,italien,10.823831265071087
3,CMPpl,2,BERT,italien,14.22443432514629
3,CMPpl,3,BERT,italien,15.813628798452266
3,CMPpl,4,BERT,italien,0.1357497050288417
3,CMPpl,5,BERT,italien,11.138555426265688
3,CMPpl,6,BERT,italien,17.3710526941491
3,CMPpl,7,BERT,italien,12.711101125499907
3,CMPpl,8,BERT,italien,0.16740082876070284
3,ORCsg,1,BERT,italien,13.559661794747186
3,ORCsg,2,BERT,italien,8.885786323405775
3,ORCsg,3,BERT,italien,15.74744875501564
3,ORCsg,4,BERT,italien,1.6653921304066592
3,ORCsg,5,BERT,italien,9.96281888560805
3,ORCsg,6,BERT,italien,15.42663757526575
3,ORCsg,7,BERT,italien,20.313229348426777
3,ORCsg,8,BERT,italien,0.25118997511336694
3,ORCpl,1,BERT,italien,12.40398909556702
3,ORCpl,2,BERT,italien,9.428050779029952
3,ORCpl,3,BERT,italien,14.580737618792837
3,ORCpl,4,BERT,italien,0.5995173873511922
3,ORCpl,5,BERT,italien,10.359155905828286
3,ORCpl,6,BERT,italien,14.905087281142979
3,ORCpl,7,BERT,italien,16.41258195811281
3,ORCpl,8,BERT,italien,0.18746757928995594
4,CMPsg,1,BERT,italien,16.26245225883893
4,CMPsg,2,BERT,italien,10.95675689318159
4,CMPsg,3,BERT,italien,5.005960315192805
4,CMPsg,4,BERT,italien,1.3988510577825142
4,CMPsg,5,BERT,italien,14.433395083610762
4,CMPsg,6,BERT,italien,17.06227858134028
4,CMPsg,7,BERT,italien,17.255337356731324
4,CMPsg,8,BERT,italien,0.25714496182927776
4,CMPpl,1,BERT,italien,14.981892549516814
4,CMPpl,2,BERT,italien,10.248041058707994
4,CMPpl,3,BERT,italien,5.154281311005263
4,CMPpl,4,BERT,italien,3.0189178431224044
4,CMPpl,5,BERT,italien,14.958188305531884
4,CMPpl,6,BERT,italien,17.179332920779107
4,CMPpl,7,BERT,italien,17.49149021020907
4,CMPpl,8,BERT,italien,0.31031430624720757
4,ORCsg,1,BERT,italien,16.283651812537226
4,ORCsg,2,BERT,italien,15.862340730914532
4,ORCsg,3,BERT,italien,5.224828805860777
4,ORCsg,4,BERT,italien,3.80642816880192
4,ORCsg,5,BERT,italien,14.56384662942595
4,ORCsg,6,BERT,italien,12.08841033601812
4,ORCsg,7,BERT,italien,15.533258594040849
4,ORCsg,8,BERT,italien,0.24433977656059477
4,ORCpl,1,BERT,italien,15.473105611677516
4,ORCpl,2,BERT,italien,14.841940009852092
4,ORCpl,3,BERT,italien,5.9452057571280825
4,ORCpl,4,BERT,italien,5.005535289936231
4,ORCpl,5,BERT,italien,15.22323576973441
4,ORCpl,6,BERT,italien,12.633482743512575
4,ORCpl,7,BERT,italien,15.669130295040844
4,ORCpl,8,BERT,italien,0.3065171900302747
5,CMPsg,1,BERT,italien,13.394441810961919
5,CMPsg,2,BERT,italien,3.440528496936605
5,CMPsg,3,BERT,italien,11.576425609115269
5,CMPsg,4,BERT,italien,0.1560622767829227
5,CMPsg,5,BERT,italien,13.30878661252681
5,CMPsg,6,BERT,italien,15.819747991243274
5,CMPsg,7,BERT,italien,18.463961404042905
5,CMPsg,8,BERT,italien,0.35088473948370447
5,CMPpl,1,BERT,italien,12.756999376372907
5,CMPpl,2,BERT,italien,4.033477298019497
5,CMPpl,3,BERT,italien,14.735603790532238
5,CMPpl,4,BERT,italien,0.12378172234167997
5,CMPpl,5,BERT,italien,13.301128451414247
5,CMPpl,6,BERT,italien,16.127945818737295
5,CMPpl,7,BERT,italien,18.456237365760465
5,CMPpl,8,BERT,italien,0.3440284681086641
5,ORCsg,1,BERT,italien,8.703766836922096
5,ORCsg,2,BERT,italien,13.249915001964823
5,ORCsg,3,BERT,italien,13.987453033556017
5,ORCsg,4,BERT,italien,0.5623672863414868
5,ORCsg,5,BERT,italien,13.939515976806584
5,ORCsg,6,BERT,italien,11.240732296965891
5,ORCsg,7,BERT,italien,18.168113216701343
5,ORCsg,8,BERT,italien,0.3130092686347114
5,ORCpl,1,BERT,italien,8.44358153534791
5,ORCpl,2,BERT,italien,13.910965971793354
5,ORCpl,3,BERT,italien,15.902379810258253
5,ORCpl,4,BERT,italien,0.3409060564384204
5,ORCpl,5,BERT,italien,14.184089544841223
5,ORCpl,6,BERT,italien,11.025990905846133
5,ORCpl,7,BERT,italien,18.222343951706897
5,ORCpl,8,BERT,italien,0.32022720061595294
6,CMPsg,1,BERT,italien,10.484724259957286
6,CMPsg,2,BERT,italien,14.62536284034964
6,CMPsg,3,BERT,italien,11.88970531808901
6,CMPsg,4,BERT,italien,0.3939016290368337
