numero;variable;region;model;langue;surprisal
1;ORCpl;1;BERT;Anglais;13.073391914367676
1;ORCpl;2;BERT;Anglais;7.319977760314941
1;ORCpl;3;BERT;Anglais;18.11511993408203
1;ORCpl;4;BERT;Anglais;1.590019702911377
1;ORCpl;5;BERT;Anglais;8.435934066772461
1;ORCpl;6;BERT;Anglais;7.1301398277282715
1;ORCpl;7;BERT;Anglais;16.40351104736328
1;ORCpl;8;BERT;Anglais;8.724682807922363
1;ORCsg;1;BERT;Anglais;14.77307415008545
1;ORCsg;2;BERT;Anglais;7.096548080444336
1;ORCsg;3;BERT;Anglais;18.705137252807617
1;ORCsg;4;BERT;Anglais;2.0658552646636963
1;ORCsg;5;BERT;Anglais;7.157957553863525
1;ORCsg;6;BERT;Anglais;6.150057792663574
1;ORCsg;7;BERT;Anglais;15.152132034301758
1;ORCsg;8;BERT;Anglais;9.20954418182373
2;ORCpl;1;BERT;Anglais;10.377106666564941
2;ORCpl;2;BERT;Anglais;2.38573956489563
2;ORCpl;3;BERT;Anglais;8.502240180969238
2;ORCpl;4;BERT;Anglais;1.8624998331069946
2;ORCpl;5;BERT;Anglais;9.638955116271973
2;ORCpl;6;BERT;Anglais;6.333439350128174
2;ORCpl;7;BERT;Anglais;13.357704162597656
2;ORCpl;8;BERT;Anglais;7.497695446014404
2;ORCsg;1;BERT;Anglais;9.873297691345215
2;ORCsg;2;BERT;Anglais;4.050417900085449
2;ORCsg;3;BERT;Anglais;11.479642868041992
2;ORCsg;4;BERT;Anglais;2.80892276763916
2;ORCsg;5;BERT;Anglais;10.284080505371094
2;ORCsg;6;BERT;Anglais;5.712080478668213
2;ORCsg;7;BERT;Anglais;12.805188179016113
2;ORCsg;8;BERT;Anglais;7.4913482666015625
3;ORCpl;1;BERT;Anglais;10.676666259765625
3;ORCpl;2;BERT;Anglais;2.3701577186584473
3;ORCpl;3;BERT;Anglais;9.341552734375
3;ORCpl;4;BERT;Anglais;1.260169506072998
3;ORCpl;5;BERT;Anglais;11.717693328857422
3;ORCpl;6;BERT;Anglais;4.850064277648926
3;ORCpl;7;BERT;Anglais;9.103246688842773
3;ORCpl;8;BERT;Anglais;16.401958465576172
3;ORCsg;1;BERT;Anglais;10.65986156463623
3;ORCsg;2;BERT;Anglais;1.270288348197937
3;ORCsg;3;BERT;Anglais;15.4823579788208
3;ORCsg;4;BERT;Anglais;1.6372720003128052
3;ORCsg;5;BERT;Anglais;8.131400108337402
3;ORCsg;6;BERT;Anglais;5.581794738769531
3;ORCsg;7;BERT;Anglais;6.700516223907471
3;ORCsg;8;BERT;Anglais;16.531370162963867
4;ORCpl;1;BERT;Anglais;10.92846965789795
4;ORCpl;2;BERT;Anglais;3.095797538757324
4;ORCpl;3;BERT;Anglais;6.414161682128906
4;ORCpl;4;BERT;Anglais;1.5174038410186768
4;ORCpl;5;BERT;Anglais;6.987692356109619
4;ORCpl;6;BERT;Anglais;19.015743255615234
4;ORCpl;7;BERT;Anglais;7.893945693969727
4;ORCpl;8;BERT;Anglais;23.061620712280273
4;ORCsg;1;BERT;Anglais;12.71364974975586
4;ORCsg;2;BERT;Anglais;3.724003553390503
4;ORCsg;3;BERT;Anglais;5.800848960876465
4;ORCsg;4;BERT;Anglais;1.7081812620162964
4;ORCsg;5;BERT;Anglais;6.358351230621338
4;ORCsg;6;BERT;Anglais;18.27994155883789
4;ORCsg;7;BERT;Anglais;7.26507043838501
4;ORCsg;8;BERT;Anglais;29.758604049682617
5;ORCpl;1;BERT;Anglais;11.034597396850586
5;ORCpl;2;BERT;Anglais;2.8324191570281982
5;ORCpl;3;BERT;Anglais;15.032326698303223
5;ORCpl;4;BERT;Anglais;2.9849700927734375
5;ORCpl;5;BERT;Anglais;0.5765962600708008
