numero,variable,region,model,langue,surprisal
1,ORCplGap,1,BERT,Anglais,13.073391914367676
1,ORCplGap,2,BERT,Anglais,7.319977760314941
1,ORCplGap,3,BERT,Anglais,18.11511993408203
1,ORCplGap,4,BERT,Anglais,1.590019702911377
1,ORCplGap,5,BERT,Anglais,8.435934066772461
1,ORCplGap,6,BERT,Anglais,7.1301398277282715
1,ORCplGap,8,BERT,Anglais,16.40351104736328
1,ORCplGap,9,BERT,Anglais,8.724682807922363
1,ORCsgGap,1,BERT,Anglais,14.77307415008545
1,ORCsgGap,2,BERT,Anglais,7.096548080444336
1,ORCsgGap,3,BERT,Anglais,18.705137252807617
1,ORCsgGap,4,BERT,Anglais,2.0658552646636963
1,ORCsgGap,5,BERT,Anglais,7.157957553863525
1,ORCsgGap,6,BERT,Anglais,6.150057792663574
1,ORCsgGap,8,BERT,Anglais,15.152132034301758
1,ORCsgGap,9,BERT,Anglais,9.20954418182373
2,ORCplGap,1,BERT,Anglais,10.377106666564941
2,ORCplGap,2,BERT,Anglais,2.38573956489563
2,ORCplGap,3,BERT,Anglais,8.502240180969238
2,ORCplGap,4,BERT,Anglais,1.8624998331069946
2,ORCplGap,5,BERT,Anglais,9.638955116271973
2,ORCplGap,6,BERT,Anglais,6.333439350128174
2,ORCplGap,8,BERT,Anglais,13.357704162597656
2,ORCplGap,9,BERT,Anglais,7.497695446014404
2,ORCsgGap,1,BERT,Anglais,9.873297691345215
2,ORCsgGap,2,BERT,Anglais,4.050417900085449
2,ORCsgGap,3,BERT,Anglais,11.479642868041992
2,ORCsgGap,4,BERT,Anglais,2.80892276763916
2,ORCsgGap,5,BERT,Anglais,10.284080505371094
2,ORCsgGap,6,BERT,Anglais,5.712080478668213
2,ORCsgGap,8,BERT,Anglais,12.805188179016113
2,ORCsgGap,9,BERT,Anglais,7.4913482666015625
3,ORCplGap,1,BERT,Anglais,10.676666259765625
3,ORCplGap,2,BERT,Anglais,2.3701577186584473
3,ORCplGap,3,BERT,Anglais,9.341552734375
3,ORCplGap,4,BERT,Anglais,1.260169506072998
3,ORCplGap,5,BERT,Anglais,11.717693328857422
3,ORCplGap,6,BERT,Anglais,4.850064277648926
3,ORCplGap,8,BERT,Anglais,9.103246688842773
3,ORCplGap,9,BERT,Anglais,16.401958465576172
3,ORCsgGap,1,BERT,Anglais,10.65986156463623
3,ORCsgGap,2,BERT,Anglais,1.270288348197937
