numero,variable,region,model,langue,surprisal
1,ORCpl,1,BERT,Anglais,13.433643341064453
1,ORCpl,2,BERT,Anglais,4.615691184997559
1,ORCpl,3,BERT,Anglais,18.319902420043945
1,ORCpl,4,BERT,Anglais,2.1095492839813232
1,ORCpl,5,BERT,Anglais,8.685853004455566
1,ORCpl,6,BERT,Anglais,7.520906925201416
1,ORCpl,7,BERT,Anglais,3.8902735710144043
1,ORCpl,8,BERT,Anglais,6.858305931091309
1,ORCpl,9,BERT,Anglais,7.979375839233398
1,ORCsg,1,BERT,Anglais,14.769073486328125
1,ORCsg,2,BERT,Anglais,5.475524425506592
1,ORCsg,3,BERT,Anglais,18.93630599975586
1,ORCsg,4,BERT,Anglais,1.4888588190078735
1,ORCsg,5,BERT,Anglais,7.835011959075928
1,ORCsg,6,BERT,Anglais,5.901641845703125
1,ORCsg,7,BERT,Anglais,0.3679545223712921
1,ORCsg,8,BERT,Anglais,5.616344928741455
1,ORCsg,9,BERT,Anglais,8.366165161132812
2,ORCpl,1,BERT,Anglais,10.78592300415039
2,ORCpl,2,BERT,Anglais,2.984100341796875
2,ORCpl,3,BERT,Anglais,8.245479583740234
2,ORCpl,4,BERT,Anglais,1.852429747581482
2,ORCpl,5,BERT,Anglais,9.532173156738281
2,ORCpl,6,BERT,Anglais,13.965474128723145
2,ORCpl,7,BERT,Anglais,9.591965675354004
2,ORCpl,8,BERT,Anglais,11.424997329711914
2,ORCpl,9,BERT,Anglais,5.093478202819824
2,ORCsg,1,BERT,Anglais,12.850320816040039
2,ORCsg,2,BERT,Anglais,3.6864123344421387
2,ORCsg,3,BERT,Anglais,12.298030853271484
2,ORCsg,4,BERT,Anglais,1.475814938545227
2,ORCsg,5,BERT,Anglais,10.333589553833008
2,ORCsg,6,BERT,Anglais,12.366987228393555
2,ORCsg,7,BERT,Anglais,10.85242748260498
2,ORCsg,8,BERT,Anglais,11.14505386352539
2,ORCsg,9,BERT,Anglais,7.385633945465088
3,ORCpl,1,BERT,Anglais,10.271293640136719
3,ORCpl,2,BERT,Anglais,1.5693747997283936
3,ORCpl,3,BERT,Anglais,15.806666374206543
3,ORCpl,4,BERT,Anglais,0.9093010425567627
3,ORCpl,5,BERT,Anglais,10.626029968261719
3,ORCpl,6,BERT,Anglais,4.870356559753418
3,ORCpl,7,BERT,Anglais,1.5667904615402222
3,ORCpl,8,BERT,Anglais,8.253401756286621
3,ORCpl,9,BERT,Anglais,14.992217063903809
3,ORCsg,1,BERT,Anglais,9.7525053024292
3,ORCsg,2,BERT,Anglais,1.5505354404449463
3,ORCsg,3,BERT,Anglais,23.435035705566406
3,ORCsg,4,BERT,Anglais,1.9135726690292358
3,ORCsg,5,BERT,Anglais,6.765904426574707
3,ORCsg,6,BERT,Anglais,5.732168197631836
3,ORCsg,7,BERT,Anglais,3.023113489151001
3,ORCsg,8,BERT,Anglais,7.93963098526001
3,ORCsg,9,BERT,Anglais,16.653301239013672
4,ORCpl,1,BERT,Anglais,10.489070892333984
4,ORCpl,2,BERT,Anglais,3.293607473373413
4,ORCpl,3,BERT,Anglais,5.265472888946533
4,ORCpl,4,BERT,Anglais,1.1694668531417847
4,ORCpl,5,BERT,Anglais,6.593337535858154
4,ORCpl,6,BERT,Anglais,20.527162551879883
4,ORCpl,7,BERT,Anglais,0.40138542652130127
4,ORCpl,8,BERT,Anglais,8.929890632629395
4,ORCpl,9,BERT,Anglais,24.4383602142334
4,ORCsg,1,BERT,Anglais,10.940961837768555
4,ORCsg,2,BERT,Anglais,3.1558241844177246
4,ORCsg,3,BERT,Anglais,7.240998268127441
4,ORCsg,4,BERT,Anglais,1.7892959117889404
4,ORCsg,5,BERT,Anglais,6.202714443206787
4,ORCsg,6,BERT,Anglais,19.109647750854492
