numero,variable,region,model,langue,surprisal
13,ORCsgGap,1,BERT,Français,19.02019201849633
13,ORCsgGap,2,BERT,Français,10.549500297302027
13,ORCsgGap,3,BERT,Français,7.729130254994781
13,ORCsgGap,4,BERT,Français,8.579308314603516
13,ORCsgGap,5,BERT,Français,6.04010495807307
13,ORCsgGap,6,BERT,Français,14.906070074030895
13,ORCsgGap,8,BERT,Français,10.691866122314098
13,ORCsgGap,9,BERT,Français,14.030254188253707
14,ORCsgGap,1,BERT,Français,16.62671942738866
14,ORCsgGap,2,BERT,Français,11.607204118937243
14,ORCsgGap,3,BERT,Français,6.956713164953871
14,ORCsgGap,4,BERT,Français,10.081026516109265
14,ORCsgGap,5,BERT,Français,12.646780201005686
14,ORCsgGap,6,BERT,Français,15.62477160732057
14,ORCsgGap,8,BERT,Français,12.186581837215016
14,ORCsgGap,9,BERT,Français,14.115979881280332
15,ORCsgGap,1,BERT,Français,18.96747295175372
15,ORCsgGap,2,BERT,Français,11.326204196020583
15,ORCsgGap,3,BERT,Français,18.959145431945455
15,ORCsgGap,4,BERT,Français,6.623862552059896
15,ORCsgGap,5,BERT,Français,14.803816186543791
15,ORCsgGap,6,BERT,Français,12.66987693013985
15,ORCsgGap,8,BERT,Français,14.25961178340321
15,ORCsgGap,9,BERT,Français,15.011669743940764
16,ORCsgGap,1,BERT,Français,15.960174796408847
16,ORCsgGap,2,BERT,Français,9.97188214690334
16,ORCsgGap,3,BERT,Français,15.081762562788688
16,ORCsgGap,4,BERT,Français,8.4455718110191
16,ORCsgGap,5,BERT,Français,20.39771049362413
16,ORCsgGap,6,BERT,Français,16.920655688013852
16,ORCsgGap,8,BERT,Français,16.58448077176055
16,ORCsgGap,9,BERT,Français,12.326250554301613
17,ORCsgGap,1,BERT,Français,20.851673933979235
17,ORCsgGap,2,BERT,Français,14.781833823975086
17,ORCsgGap,3,BERT,Français,6.664436953113503
17,ORCsgGap,4,BERT,Français,8.080877441880816
17,ORCsgGap,5,BERT,Français,13.56250608495179
17,ORCsgGap,6,BERT,Français,17.52182164954838
17,ORCsgGap,8,BERT,Français,14.609652582469327
17,ORCsgGap,9,BERT,Français,13.581405901495739
18,ORCsgGap,1,BERT,Français,15.746797387002633
18,ORCsgGap,2,BERT,Français,9.437558883072954
18,ORCsgGap,3,BERT,Français,12.946079585683147
18,ORCsgGap,4,BERT,Français,8.67045313863775
18,ORCsgGap,5,BERT,Français,9.77820094253837
18,ORCsgGap,6,BERT,Français,15.610539070419016
18,ORCsgGap,8,BERT,Français,18.46605211299837
18,ORCsgGap,9,BERT,Français,12.534431353336458
19,ORCplGap,1,BERT,Français,19.2806994457842
19,ORCplGap,2,BERT,Français,12.996927536262005
19,ORCplGap,3,BERT,Français,18.420341436331885
19,ORCplGap,4,BERT,Français,5.500772212226067
19,ORCplGap,5,BERT,Français,8.271865653814992
19,ORCplGap,6,BERT,Français,10.085354923358613
19,ORCplGap,8,BERT,Français,7.380599196443617
19,ORCplGap,9,BERT,Français,13.81133751281791
20,ORCplGap,1,BERT,Français,18.386976880361434
20,ORCplGap,2,BERT,Français,11.742715323608788
20,ORCplGap,3,BERT,Français,15.085781680342299
20,ORCplGap,4,BERT,Français,5.938194901378759
20,ORCplGap,5,BERT,Français,19.43477098836178
