numero,variable,region,model,langue,surprisal
13,ORCsg,1,BERT,Français,20.069071498060342
13,ORCsg,2,BERT,Français,9.605878183072708
13,ORCsg,3,BERT,Français,7.279302123005249
13,ORCsg,4,BERT,Français,7.341621026085962
13,ORCsg,5,BERT,Français,4.985782313328342
13,ORCsg,6,BERT,Français,11.748055356012099
13,ORCsg,7,BERT,Français,7.093891655937599
13,ORCsg,8,BERT,Français,14.740597505324802
13,ORCsg,9,BERT,Français,13.500279755039713
14,ORCsg,1,BERT,Français,17.030012808705948
14,ORCsg,2,BERT,Français,12.65413458471314
14,ORCsg,3,BERT,Français,7.356420439881802
14,ORCsg,4,BERT,Français,4.936979407295888
14,ORCsg,5,BERT,Français,12.750704081417386
14,ORCsg,6,BERT,Français,13.364355712813017
14,ORCsg,7,BERT,Français,10.079411714044628
14,ORCsg,8,BERT,Français,15.446836424672915
14,ORCsg,9,BERT,Français,14.506109011614226
15,ORCsg,1,BERT,Français,16.31135291037285
15,ORCsg,2,BERT,Français,12.212586109728994
15,ORCsg,3,BERT,Français,17.719647623123006
15,ORCsg,4,BERT,Français,8.074565446830148
15,ORCsg,5,BERT,Français,15.875930922528243
15,ORCsg,6,BERT,Français,17.327320658641717
15,ORCsg,7,BERT,Français,9.172457743814642
15,ORCsg,8,BERT,Français,15.01353156617999
15,ORCsg,9,BERT,Français,16.018449615023574
16,ORCsg,1,BERT,Français,16.00724106892717
16,ORCsg,2,BERT,Français,10.939910357883411
16,ORCsg,3,BERT,Français,16.098766465122047
16,ORCsg,4,BERT,Français,8.511029305803516
16,ORCsg,5,BERT,Français,19.34053057512178
16,ORCsg,6,BERT,Français,17.146955205409107
16,ORCsg,7,BERT,Français,9.391686513409644
16,ORCsg,8,BERT,Français,18.465220166850536
16,ORCsg,9,BERT,Français,12.429980456258642
17,ORCsg,1,BERT,Français,21.026580531056464
17,ORCsg,2,BERT,Français,15.36386208775216
17,ORCsg,3,BERT,Français,6.770106263648323
17,ORCsg,4,BERT,Français,7.658260631662301
17,ORCsg,5,BERT,Français,13.639230058183166
17,ORCsg,6,BERT,Français,16.924952948384014
17,ORCsg,7,BERT,Français,11.77947037010453
17,ORCsg,8,BERT,Français,14.971756666943715
17,ORCsg,9,BERT,Français,11.582329142413533
18,ORCsg,1,BERT,Français,16.32012284803522
18,ORCsg,2,BERT,Français,10.926476852592359
18,ORCsg,3,BERT,Français,12.71870679804565
18,ORCsg,4,BERT,Français,10.920533771344939
18,ORCsg,5,BERT,Français,11.425871940690637
18,ORCsg,6,BERT,Français,15.703538419539223
18,ORCsg,7,BERT,Français,5.7845665378155005
18,ORCsg,8,BERT,Français,19.588616768680925
18,ORCsg,9,BERT,Français,14.344783208656917
19,ORCpl,1,BERT,Français,19.04955463215414
19,ORCpl,2,BERT,Français,11.371198723225836
19,ORCpl,3,BERT,Français,19.022268078630916
19,ORCpl,4,BERT,Français,7.857681625892997
19,ORCpl,5,BERT,Français,8.525431914774167
19,ORCpl,6,BERT,Français,13.927431644029692
19,ORCpl,7,BERT,Français,13.550180704377071
19,ORCpl,8,BERT,Français,9.331073152298918
19,ORCpl,9,BERT,Français,14.184206001654442
20,ORCpl,1,BERT,Français,18.060831618607583
20,ORCpl,2,BERT,Français,11.419629398072894
20,ORCpl,3,BERT,Français,14.949066952767966
20,ORCpl,4,BERT,Français,7.365167573083979
20,ORCpl,5,BERT,Français,20.480197603675652
20,ORCpl,6,BERT,Français,13.86382304092289
20,ORCpl,7,BERT,Français,15.230026902788453
20,ORCpl,8,BERT,Français,15.932848296776353
20,ORCpl,9,BERT,Français,19.32016267719337
21,ORCpl,1,BERT,Français,16.8431103760285
21,ORCpl,2,BERT,Français,10.540535861373424
21,ORCpl,3,BERT,Français,8.050888413458805
21,ORCpl,4,BERT,Français,10.90738801217966
21,ORCpl,5,BERT,Français,10.176315465976044
21,ORCpl,6,BERT,Français,16.855279373177673
21,ORCpl,7,BERT,Français,15.946580172081983
21,ORCpl,8,BERT,Français,21.830346680288642
21,ORCpl,9,BERT,Français,15.70764129183552
22,ORCpl,1,BERT,Français,16.37694304860123
22,ORCpl,2,BERT,Français,12.028863539136152
22,ORCpl,3,BERT,Français,14.770150112428514
22,ORCpl,4,BERT,Français,6.091593543368866
22,ORCpl,5,BERT,Français,11.355445151999028
22,ORCpl,6,BERT,Français,19.734397256963753
22,ORCpl,7,BERT,Français,12.781118425920663
22,ORCpl,8,BERT,Français,14.747590094370228
22,ORCpl,9,BERT,Français,16.064347446673583
23,ORCpl,1,BERT,Français,17.496896349096694
23,ORCpl,2,BERT,Français,20.21850971064825
23,ORCpl,3,BERT,Français,13.135657405380305
23,ORCpl,4,BERT,Français,6.509330752196167
23,ORCpl,5,BERT,Français,17.05545244297815
23,ORCpl,6,BERT,Français,14.596661546083878
23,ORCpl,7,BERT,Français,9.930563508509515
23,ORCpl,8,BERT,Français,16.969090942922016
23,ORCpl,9,BERT,Français,15.733079095740418
24,ORCpl,1,BERT,Français,16.08803919498171
24,ORCpl,2,BERT,Français,12.235440482009997
24,ORCpl,3,BERT,Français,24.754302815152315
24,ORCpl,4,BERT,Français,8.928933776181138
24,ORCpl,5,BERT,Français,13.832048415359528
24,ORCpl,6,BERT,Français,12.008057834147376
24,ORCpl,7,BERT,Français,11.374000492868907
24,ORCpl,8,BERT,Français,20.612762673226857
24,ORCpl,9,BERT,Français,15.076152529929919
1,ORCpl,1,BERT,Français,15.797189539579833
1,ORCpl,2,BERT,Français,14.497122075451228
1,ORCpl,3,BERT,Français,9.6245834662052
1,ORCpl,4,BERT,Français,8.909546709970776
1,ORCpl,5,BERT,Français,11.705314192743451
1,ORCpl,6,BERT,Français,16.350512024769092
1,ORCpl,7,BERT,Français,7.2134882660254975
1,ORCpl,8,BERT,Français,15.775917193685906
1,ORCpl,9,BERT,Français,13.844499084706502
2,ORCpl,1,BERT,Français,18.44114981920003
2,ORCpl,2,BERT,Français,9.610031182947873
2,ORCpl,3,BERT,Français,9.822160018274339
2,ORCpl,4,BERT,Français,7.43053744909947
2,ORCpl,5,BERT,Français,10.839085771845363
2,ORCpl,6,BERT,Français,23.929300383259456
2,ORCpl,7,BERT,Français,13.373063700480612
2,ORCpl,8,BERT,Français,15.231544163835164
2,ORCpl,9,BERT,Français,14.0706808120342
3,ORCpl,1,BERT,Français,16.40818800799281
3,ORCpl,2,BERT,Français,14.148210838790755
3,ORCpl,3,BERT,Français,21.246324478046166
3,ORCpl,4,BERT,Français,9.102125007989162
3,ORCpl,5,BERT,Français,13.960384438596371
3,ORCpl,6,BERT,Français,17.87812204963063
3,ORCpl,7,BERT,Français,15.448575114786573
3,ORCpl,8,BERT,Français,15.505005901634403
3,ORCpl,9,BERT,Français,11.219830421881401
4,ORCpl,1,BERT,Français,18.274392429892444
4,ORCpl,2,BERT,Français,13.01692515933418
4,ORCpl,3,BERT,Français,21.91233726805803
4,ORCpl,4,BERT,Français,9.628888075695624
4,ORCpl,5,BERT,Français,17.7627839111471
4,ORCpl,6,BERT,Français,10.661258585713874
4,ORCpl,7,BERT,Français,11.721025000926875
4,ORCpl,8,BERT,Français,15.703509852404821
4,ORCpl,9,BERT,Français,13.985760685886431
5,ORCpl,1,BERT,Français,19.301188844509028
5,ORCpl,2,BERT,Français,14.208394617869828
5,ORCpl,3,BERT,Français,10.191002939765156
5,ORCpl,4,BERT,Français,9.066172857068963
5,ORCpl,5,BERT,Français,9.960801303791817
5,ORCpl,6,BERT,Français,13.663507060535128
5,ORCpl,7,BERT,Français,12.54006152809237
5,ORCpl,8,BERT,Français,13.057365945105385
5,ORCpl,9,BERT,Français,11.547928091765941
6,ORCpl,1,BERT,Français,20.85479486120681
6,ORCpl,2,BERT,Français,9.926576716419806
6,ORCpl,3,BERT,Français,12.731719011966796
6,ORCpl,4,BERT,Français,5.94714144630758
6,ORCpl,5,BERT,Français,12.271726745077215
6,ORCpl,6,BERT,Français,16.626929625370504
6,ORCpl,7,BERT,Français,11.361178551129866
6,ORCpl,8,BERT,Français,12.223930378737988
6,ORCpl,9,BERT,Français,18.090687720925548
7,ORCsg,1,BERT,Français,14.317888272904748
7,ORCsg,2,BERT,Français,11.617238785458207
7,ORCsg,3,BERT,Français,14.142512311723
7,ORCsg,4,BERT,Français,7.350269521332206
7,ORCsg,5,BERT,Français,15.4616357973929
7,ORCsg,6,BERT,Français,14.923853450821186
7,ORCsg,7,BERT,Français,7.331594206011806
7,ORCsg,8,BERT,Français,13.802062395133428
7,ORCsg,9,BERT,Français,13.499407540346757
8,ORCsg,1,BERT,Français,18.298152510395056
8,ORCsg,2,BERT,Français,14.05940366832653
8,ORCsg,3,BERT,Français,9.079929784668277
8,ORCsg,4,BERT,Français,5.843041577260811
8,ORCsg,5,BERT,Français,11.250767450857829
8,ORCsg,6,BERT,Français,10.577664547499184
8,ORCsg,7,BERT,Français,9.916445036522521
8,ORCsg,8,BERT,Français,19.963283063901642
8,ORCsg,9,BERT,Français,15.495980578005693
9,ORCsg,1,BERT,Français,17.824171806383035
9,ORCsg,2,BERT,Français,21.15289236489192
9,ORCsg,3,BERT,Français,8.646648669542833
9,ORCsg,4,BERT,Français,4.27310500427349
9,ORCsg,5,BERT,Français,7.410297884129526
9,ORCsg,6,BERT,Français,14.250150924626302
9,ORCsg,7,BERT,Français,8.259265517726226
9,ORCsg,8,BERT,Français,17.713464234713914
9,ORCsg,9,BERT,Français,18.10282979122531
10,ORCsg,1,BERT,Français,18.027412090518713
10,ORCsg,2,BERT,Français,11.326957756657093
10,ORCsg,3,BERT,Français,12.439504943559895
10,ORCsg,4,BERT,Français,7.167465146567044
10,ORCsg,5,BERT,Français,16.24565876718589
10,ORCsg,6,BERT,Français,15.055084591089404
10,ORCsg,7,BERT,Français,11.28739449725299
10,ORCsg,8,BERT,Français,18.96887144791828
10,ORCsg,9,BERT,Français,14.312543045420256
11,ORCsg,1,BERT,Français,20.212323074587417
11,ORCsg,2,BERT,Français,12.489716080966716
11,ORCsg,3,BERT,Français,9.414245449993857
11,ORCsg,4,BERT,Français,9.10842903509134
11,ORCsg,5,BERT,Français,8.368760651919839
11,ORCsg,6,BERT,Français,17.1406959383687
11,ORCsg,7,BERT,Français,8.659304616770712
11,ORCsg,8,BERT,Français,14.82731918344702
11,ORCsg,9,BERT,Français,11.665352034602458
12,ORCsg,1,BERT,Français,16.700071507282114
12,ORCsg,2,BERT,Français,10.121569592495698
12,ORCsg,3,BERT,Français,12.311465914466686
12,ORCsg,4,BERT,Français,10.614257511982764
12,ORCsg,5,BERT,Français,16.386550658303488
12,ORCsg,6,BERT,Français,15.018947989151743
12,ORCsg,7,BERT,Français,10.374846010857622
12,ORCsg,8,BERT,Français,10.399922631215247
12,ORCsg,9,BERT,Français,14.637057186818739
13,ORCpl,1,BERT,Français,18.2146732590735
13,ORCpl,2,BERT,Français,10.094365194823915
13,ORCpl,3,BERT,Français,7.0997614122977035
