Labels;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;Groupe 6;Groupe 7;Groupe 8;Groupe 9;Groupe 10;Groupe 11;Groupe 12
at;I know that my brother said our aunt devoured the cake at the party .;I know that my brother said our aunt devoured at the party .;I know what my brother said our aunt devoured the cake at the party .;I know what my brother said our aunt devoured at the party .;I know that my brother said that our aunt devoured the cake at the party .;I know that my brother said that our aunt devoured at the party .;I know what my brother said that our aunt devoured the cake at the party .;I know what my brother said that our aunt devoured at the party .;I know that my brother said whether our aunt devoured the cake at the party .;I know that my brother said whether our aunt devoured at the party .;I know what my brother said whether our aunt devoured the cake at the party .;I know what my brother said whether our aunt devoured at the party .
in;My neighbor told me that the fireman believes the dog caught the cat in the garage .;My neighbor told me that the fireman believes the dog caught in the garage .;My neighbor told me what the fireman believes the dog caught the cat in the garage .;My neighbor told me what the fireman believes the dog caught in the garage .;My neighbor told me that the fireman believes that the dog caught the cat in the garage .;My neighbor told me that the fireman believes that the dog caught in the garage .;My neighbor told me what the fireman believes that the dog caught the cat in the garage .;My neighbor told me what the fireman believes that the dog caught in the garage .;My neighbor told me that the fireman believes whether the dog caught the cat in the garage .;My neighbor told me that the fireman believes whether the dog caught in the garage .;My neighbor told me what the fireman believes whether the dog caught the cat in the garage .;My neighbor told me what the fireman believes whether the dog caught in the garage .
by;I know that our assistant believes the committee delivered the report by the deadline .;I know that our assistant believes the committee delivered by the deadline .;I know what our assistant believes the committee delivered the report by the deadline .;I know what our assistant believes the committee delivered by the deadline .;I know that our assistant believes that the committee delivered the report by the deadline .;I know that our assistant believes that the committee delivered by the deadline .;I know what our assistant believes that the committee delivered the report by the deadline .;I know what our assistant believes that the committee delivered by the deadline .;I know that our assistant believes whether the committee delivered the report by the deadline .;I know that our assistant believes whether the committee delivered by the deadline .;I know what our assistant believes whether the committee delivered the report by the deadline .;I know what our assistant believes whether the committee delivered by the deadline .
during;You remember that I discovered the water ruined the new carpet during the flood .;You remember that I discovered the water ruined during the flood .;You remember what I discovered the water ruined the new carpet during the flood .;You remember what I discovered the water ruined during the flood .;You remember that I discovered that the water ruined the new carpet during the flood .;You remember that I discovered that the water ruined during the flood .;You remember what I discovered that the water ruined the new carpet during the flood .;You remember what I discovered that the water ruined during the flood .;You remember that I discovered whether the water ruined the new carpet during the flood .;You remember that I discovered whether the water ruined during the flood .;You remember what I discovered whether the water ruined the new carpet during the flood .;You remember what I discovered whether the water ruined during the flood .
last;She told me that the teacher suspects the star student stole answers to the test last semester .;She told me that the teacher suspects the star student stole last semester .;She told me what the teacher suspects the star student stole answers to the test last semester .;She told me what the teacher suspects the star student stole last semester .;She told me that the teacher suspects that the star student stole answers to the test last semester .;She told me that the teacher suspects that the star student stole last semester .;She told me what the teacher suspects that the star student stole answers to the test last semester .;She told me what the teacher suspects that the star student stole last semester .;She told me that the teacher suspects whether the star student stole answers to the test last semester .;She told me that the teacher suspects whether the star student stole last semester .;She told me what the teacher suspects whether the star student stole answers to the test last semester .;She told me what the teacher suspects whether the star student stole last semester .
with;She knows that the expert can tell the collector forged the painting with the help of modern technology .;She knows that the expert can tell the collector forged with the help of modern technology .;She knows what the expert can tell the collector forged the painting with the help of modern technology .;She knows what the expert can tell the collector forged with the help of modern technology .;She knows that the expert can tell that the collector forged the painting with the help of modern technology .;She knows that the expert can tell that the collector forged with the help of modern technology .;She knows what the expert can tell that the collector forged the painting with the help of modern technology .;She knows what the expert can tell that the collector forged with the help of modern technology .;She knows that the expert can tell whether the collector forged the painting with the help of modern technology .;She knows that the expert can tell whether the collector forged with the help of modern technology .;She knows what the expert can tell whether the collector forged the painting with the help of modern technology .;She knows what the expert can tell whether the collector forged with the help of modern technology .
into;We all remember that the politician said the convict smuggled a gun into the prison .;We all remember that the politician said the convict smuggled into the prison .;We all remember what the politician said the convict smuggled a gun into the prison .;We all remember what the politician said the convict smuggled into the prison .;We all remember that the politician said that the convict smuggled a gun into the prison .;We all remember that the politician said that the convict smuggled into the prison .;We all remember what the politician said that the convict smuggled a gun into the prison .;We all remember what the politician said that the convict smuggled into the prison .;We all remember that the politician said whether the convict smuggled a gun into the prison .;We all remember that the politician said whether the convict smuggled into the prison .;We all remember what the politician said whether the convict smuggled a gun into the prison .;We all remember what the politician said whether the convict smuggled into the prison .
next;My friend reported that the banker predicts the company will sell multiple assets next quarter .;My friend reported that the banker predicts the company will sell next quarter .;My friend reported what the banker predicts the company will sell multiple assets next quarter .;My friend reported what the banker predicts the company will sell next quarter .;My friend reported that the banker predicts that the company will sell multiple assets next quarter .;My friend reported that the banker predicts that the company will sell next quarter .;My friend reported what the banker predicts that the company will sell multiple assets next quarter .;My friend reported what the banker predicts that the company will sell next quarter .;My friend reported that the banker predicts whether the company will sell multiple assets next quarter .;My friend reported that the banker predicts whether the company will sell next quarter .;My friend reported what the banker predicts whether the company will sell multiple assets next quarter .;My friend reported what the banker predicts whether the company will sell next quarter .
last;I have an idea about that the actor suspects her rival sabotaged the audition last week .;I have an idea about that the actor suspects her rival sabotaged last week .;I have an idea about what the actor suspects her rival sabotaged the audition last week .;I have an idea about what the actor suspects her rival sabotaged last week .;I have an idea about that the actor suspects that her rival sabotaged the audition last week .;I have an idea about that the actor suspects that her rival sabotaged last week .  ??;I have an idea about what the actor suspects that her rival sabotaged the audition last week .;I have an idea about what the actor suspects that her rival sabotaged last week .;I have an idea about that the actor suspects whether her rival sabotaged the audition last week .;I have an idea about that the actor suspects whether her rival sabotaged last week .;I have an idea about what the actor suspects whether her rival sabotaged the audition last week .;I have an idea about what the actor suspects whether her rival sabotaged last week .
for;She can guess that our friend predicts the movie star will be awarded an oscar for her hard work .;She can guess that our friend predicts the movie star will be awarded for her hard work .;She can guess what our friend predicts the movie star will be awarded an oscar for her hard work .;She can guess what our friend predicts the movie star will be awarded for her hard work .;She can guess that our friend predicts that the movie star will be awarded an oscar for her hard work .;She can guess that our friend predicts that the movie star will be awarded for her hard work .;She can guess what our friend predicts that the movie star will be awarded an oscar for her hard work .;She can guess what our friend predicts that the movie star will be awarded for her hard work .;She can guess that our friend predicts whether the movie star will be awarded an oscar for her hard work .;She can guess that our friend predicts whether the movie star will be awarded for her hard work .;She can guess what our friend predicts whether the movie star will be awarded an oscar for her hard work .;She can guess what our friend predicts whether the movie star will be awarded for her hard work .
