numero;variable;langue;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
1;1;anglais;I;know;that;;;;our aunt;devoured;the cake ;at the party.
1;2;anglais;I;know;that;;;;our aunt;devoured;;at the party.
1;3;anglais;I;know;what;;;;our aunt;devoured;the cake ;at the party.
1;4;anglais;I;know;what;;;;our aunt;devoured;;at the party.
1;5;anglais;I;know;that;my brother;said;that;our aunt;devoured;the cake ;at the party.
1;6;anglais;I;know;that;my brother;said;that;our aunt;devoured;;at the party.
1;7;anglais;I;know;what;my brother;said;that;our aunt;devoured;the cake ;at the party.
1;8;anglais;I;know;what;my brother;said;that;our aunt;devoured;;at the party.
2;1;anglais;My neighbor;told me;that;;;;the dog;caught;the cat;in the garage .
2;2;anglais;My neighbor;told me;that;;;;the dog;caught;;in the garage .
2;3;anglais;My neighbor;told me;what;;;;the dog;caught;the cat;in the garage .
2;4;anglais;My neighbor;told me;what;;;;the dog;caught;;in the garage .
2;5;anglais;My neighbor;told me;that;the fireman;believes;that;the dog;caught;the cat;in the garage .
2;6;anglais;My neighbor;told me;that;the fireman;believes;that;the dog;caught;;in the garage .
2;7;anglais;My neighbor;told me;what;the fireman;believes;that;the dog;caught;the cat;in the garage .
2;8;anglais;My neighbor;told me;what;the fireman;believes;that;the dog;caught;;in the garage .
3;1;anglais;I;know;that;;;;the committee;delivered;the report ;by the deadline.
3;2;anglais;I;know;that;;;;the committee;delivered;;by the deadline.
3;3;anglais;I;know;what;;;;the committee;delivered;the report ;by the deadline.
3;4;anglais;I;know;what;;;;the committee;delivered;;by the deadline.
3;5;anglais;I;know;that;our assistant;believes;that;the committee;delivered;the report ;by the deadline.
3;6;anglais;I;know;that;our assistant;believes;that;the committee;delivered;;by the deadline.
3;7;anglais;I;know;what;our assistant;believes;that;the committee;delivered;the report ;by the deadline.
3;8;anglais;I;know;what;our assistant;believes;that;the committee;delivered;;by the deadline.
4;1;anglais;You;remember;that;;;;the water;ruined;the new carpet ;during the flood.
4;2;anglais;You;remember;that;;;;the water;ruined;;during the flood.
4;3;anglais;You;remember;what;;;;the water;ruined;the new carpet ;during the flood.
4;4;anglais;You;remember;what;;;;the water;ruined;;during the flood.
4;5;anglais;You;remember;that;I;discovered;that;the water;ruined;the new carpet ;during the flood.
4;6;anglais;You;remember;that;I;discovered;that;the water;ruined;;during the flood.
4;7;anglais;You;remember;what;I;discovered;that;the water;ruined;the new carpet ;during the flood.
4;8;anglais;You;remember;what;I;discovered;that;the water;ruined;;during the flood.
5;1;anglais;She;told me;that;;;;the star student;stole;answers to the test ;last semester .
5;2;anglais;She;told me;that;;;;the star student;stole;;last semester .
5;3;anglais;She;told me;what;;;;the star student;stole;answers to the test ;last semester .
5;4;anglais;She;told me;what;;;;the star student;stole;;last semester .
5;5;anglais;She;told me;that;the teacher;suspects;that;the star student;stole;answers to the test ;last semester .
5;6;anglais;She;told me;that;the teacher;suspects;that;the star student;stole;;last semester .
5;7;anglais;She;told me;what;the teacher;suspects;that;the star student;stole;answers to the test ;last semester .
5;8;anglais;She;told me;what;the teacher;suspects;that;the star student;stole;;last semester .
6;1;anglais;She;knows;that;;;;the collector;forged;the painting ;with the help of modern technology.
6;2;anglais;She;knows;that;;;;the collector;forged;;with the help of modern technology.
6;3;anglais;She;knows;what;;;;the collector;forged;the painting ;with the help of modern technology.
6;4;anglais;She;knows;what;;;;the collector;forged;;with the help of modern technology.
6;5;anglais;She;knows;that;the expert;can tell;that;the collector;forged;the painting ;with the help of modern technology.
6;6;anglais;She;knows;that;the expert;can tell;that;the collector;forged;;with the help of modern technology.
6;7;anglais;She;knows;what;the expert;can tell;that;the collector;forged;the painting ;with the help of modern technology.
6;8;anglais;She;knows;what;the expert;can tell;that;the collector;forged;;with the help of modern technology.
7;1;anglais;We all;remember;that;;;;the convict;smuggled;a gun ;into the prison .
7;2;anglais;We all;remember;that;;;;the convict;smuggled;;into the prison .
7;3;anglais;We all;remember;what;;;;the convict;smuggled;a gun ;into the prison .
7;4;anglais;We all;remember;what;;;;the convict;smuggled;;into the prison .
7;5;anglais;We all;remember;that;the politician;said;that;the convict;smuggled;a gun ;into the prison .
7;6;anglais;We all;remember;that;the politician;said;that;the convict;smuggled;;into the prison .
7;7;anglais;We all;remember;what;the politician;said;that;the convict;smuggled;a gun ;into the prison .
7;8;anglais;We all;remember;what;the politician;said;that;the convict;smuggled;;into the prison .
8;1;anglais;My friend;reported;that;;;;the company;will sell;multiple assets ;next quarter .
8;2;anglais;My friend;reported;that;;;;the company;will sell;;next quarter .
8;3;anglais;My friend;reported;what;;;;the company;will sell;multiple assets ;next quarter .
8;4;anglais;My friend;reported;what;;;;the company;will sell;;next quarter .
8;5;anglais;My friend;reported;that;the banker;predicts;that;the company;will sell;multiple assets ;next quarter .
8;6;anglais;My friend;reported;that;the banker;predicts;that;the company;will sell;;next quarter .
8;7;anglais;My friend;reported;what;the banker;predicts;that;the company;will sell;multiple assets ;next quarter .
8;8;anglais;My friend;reported;what;the banker;predicts;that;the company;will sell;;next quarter .
9;1;anglais;I;have ani idea about;that;;;;her rival;sabotaged;the audition ;last week .
9;2;anglais;I;have ani idea about;that;;;;her rival;sabotaged;;last week .
9;3;anglais;I;have ani idea about;what;;;;her rival;sabotaged;the audition ;last week .
9;4;anglais;I;have ani idea about;what;;;;her rival;sabotaged;;last week .
9;5;anglais;I;have ani idea about;that;the actor;suspects;that;her rival;sabotaged;the audition ;last week .
9;6;anglais;I;have ani idea about;that;the actor;suspects;that;her rival;sabotaged;;last week .
9;7;anglais;I;have ani idea about;what;the actor;suspects;that;her rival;sabotaged;the audition ;last week .
9;8;anglais;I;have ani idea about;what;the actor;suspects;that;her rival;sabotaged;;last week .
