numero,variable,region,model,langue,surprisal
1,1,1,BERT,Français,2.9251640655395583
1,1,2,BERT,Français,5.025505497574699
1,1,3,BERT,Français,0.34551987896828196
1,1,7,BERT,Français,8.333958729910602
1,1,8,BERT,Français,12.2950730696694
1,1,9,BERT,Français,9.230215010582064
1,1,10,BERT,Français,12.881590998650648
1,2,1,BERT,Français,2.9970521354205872
1,2,2,BERT,Français,6.347121774268647
1,2,3,BERT,Français,0.7268503777468637
1,2,7,BERT,Français,10.236822288204925
1,2,8,BERT,Français,17.623823726497
1,2,10,BERT,Français,12.138487273070615
1,3,1,BERT,Français,4.421777395998259
1,3,2,BERT,Français,8.610164405706255
1,3,3,BERT,Français,1.8899701397526587
1,3,7,BERT,Français,9.576731973518639
1,3,8,BERT,Français,12.44347044076713
1,3,9,BERT,Français,9.461007485357275
1,3,10,BERT,Français,14.34836949540793
1,4,1,BERT,Français,3.905237532125948
1,4,2,BERT,Français,8.699661684979157
1,4,3,BERT,Français,2.65926143049742
1,4,7,BERT,Français,11.496857275324576
1,4,8,BERT,Français,15.746991626413735
1,4,10,BERT,Français,11.516448289270956
1,5,1,BERT,Français,2.889493272730708
1,5,2,BERT,Français,6.3186451156311705
1,5,3,BERT,Français,0.15838968199239759
1,5,4,BERT,Français,6.7408917922402525
1,5,5,BERT,Français,5.720732612610646
1,5,6,BERT,Français,0.5455805848703907
1,5,7,BERT,Français,8.645811834140881
1,5,8,BERT,Français,13.323286838523453
1,5,9,BERT,Français,8.64215768432103
1,5,10,BERT,Français,13.40556934652648
1,6,1,BERT,Français,3.5311999818642383
1,6,2,BERT,Français,6.090816382854106
1,6,3,BERT,Français,0.27076523633330724
1,6,4,BERT,Français,6.786492875042378
1,6,5,BERT,Français,6.879086163310926
1,6,6,BERT,Français,0.802919071167215
1,6,7,BERT,Français,9.016483671014635
1,6,8,BERT,Français,17.733273355181737
1,6,10,BERT,Français,13.865882062327852
1,7,1,BERT,Français,3.8509930123469283
1,7,2,BERT,Français,5.850064690459482
1,7,3,BERT,Français,0.3100842228049663
1,7,4,BERT,Français,6.662179273182679
1,7,5,BERT,Français,6.487974039388341
1,7,6,BERT,Français,5.253983445274733
1,7,7,BERT,Français,8.230761015096922
1,7,8,BERT,Français,13.139159195907707
1,7,9,BERT,Français,8.263781726389452
1,7,10,BERT,Français,14.581103431457606
1,8,1,BERT,Français,3.1571059851176404
1,8,2,BERT,Français,5.532476413152381
1,8,3,BERT,Français,0.16670163009617905
1,8,4,BERT,Français,6.17185547559207
1,8,5,BERT,Français,8.143520708410371
1,8,6,BERT,Français,5.058194226051927
1,8,7,BERT,Français,9.23241289733853
1,8,8,BERT,Français,17.123404368029234
1,8,10,BERT,Français,15.30769663558479
2,1,1,BERT,Français,6.581167239509719
2,1,2,BERT,Français,2.055831025381745
2,1,3,BERT,Français,0.43739119188417036
2,1,7,BERT,Français,6.529274108802154
2,1,8,BERT,Français,7.804153837280877
2,1,9,BERT,Français,5.642610825999237
2,1,10,BERT,Français,11.161498420456597
2,2,1,BERT,Français,7.913627900510429
2,2,2,BERT,Français,2.0363722110957525
2,2,3,BERT,Français,0.6993804360158122
2,2,7,BERT,Français,8.550387974433589
2,2,8,BERT,Français,14.585134020615198
2,2,10,BERT,Français,10.744186641669586
2,3,1,BERT,Français,6.19863857555941
2,3,2,BERT,Français,6.550228426739091
2,3,3,BERT,Français,3.8834202924316785
2,3,7,BERT,Français,7.838997013932152
2,3,8,BERT,Français,8.224626427598567
2,3,9,BERT,Français,5.838182757287381
2,3,10,BERT,Français,12.557377384340914
2,4,1,BERT,Français,7.8829119666106635
2,4,2,BERT,Français,5.7583775505385155
2,4,3,BERT,Français,2.7076053408788057
2,4,7,BERT,Français,8.221316540840663
2,4,8,BERT,Français,12.04284790785597
2,4,10,BERT,Français,13.509151570937032
2,5,1,BERT,Français,6.348276552124354
2,5,2,BERT,Français,4.716277309050553
2,5,3,BERT,Français,0.5929597186015504
2,5,4,BERT,Français,12.231027635618354
2,5,5,BERT,Français,8.017051410686499
2,5,6,BERT,Français,0.13925408750109491
2,5,7,BERT,Français,8.218861842156668
2,5,8,BERT,Français,8.110689984405715
2,5,9,BERT,Français,5.786748608966357
2,5,10,BERT,Français,12.553974958561065
2,6,1,BERT,Français,7.388431547899655
2,6,2,BERT,Français,5.331728503051761
2,6,3,BERT,Français,1.0047965637367329
2,6,4,BERT,Français,12.175526566530445
2,6,5,BERT,Français,9.083724427543062
2,6,6,BERT,Français,0.5657012531895949
2,6,7,BERT,Français,8.438631636122365
2,6,8,BERT,Français,13.502902248301597
2,6,10,BERT,Français,10.444629870741702
2,7,1,BERT,Français,4.6431342099326125
2,7,2,BERT,Français,5.874675769870882
2,7,3,BERT,Français,4.415747733110864
2,7,4,BERT,Français,11.867102135757658
2,7,5,BERT,Français,7.315425146434454
2,7,6,BERT,Français,0.19125072698495943
2,7,7,BERT,Français,9.605987987698898
2,7,8,BERT,Français,7.973838447767028
2,7,9,BERT,Français,5.6609999521430145
2,7,10,BERT,Français,13.702330271732095
2,8,1,BERT,Français,5.626470894180773
2,8,2,BERT,Français,6.2176639055823495
2,8,3,BERT,Français,2.855691530843441
2,8,4,BERT,Français,11.469245294859046
2,8,5,BERT,Français,8.664586882011077
2,8,6,BERT,Français,0.45250834867059314
2,8,7,BERT,Français,9.276620588654529
2,8,8,BERT,Français,12.80753409610985
2,8,10,BERT,Français,12.500519758257441
3,1,1,BERT,Français,2.1923847688324174
3,1,2,BERT,Français,10.12978759746854
3,1,3,BERT,Français,0.9373075556565232
3,1,7,BERT,Français,5.997414495224334
3,1,8,BERT,Français,15.647469692034344
3,1,9,BERT,Français,9.11156181816908
3,1,10,BERT,Français,12.251830290661813
3,2,1,BERT,Français,2.5775481513086365
3,2,2,BERT,Français,11.208652366544083
3,2,3,BERT,Français,0.9059851546641362
3,2,7,BERT,Français,11.001395884333622
3,2,8,BERT,Français,12.967103576768581
3,2,10,BERT,Français,11.612567413961157
3,3,1,BERT,Français,3.269986640059195
3,3,2,BERT,Français,12.872934058143183
3,3,3,BERT,Français,3.853493628387082
3,3,7,BERT,Français,12.530335951809079
3,3,8,BERT,Français,15.504510899504385
3,3,9,BERT,Français,8.60969470260189
3,3,10,BERT,Français,13.12156865698104
3,4,1,BERT,Français,3.111126903512896
3,4,2,BERT,Français,9.130726974725135
3,4,3,BERT,Français,2.657663225632298
3,4,7,BERT,Français,12.158947854469385
3,4,8,BERT,Français,14.32519244726383
3,4,10,BERT,Français,14.061551418725257
3,5,1,BERT,Français,11.507956252479511
3,5,2,BERT,Français,9.510852486567572
3,5,3,BERT,Français,0.5603049136702853
3,5,4,BERT,Français,13.574205674539702
3,5,5,BERT,Français,12.900318790605327
3,5,6,BERT,Français,0.11539979864055656
3,5,7,BERT,Français,8.796986779741829
3,5,8,BERT,Français,13.853254059651457
3,5,9,BERT,Français,6.026432073079762
3,5,10,BERT,Français,15.599089301884723
3,6,1,BERT,Français,7.9775890067429485
3,6,2,BERT,Français,9.937887472390354
3,6,3,BERT,Français,0.25434690784806263
3,6,4,BERT,Français,14.334537427811812
3,6,5,BERT,Français,12.173774385273093
3,6,6,BERT,Français,0.3356263949977662
3,6,7,BERT,Français,14.204572647754567
3,6,8,BERT,Français,9.745159658471449
3,6,10,BERT,Français,14.613655811676088
3,7,1,BERT,Français,6.362246370648177
3,7,2,BERT,Français,13.199796811899992
3,7,3,BERT,Français,4.048270363997921
3,7,4,BERT,Français,13.572662728290586
3,7,5,BERT,Français,12.702589845083683
3,7,6,BERT,Français,1.3292241521399122
3,7,7,BERT,Français,8.0135539611831
3,7,8,BERT,Français,12.195191684696388
3,7,9,BERT,Français,7.010490725546901
3,7,10,BERT,Français,15.542173402926888
3,8,1,BERT,Français,5.626268461536665
3,8,2,BERT,Français,12.023213112152309
3,8,3,BERT,Français,1.2188986713311574
3,8,4,BERT,Français,13.955198183023107
3,8,5,BERT,Français,12.852495377130078
3,8,6,BERT,Français,0.9987751437147541
3,8,7,BERT,Français,14.426883551980461
3,8,8,BERT,Français,9.911682759189327
3,8,10,BERT,Français,16.085817636985098
4,1,1,BERT,Français,5.83457296690875
4,1,2,BERT,Français,3.2159745806254727
4,1,3,BERT,Français,1.7384601233258405
4,1,7,BERT,Français,7.923464575877205
4,1,8,BERT,Français,12.672117101375369
4,1,9,BERT,Français,11.975715383369199
4,1,10,BERT,Français,15.519662038042835
4,2,1,BERT,Français,5.437469445346663
4,2,2,BERT,Français,6.6498319450308045
4,2,3,BERT,Français,2.188919931655373
4,2,7,BERT,Français,4.598677230038625
4,2,8,BERT,Français,15.805452780071494
4,2,10,BERT,Français,13.301460114850768
4,3,1,BERT,Français,7.624243707598072
4,3,2,BERT,Français,6.1091824458182575
4,3,3,BERT,Français,1.9550064632390103
4,3,7,BERT,Français,6.045537507218211
4,3,8,BERT,Français,12.528898125929347
4,3,9,BERT,Français,11.906406577895053
4,3,10,BERT,Français,13.798574656691438
4,4,1,BERT,Français,6.814364436428781
4,4,2,BERT,Français,8.090190030938464
4,4,3,BERT,Français,3.5911316620297575
4,4,7,BERT,Français,3.7075043740376885
4,4,8,BERT,Français,16.729059698125937
4,4,10,BERT,Français,12.959350577272179
4,5,1,BERT,Français,8.14418595232886
4,5,2,BERT,Français,3.384173388931977
4,5,3,BERT,Français,2.3261745490636665
4,5,4,BERT,Français,0.6665271401305177
4,5,5,BERT,Français,8.035748247796237
4,5,6,BERT,Français,1.327971284303469
4,5,7,BERT,Français,9.142930397468387
4,5,8,BERT,Français,13.37653116692958
4,5,9,BERT,Français,13.150065424635091
4,5,10,BERT,Français,13.305260396255266
4,6,1,BERT,Français,6.817888784461787
4,6,2,BERT,Français,3.502950503683126
4,6,3,BERT,Français,2.451173741695553
4,6,4,BERT,Français,0.7540988870667061
4,6,5,BERT,Français,7.273389336659771
4,6,6,BERT,Français,1.5934009092927763
4,6,7,BERT,Français,6.549527985683098
4,6,8,BERT,Français,16.222227083824
4,6,10,BERT,Français,14.295485554747257
4,7,1,BERT,Français,9.839381465849444
4,7,2,BERT,Français,4.807277811397306
4,7,3,BERT,Français,2.0362554564471096
4,7,4,BERT,Français,0.45983482380749907
4,7,5,BERT,Français,8.544253136427873
4,7,6,BERT,Français,2.1770632834722305
4,7,7,BERT,Français,8.821137931167469
4,7,8,BERT,Français,14.249101073542965
4,7,9,BERT,Français,12.955223858737336
4,7,10,BERT,Français,13.276819142598887
4,8,1,BERT,Français,10.483203378283628
4,8,2,BERT,Français,6.352729553822095
4,8,3,BERT,Français,2.107354355685017
4,8,4,BERT,Français,0.2639164648703601
4,8,5,BERT,Français,7.801321462767074
4,8,6,BERT,Français,2.2369115641797643
4,8,7,BERT,Français,7.537471142615825
4,8,8,BERT,Français,15.267069631756787
4,8,10,BERT,Français,14.451406653234129
5,1,1,BERT,Français,9.616615667808361
5,1,2,BERT,Français,3.908678581354276
5,1,3,BERT,Français,0.1105298293540077
5,1,7,BERT,Français,12.561476524793258
5,1,8,BERT,Français,10.640513690863521
5,1,9,BERT,Français,10.092205379982174
5,1,10,BERT,Français,10.896618375913455
5,2,1,BERT,Français,10.169877878965561
5,2,2,BERT,Français,3.625622857996393
5,2,3,BERT,Français,0.18073743296900627
5,2,7,BERT,Français,12.493804300760463
5,2,8,BERT,Français,7.498741544371014
5,2,10,BERT,Français,11.464217980072233
5,3,1,BERT,Français,14.017507695655832
5,3,2,BERT,Français,8.240817039430551
5,3,3,BERT,Français,3.005643023675085
5,3,7,BERT,Français,15.584465298572479
5,3,8,BERT,Français,13.247253294789582
5,3,9,BERT,Français,10.921583992347779
5,3,10,BERT,Français,15.313213963116867
5,4,1,BERT,Français,12.171918345446635
5,4,2,BERT,Français,7.814921327644836
5,4,3,BERT,Français,2.1489880843334466
5,4,7,BERT,Français,18.59193516163763
5,4,8,BERT,Français,15.339532235441897
5,4,10,BERT,Français,13.565623234900832
5,5,1,BERT,Français,10.199122015308957
5,5,2,BERT,Français,5.487588651352007
5,5,3,BERT,Français,0.22432040198856668
5,5,4,BERT,Français,6.727304157401931
5,5,5,BERT,Français,16.1738299666029
5,5,6,BERT,Français,1.5131511105896671
5,5,7,BERT,Français,14.929868243214415
5,5,8,BERT,Français,11.190963478375902
5,5,9,BERT,Français,10.536463029663643
5,5,10,BERT,Français,11.332964167816723
5,6,1,BERT,Français,12.153869681598094
5,6,2,BERT,Français,7.892261393902568
5,6,3,BERT,Français,0.18526959343672744
5,6,4,BERT,Français,8.129978510416986
5,6,5,BERT,Français,16.691155644219023
5,6,6,BERT,Français,1.3255325993218257
5,6,7,BERT,Français,15.542659579251328
5,6,8,BERT,Français,8.093515157052227
5,6,10,BERT,Français,11.126802519218039
5,7,1,BERT,Français,12.795009983150768
5,7,2,BERT,Français,8.314964560254891
5,7,3,BERT,Français,1.4157231850461331
5,7,4,BERT,Français,9.246777843042983
5,7,5,BERT,Français,11.47629376519106
5,7,6,BERT,Français,2.6105487862152708
5,7,7,BERT,Français,14.137606871826442
5,7,8,BERT,Français,12.319116319128659
5,7,9,BERT,Français,9.864322335813144
5,7,10,BERT,Français,12.878791864828255
5,8,1,BERT,Français,14.250661762395007
5,8,2,BERT,Français,7.986957153425156
5,8,3,BERT,Français,1.4930078763612098
5,8,4,BERT,Français,10.317772192334457
5,8,5,BERT,Français,14.17833207726237
5,8,6,BERT,Français,0.7148570307924778
5,8,7,BERT,Français,15.830125141926406
5,8,8,BERT,Français,8.853948328000923
5,8,10,BERT,Français,13.059356357151925
6,1,1,BERT,Français,5.954861439980582
6,1,2,BERT,Français,9.302862314634512
6,1,3,BERT,Français,0.7190600663708695
6,1,7,BERT,Français,17.118624979056662
6,1,8,BERT,Français,19.0551495413569
6,1,9,BERT,Français,8.24717521565621
6,1,10,BERT,Français,11.742629998650573
6,2,1,BERT,Français,7.406049308555088
6,2,2,BERT,Français,11.860005317616173
6,2,3,BERT,Français,1.9643868622960161
6,2,7,BERT,Français,19.414448636221294
6,2,8,BERT,Français,19.34072821334328
6,2,10,BERT,Français,10.300984048000503
6,3,1,BERT,Français,8.839109000554336
6,3,2,BERT,Français,11.725404587022686
6,3,3,BERT,Français,2.083527237136208
6,3,7,BERT,Français,18.819584833652563
6,3,8,BERT,Français,18.343353542907078
6,3,9,BERT,Français,8.533515722705024
6,3,10,BERT,Français,12.596885747665715
6,4,1,BERT,Français,8.854297608507151
6,4,2,BERT,Français,12.805388458865657
6,4,3,BERT,Français,2.2463143799529743
6,4,7,BERT,Français,16.807098755145333
6,4,8,BERT,Français,19.40052943022616
6,4,10,BERT,Français,10.916391152245316
6,5,1,BERT,Français,11.413373437974318
6,5,2,BERT,Français,10.15034550270053
6,5,3,BERT,Français,0.2065067266069283
6,5,4,BERT,Français,15.029474087050293
6,5,5,BERT,Français,5.175603290673065
6,5,6,BERT,Français,0.06614665933643905
6,5,7,BERT,Français,14.547165813565638
6,5,8,BERT,Français,16.474818667189844
6,5,9,BERT,Français,10.160684705365199
6,5,10,BERT,Français,13.304488770228575
6,6,1,BERT,Français,12.436610287209929
6,6,2,BERT,Français,10.407825519577974
6,6,3,BERT,Français,0.24014929401033874
6,6,4,BERT,Français,14.601152993756937
6,6,5,BERT,Français,5.835555820410706
6,6,6,BERT,Français,0.192737263588445
6,6,7,BERT,Français,17.26563582042514
6,6,8,BERT,Français,19.534800558936837
6,6,10,BERT,Français,12.54636915122479
6,7,1,BERT,Français,12.690051043151339
6,7,2,BERT,Français,10.973529577259487
6,7,3,BERT,Français,0.16933219156643617
6,7,4,BERT,Français,13.895868230066426
6,7,5,BERT,Français,3.848947836785997
6,7,6,BERT,Français,4.256233584154637
6,7,7,BERT,Français,14.116404422971712
6,7,8,BERT,Français,17.134509491009712
6,7,9,BERT,Français,9.44631551890203
6,7,10,BERT,Français,14.058513618050798
6,8,1,BERT,Français,14.80179448834993
6,8,2,BERT,Français,11.80236889232922
6,8,3,BERT,Français,0.3596451645842038
6,8,4,BERT,Français,13.627316241226133
6,8,5,BERT,Français,5.027920759945204
6,8,6,BERT,Français,3.408726032469462
6,8,7,BERT,Français,18.52789623168066
6,8,8,BERT,Français,20.306082827661786
6,8,10,BERT,Français,12.997298619448252
7,1,1,BERT,Français,3.5357337099551773
7,1,2,BERT,Français,6.441346087981279
7,1,3,BERT,Français,1.646165458328039
7,1,7,BERT,Français,7.816162931135754
7,1,8,BERT,Français,6.589839175525326
