numero;variable;langue;phrase;;;;;;;
1;1;français;Je;sais;qu';une indication ;;;;nous a amenés à recommander un traitement hier soir.
1;2;français;Je;sais;que;;;;;nous a amenés à recommander un traitement hier soir.
1;3;français;Je;sais;ce que;une indication ;;;;nous a amenés à recommander un traitement hier soir.
1;4;français;Je;sais;ce que;;;;;nous a amenés à recommander un traitement hier soir.
1;5;français;Je;sais;qu';une indication ;qui;signalait;la dépression;nous a amenés à recommander un traitement hier soir.
1;6;français;Je;sais;qu';une indication ;qui;signalait;;nous a amenés à recommander un traitement hier soir.
1;7;français;Je;sais;ce qu';une indication ;qui;signalait;la dépression;nous a amenés à recommander un traitement hier soir.
1;8;français;Je;sais;ce qu';une indication ;qui;signalait;;nous a amenés à recommander un traitement hier soir.
2;1;français;Je;me souviens;que;le cadeau ;;;;a coûté beaucoup d'argent à la dernière minute .
2;2;français;Je;me souviens;qu';;;;;a coûté beaucoup d'argent à la dernière minute .
2;3;français;Je;me souviens;ce que;le cadeau ;;;;a coûté beaucoup d'argent à la dernière minute .
2;4;français;Je;me souviens;ce qu';;;;;a coûté beaucoup d'argent à la dernière minute .
2;5;français;Je;me souviens;que;le cadeau ;que;nous avons acheté;à Mary;a coûté beaucoup d'argent à la dernière minute .
2;6;français;Je;me souviens;que;le cadeau ;que;nous avons acheté;;a coûté beaucoup d'argent à la dernière minute .
2;7;français;Je;me souviens;à qui;le cadeau ;que;nous avons acheté;à Mary;a coûté beaucoup d'argent à la dernière minute .
2;8;français;Je;me souviens;à qui;le cadeau ;que;nous avons acheté;;a coûté beaucoup d'argent à la dernière minute .
3;1;français;Le journal;a rapporté;que ;le roman;;;;a reçu des critiques favorables dans la presse .
3;2;français;Le journal;a rapporté;qu';;;;;a reçu des critiques favorables dans la presse .
3;3;français;Le journal;a rapporté;ce que;le roman;;;;a reçu des critiques favorables dans la presse .
3;4;français;Le journal;a rapporté;ce qu';;;;;a reçu des critiques favorables dans la presse .
3;5;français;Le journal;a rapporté;que;le roman;qui;a provoqué ;le célèbre auteur;a reçu des critiques favorables dans la presse .
3;6;français;Le journal;a rapporté;que;le roman;qui;a provoqué ;;a reçu des critiques favorables dans la presse .
