numero,variable,region,model,langue,surprisal
1,1,1,BERT,Français,3.84335520901666
1,1,2,BERT,Français,6.277672110268361
1,1,3,BERT,Français,2.8932520957648142
1,1,4,BERT,Français,13.592256246045128
1,1,8,BERT,Français,11.767516125401832
1,2,1,BERT,Français,4.073908818040357
1,2,2,BERT,Français,7.337979390554321
1,2,3,BERT,Français,2.0597803313700243
1,2,8,BERT,Français,8.839838356853148
1,3,1,BERT,Français,3.8016676735006927
1,3,2,BERT,Français,10.072415609430902
1,3,3,BERT,Français,8.280143194494128
1,3,4,BERT,Français,16.072927103143467
1,3,8,BERT,Français,8.398651416623798
1,4,1,BERT,Français,4.834721724885878
1,4,2,BERT,Français,6.276814141954251
1,4,3,BERT,Français,4.6735713358229525
1,4,8,BERT,Français,9.532491338673658
1,5,1,BERT,Français,3.554399081304041
1,5,2,BERT,Français,8.577998131710578
1,5,3,BERT,Français,2.726020193843771
1,5,4,BERT,Français,12.51005908868309
1,5,5,BERT,Français,2.5971906344878493
1,5,6,BERT,Français,22.78832614228233
1,5,7,BERT,Français,11.72470184509229
1,5,8,BERT,Français,11.75984163915233
1,6,1,BERT,Français,5.410408167625785
1,6,2,BERT,Français,9.913404535731967
1,6,3,BERT,Français,3.60294586802778
1,6,4,BERT,Français,13.277368381374819
1,6,5,BERT,Français,2.6789576812511777
1,6,6,BERT,Français,14.360858381418252
1,6,8,BERT,Français,13.892858926838093
1,7,1,BERT,Français,3.546315026304501
1,7,2,BERT,Français,8.847732954531628
1,7,3,BERT,Français,5.218479094578505
1,7,4,BERT,Français,14.568146903458445
1,7,5,BERT,Français,6.018065302433742
1,7,6,BERT,Français,21.536739566774973
1,7,7,BERT,Français,14.133860864422054
1,7,8,BERT,Français,12.941730591673737
1,8,1,BERT,Français,4.260112904108516
1,8,2,BERT,Français,11.775016801031407
1,8,3,BERT,Français,4.547636455504258
1,8,4,BERT,Français,13.92967379931221
1,8,5,BERT,Français,5.917189072488441
1,8,6,BERT,Français,16.83140209182477
1,8,8,BERT,Français,13.098734880500485
2,1,1,BERT,Français,2.6480180187164737
2,1,2,BERT,Français,1.577955514885956
2,1,3,BERT,Français,0.9238079352920654
2,1,4,BERT,Français,14.218893567231834
2,1,8,BERT,Français,12.77109707256791
2,2,1,BERT,Français,2.5555345609542766
2,2,2,BERT,Français,1.4897124585819213
2,2,3,BERT,Français,8.73001771312699
2,2,8,BERT,Français,11.684772337595163
2,3,1,BERT,Français,2.6206144933423032
2,3,2,BERT,Français,3.873816548370037
2,3,3,BERT,Français,2.192022045640048
2,3,4,BERT,Français,13.623538198568692
2,3,8,BERT,Français,10.896768227750831
2,4,1,BERT,Français,2.545199952357378
2,4,2,BERT,Français,2.996813072414411
2,4,3,BERT,Français,9.244173345168257
2,4,8,BERT,Français,10.821617500017046
2,5,1,BERT,Français,1.6519879439773975
2,5,2,BERT,Français,1.2488873937724876
2,5,3,BERT,Français,0.7515061773844587
2,5,4,BERT,Français,9.188694007777663
2,5,5,BERT,Français,0.059787412107175836
2,5,6,BERT,Français,4.766921627324996
2,5,7,BERT,Français,13.789039775184364
2,5,8,BERT,Français,16.407799280640535
2,6,1,BERT,Français,2.023383962144401
2,6,2,BERT,Français,1.9002318017135609
2,6,3,BERT,Français,0.6300137461259655
2,6,4,BERT,Français,11.226018427253859
2,6,5,BERT,Français,0.09360369840446803
2,6,6,BERT,Français,5.183581035727222
2,6,8,BERT,Français,14.027534267015291
2,7,1,BERT,Français,1.9173053475528792
2,7,2,BERT,Français,3.1107053973658974
2,7,3,BERT,Français,11.307025405813773
2,7,4,BERT,Français,9.172669798968247
2,7,5,BERT,Français,0.08589137828445258
2,7,6,BERT,Français,6.091277828671867
2,7,7,BERT,Français,16.28448872131156
2,7,8,BERT,Français,14.532240237332536
2,8,1,BERT,Français,2.2332620388300755
2,8,2,BERT,Français,3.885646981573728
2,8,3,BERT,Français,11.984841393711836
2,8,4,BERT,Français,11.344150392067503
2,8,5,BERT,Français,0.06701891242689638
2,8,6,BERT,Français,5.5947951593513165
2,8,8,BERT,Français,12.531811140516966
3,1,1,BERT,Français,8.685777318549487
3,1,2,BERT,Français,8.303457004322532
3,1,3,BERT,Français,0.3588207462800517
3,1,4,BERT,Français,5.968647610874995
3,1,8,BERT,Français,15.957900138834122
3,2,1,BERT,Français,11.245119326200903
3,2,2,BERT,Français,8.626436511814495
3,2,3,BERT,Français,8.975943025983083
3,2,8,BERT,Français,13.523785561579636
3,3,1,BERT,Français,8.984787616233774
3,3,2,BERT,Français,8.163325205345156
3,3,3,BERT,Français,3.071215360519745
3,3,4,BERT,Français,8.864599918328764
3,3,8,BERT,Français,16.243915180236147
3,4,1,BERT,Français,11.002666129309876
3,4,2,BERT,Français,9.663141943557438
3,4,3,BERT,Français,5.617560274333346
3,4,8,BERT,Français,16.580614801655205
3,5,1,BERT,Français,7.277000531863858
3,5,2,BERT,Français,4.867804671173021
3,5,3,BERT,Français,4.084011057777108
3,5,4,BERT,Français,10.46502477776991
3,5,5,BERT,Français,4.530290249029716
3,5,6,BERT,Français,13.099681614353733
3,5,7,BERT,Français,5.942457378670678
3,5,8,BERT,Français,18.56629995804263
3,6,1,BERT,Français,9.172604764115198
3,6,2,BERT,Français,6.0293840417532945
3,6,3,BERT,Français,5.368059187849927
3,6,4,BERT,Français,11.531652763799293
3,6,5,BERT,Français,5.109553314742137
3,6,6,BERT,Français,11.097697484506226
3,6,8,BERT,Français,11.467105142506865
3,7,1,BERT,Français,10.634489989251499
3,7,2,BERT,Français,5.234085080441101
3,7,3,BERT,Français,4.796422280330478
3,7,4,BERT,Français,13.637161767257389
3,7,5,BERT,Français,3.497496907751027
3,7,6,BERT,Français,12.166558298573724
3,7,7,BERT,Français,6.19442388505943
3,7,8,BERT,Français,20.532919518123897
3,8,1,BERT,Français,10.65274427882653
3,8,2,BERT,Français,7.544426447093782
3,8,3,BERT,Français,4.644198212440311
3,8,4,BERT,Français,13.706129737568716
3,8,5,BERT,Français,3.8121595527817194
3,8,6,BERT,Français,11.788714853153083
3,8,8,BERT,Français,13.152404289202229
4,1,1,BERT,Français,1.6050781311268356
4,1,2,BERT,Français,9.013356584637538
4,1,3,BERT,Français,0.3466811385968872
4,1,4,BERT,Français,6.878836614569175
4,1,8,BERT,Français,13.80511317246261
4,2,1,BERT,Français,1.9332482483805176
4,2,2,BERT,Français,10.882305857663667
4,2,3,BERT,Français,3.4699724865715202
4,2,8,BERT,Français,10.19487008626395
4,3,1,BERT,Français,3.1906669635094054
4,3,2,BERT,Français,7.659031125537221
4,3,3,BERT,Français,1.9847329898985948
4,3,4,BERT,Français,9.479036812714892
4,3,8,BERT,Français,12.089053659989336
4,4,1,BERT,Français,2.6044395855215576
4,4,2,BERT,Français,9.960880138493438
4,4,3,BERT,Français,9.501551022061232
4,4,8,BERT,Français,13.337454178944029
4,5,1,BERT,Français,2.5462734607488517
4,5,2,BERT,Français,9.579616062901776
4,5,3,BERT,Français,2.044783959953735
