numero,variable,region,model,langue,surprisal
1,2,1,BERT,Anglais,9.783651351928711
1,2,2,BERT,Anglais,7.63767147064209
1,2,3,BERT,Anglais,0.01971064880490303
1,2,5,BERT,Anglais,0.5743704438209534
1,2,7,BERT,Anglais,0.10467055439949036
1,2,8,BERT,Anglais,1.700095295906067
1,2,9,BERT,Anglais,6.0828728675842285
1,3,1,BERT,Anglais,10.342795372009277
1,3,2,BERT,Anglais,10.114463806152344
1,3,3,BERT,Anglais,10.738078117370605
1,3,5,BERT,Anglais,0.3904433846473694
1,3,7,BERT,Anglais,4.738081932067871
1,3,8,BERT,Anglais,1.6724226474761963
1,3,9,BERT,Anglais,5.71558141708374
1,4,1,BERT,Anglais,10.342795372009277
1,4,2,BERT,Anglais,10.114463806152344
1,4,3,BERT,Anglais,10.738078117370605
1,4,5,BERT,Anglais,0.3904433846473694
1,4,7,BERT,Anglais,4.738081932067871
1,4,8,BERT,Anglais,1.6724226474761963
1,4,9,BERT,Anglais,5.71558141708374
1,5,1,BERT,Anglais,9.618724822998047
1,5,2,BERT,Anglais,8.017584800720215
1,5,3,BERT,Anglais,0.01622614823281765
1,5,5,BERT,Anglais,0.5864881277084351
1,5,6,BERT,Anglais,8.231168746948242
1,5,7,BERT,Anglais,0.19497491419315338
1,5,8,BERT,Anglais,4.24330997467041
1,5,9,BERT,Anglais,5.867812156677246
1,6,1,BERT,Anglais,9.618724822998047
1,6,2,BERT,Anglais,8.017584800720215
1,6,3,BERT,Anglais,0.01622614823281765
1,6,5,BERT,Anglais,0.5864881277084351
1,6,6,BERT,Anglais,8.231168746948242
1,6,7,BERT,Anglais,0.19497491419315338
1,6,8,BERT,Anglais,4.24330997467041
1,6,9,BERT,Anglais,5.867812156677246
1,7,1,BERT,Anglais,10.220552444458008
1,7,2,BERT,Anglais,10.636675834655762
1,7,3,BERT,Anglais,12.032674789428711
1,7,5,BERT,Anglais,0.6185643672943115
1,7,6,BERT,Anglais,5.880128383636475
1,7,7,BERT,Anglais,4.638660907745361
1,7,8,BERT,Anglais,4.501439571380615
1,7,9,BERT,Anglais,5.655529499053955
1,8,1,BERT,Anglais,10.220552444458008
1,8,2,BERT,Anglais,10.636675834655762
1,8,3,BERT,Anglais,12.032674789428711
1,8,5,BERT,Anglais,0.6185643672943115
1,8,6,BERT,Anglais,5.880128383636475
1,8,7,BERT,Anglais,4.638660907745361
1,8,8,BERT,Anglais,4.501439571380615
1,8,9,BERT,Anglais,5.655529499053955
1,9,1,BERT,Anglais,10.22972583770752
1,9,2,BERT,Anglais,7.096454620361328
1,9,3,BERT,Anglais,0.517907977104187
1,9,4,BERT,Anglais,6.147418022155762
1,9,5,BERT,Anglais,0.6367313265800476
1,9,7,BERT,Anglais,4.062306880950928
1,9,8,BERT,Anglais,1.5521806478500366
1,9,9,BERT,Anglais,5.992593288421631
1,10,1,BERT,Anglais,10.22972583770752
1,10,2,BERT,Anglais,7.096454620361328
1,10,3,BERT,Anglais,0.517907977104187
1,10,4,BERT,Anglais,6.147418022155762
1,10,5,BERT,Anglais,0.6367313265800476
1,10,7,BERT,Anglais,4.062306880950928
1,10,8,BERT,Anglais,1.5521806478500366
1,10,9,BERT,Anglais,5.992593288421631
1,11,1,BERT,Anglais,10.331215858459473
1,11,2,BERT,Anglais,9.418315887451172
1,11,3,BERT,Anglais,9.518240928649902
1,11,4,BERT,Anglais,11.273680686950684
1,11,5,BERT,Anglais,0.5899075269699097
1,11,7,BERT,Anglais,6.247752666473389
1,11,8,BERT,Anglais,1.4394927024841309
1,11,9,BERT,Anglais,6.3017578125
1,12,1,BERT,Anglais,10.331215858459473
1,12,2,BERT,Anglais,9.418315887451172
1,12,3,BERT,Anglais,9.518240928649902
1,12,4,BERT,Anglais,11.273680686950684
1,12,5,BERT,Anglais,0.5899075269699097
1,12,7,BERT,Anglais,6.247752666473389
1,12,8,BERT,Anglais,1.4394927024841309
1,12,9,BERT,Anglais,6.3017578125
2,1,1,BERT,Anglais,11.720681190490723
2,1,2,BERT,Anglais,6.633015155792236
2,1,3,BERT,Anglais,0.04555019736289978
2,1,5,BERT,Anglais,8.757235527038574
2,1,7,BERT,Anglais,24.076934814453125
2,1,8,BERT,Anglais,2.8789398670196533
2,1,9,BERT,Anglais,7.408149719238281
2,2,1,BERT,Anglais,11.720681190490723
2,2,2,BERT,Anglais,6.633015155792236
2,2,3,BERT,Anglais,0.04555019736289978
2,2,5,BERT,Anglais,8.757235527038574
2,2,7,BERT,Anglais,24.076934814453125
2,2,8,BERT,Anglais,2.8789398670196533
2,2,9,BERT,Anglais,7.408149719238281
2,3,1,BERT,Anglais,12.427668571472168
2,3,2,BERT,Anglais,6.822327136993408
2,3,3,BERT,Anglais,11.812135696411133
2,3,5,BERT,Anglais,10.418241500854492
2,3,7,BERT,Anglais,21.475061416625977
2,3,8,BERT,Anglais,5.431344032287598
2,3,9,BERT,Anglais,4.921198844909668
2,4,1,BERT,Anglais,12.427668571472168
2,4,2,BERT,Anglais,6.822327136993408
2,4,3,BERT,Anglais,11.812135696411133
2,4,5,BERT,Anglais,10.418241500854492
2,4,7,BERT,Anglais,21.475061416625977
2,4,8,BERT,Anglais,5.431344032287598
2,4,9,BERT,Anglais,4.921198844909668
2,5,1,BERT,Anglais,12.251995086669922
2,5,2,BERT,Anglais,6.747003078460693
2,5,3,BERT,Anglais,0.03823750838637352
2,5,5,BERT,Anglais,10.718425750732422
2,5,6,BERT,Anglais,0.047891270369291306
2,5,7,BERT,Anglais,24.88519287109375
2,5,8,BERT,Anglais,2.6437652111053467
2,5,9,BERT,Anglais,6.517240047454834
2,6,1,BERT,Anglais,12.251995086669922
2,6,2,BERT,Anglais,6.747003078460693
2,6,3,BERT,Anglais,0.03823750838637352
2,6,5,BERT,Anglais,10.718425750732422
2,6,6,BERT,Anglais,0.047891270369291306
2,6,7,BERT,Anglais,24.88519287109375
2,6,8,BERT,Anglais,2.6437652111053467
2,6,9,BERT,Anglais,6.517240047454834
2,7,1,BERT,Anglais,12.812145233154297
2,7,2,BERT,Anglais,6.322058200836182
2,7,3,BERT,Anglais,12.3790922164917
2,7,5,BERT,Anglais,10.945857048034668
2,7,6,BERT,Anglais,0.045669395476579666
2,7,7,BERT,Anglais,23.9111328125
2,7,8,BERT,Anglais,4.951657295227051
2,7,9,BERT,Anglais,4.943105697631836
2,8,1,BERT,Anglais,12.812145233154297
2,8,2,BERT,Anglais,6.322058200836182
2,8,3,BERT,Anglais,12.3790922164917
2,8,5,BERT,Anglais,10.945857048034668
2,8,6,BERT,Anglais,0.045669395476579666
2,8,7,BERT,Anglais,23.9111328125
2,8,8,BERT,Anglais,4.951657295227051
2,8,9,BERT,Anglais,4.943105697631836
2,9,1,BERT,Anglais,12.028678894042969
2,9,2,BERT,Anglais,8.334146499633789
2,9,3,BERT,Anglais,6.101130485534668
2,9,4,BERT,Anglais,6.00015115737915
2,9,5,BERT,Anglais,8.8931884765625
2,9,7,BERT,Anglais,22.38657569885254
2,9,8,BERT,Anglais,2.9320671558380127
2,9,9,BERT,Anglais,5.254513740539551
2,10,1,BERT,Anglais,12.028678894042969
2,10,2,BERT,Anglais,8.334146499633789
2,10,3,BERT,Anglais,6.101130485534668
2,10,4,BERT,Anglais,6.00015115737915
2,10,5,BERT,Anglais,8.8931884765625
2,10,7,BERT,Anglais,22.38657569885254
2,10,8,BERT,Anglais,2.9320671558380127
2,10,9,BERT,Anglais,5.254513740539551
2,11,1,BERT,Anglais,12.2055025100708
2,11,2,BERT,Anglais,9.63982105255127
2,11,3,BERT,Anglais,9.012743949890137
2,11,4,BERT,Anglais,8.610067367553711
2,11,5,BERT,Anglais,14.626558303833008
2,11,7,BERT,Anglais,22.872943878173828
2,11,8,BERT,Anglais,2.971872568130493
2,11,9,BERT,Anglais,4.632848262786865
2,12,1,BERT,Anglais,12.2055025100708
2,12,2,BERT,Anglais,9.63982105255127
2,12,3,BERT,Anglais,9.012743949890137
2,12,4,BERT,Anglais,8.610067367553711
2,12,5,BERT,Anglais,14.626558303833008
2,12,7,BERT,Anglais,22.872943878173828
2,12,8,BERT,Anglais,2.971872568130493
2,12,9,BERT,Anglais,4.632848262786865
3,1,1,BERT,Anglais,13.275856018066406
3,1,2,BERT,Anglais,7.718428611755371
3,1,3,BERT,Anglais,0.23652856051921844
3,1,5,BERT,Anglais,3.6136441230773926
3,1,7,BERT,Anglais,3.2998762130737305
3,1,8,BERT,Anglais,6.310627460479736
3,1,9,BERT,Anglais,8.297035217285156
3,2,1,BERT,Anglais,13.275856018066406
3,2,2,BERT,Anglais,7.718428611755371
3,2,3,BERT,Anglais,0.23652856051921844
3,2,5,BERT,Anglais,3.6136441230773926
3,2,7,BERT,Anglais,3.2998762130737305
3,2,8,BERT,Anglais,6.310627460479736
3,2,9,BERT,Anglais,8.297035217285156
3,3,1,BERT,Anglais,13.26371955871582
3,3,2,BERT,Anglais,6.786233901977539
3,3,3,BERT,Anglais,9.363577842712402
3,3,5,BERT,Anglais,4.428881645202637
3,3,7,BERT,Anglais,2.509401559829712
3,3,8,BERT,Anglais,6.910394668579102
3,3,9,BERT,Anglais,8.265092849731445
3,4,1,BERT,Anglais,13.26371955871582
3,4,2,BERT,Anglais,6.786233901977539
3,4,3,BERT,Anglais,9.363577842712402
3,4,5,BERT,Anglais,4.428881645202637
3,4,7,BERT,Anglais,2.509401559829712
3,4,8,BERT,Anglais,6.910394668579102
3,4,9,BERT,Anglais,8.265092849731445
3,5,1,BERT,Anglais,12.706572532653809
3,5,2,BERT,Anglais,7.795086860656738
3,5,3,BERT,Anglais,0.23551174998283386
3,5,5,BERT,Anglais,9.405827522277832
3,5,6,BERT,Anglais,4.127058029174805
3,5,7,BERT,Anglais,5.191807270050049
3,5,8,BERT,Anglais,6.175317764282227
3,5,9,BERT,Anglais,7.914485454559326
3,6,1,BERT,Anglais,12.706572532653809
3,6,2,BERT,Anglais,7.795086860656738
3,6,3,BERT,Anglais,0.23551174998283386
3,6,5,BERT,Anglais,9.405827522277832
3,6,6,BERT,Anglais,4.127058029174805
3,6,7,BERT,Anglais,5.191807270050049
3,6,8,BERT,Anglais,6.175317764282227
3,6,9,BERT,Anglais,7.914485454559326
3,7,1,BERT,Anglais,12.25272274017334
3,7,2,BERT,Anglais,6.616909503936768
3,7,3,BERT,Anglais,10.064017295837402
3,7,5,BERT,Anglais,8.632331848144531
3,7,6,BERT,Anglais,4.342210292816162
3,7,7,BERT,Anglais,2.564824342727661
3,7,8,BERT,Anglais,6.787538051605225
3,7,9,BERT,Anglais,7.704704761505127
3,8,1,BERT,Anglais,12.25272274017334
3,8,2,BERT,Anglais,6.616909503936768
3,8,3,BERT,Anglais,10.064017295837402
3,8,5,BERT,Anglais,8.632331848144531
3,8,6,BERT,Anglais,4.342210292816162
3,8,7,BERT,Anglais,2.564824342727661
3,8,8,BERT,Anglais,6.787538051605225
3,8,9,BERT,Anglais,7.704704761505127
3,9,1,BERT,Anglais,13.654848098754883
3,9,2,BERT,Anglais,5.687960147857666
3,9,3,BERT,Anglais,3.644317626953125
3,9,4,BERT,Anglais,5.463643550872803
3,9,5,BERT,Anglais,3.564084768295288
3,9,7,BERT,Anglais,2.631662607192993
3,9,8,BERT,Anglais,6.353204727172852
3,9,9,BERT,Anglais,7.22852897644043
3,10,1,BERT,Anglais,13.654848098754883
3,10,2,BERT,Anglais,5.687960147857666
3,10,3,BERT,Anglais,3.644317626953125
3,10,4,BERT,Anglais,5.463643550872803
3,10,5,BERT,Anglais,3.564084768295288
3,10,7,BERT,Anglais,2.631662607192993
3,10,8,BERT,Anglais,6.353204727172852
3,10,9,BERT,Anglais,7.22852897644043
3,11,1,BERT,Anglais,13.730164527893066
3,11,2,BERT,Anglais,8.0886869430542
3,11,3,BERT,Anglais,9.215835571289062
3,11,4,BERT,Anglais,6.040319919586182
3,11,5,BERT,Anglais,3.4028985500335693
3,11,7,BERT,Anglais,3.1939496994018555
3,11,8,BERT,Anglais,7.0230584144592285
3,11,9,BERT,Anglais,7.404943943023682
3,12,1,BERT,Anglais,13.730164527893066
3,12,2,BERT,Anglais,8.0886869430542
3,12,3,BERT,Anglais,9.215835571289062
3,12,4,BERT,Anglais,6.040319919586182
3,12,5,BERT,Anglais,3.4028985500335693
3,12,7,BERT,Anglais,3.1939496994018555
3,12,8,BERT,Anglais,7.0230584144592285
3,12,9,BERT,Anglais,7.404943943023682
4,1,1,BERT,Anglais,8.21253490447998
4,1,2,BERT,Anglais,14.657194137573242
4,1,3,BERT,Anglais,8.84714126586914
4,1,5,BERT,Anglais,8.523037910461426
4,1,7,BERT,Anglais,10.448190689086914
4,1,8,BERT,Anglais,5.110408306121826
4,1,9,BERT,Anglais,6.343765735626221
4,2,1,BERT,Anglais,8.21253490447998
4,2,2,BERT,Anglais,14.657194137573242
4,2,3,BERT,Anglais,8.84714126586914
4,2,5,BERT,Anglais,8.523037910461426
4,2,7,BERT,Anglais,10.448190689086914
4,2,8,BERT,Anglais,5.110408306121826
4,2,9,BERT,Anglais,6.343765735626221
4,3,1,BERT,Anglais,9.196897506713867
4,3,2,BERT,Anglais,4.766265392303467
4,3,3,BERT,Anglais,11.184903144836426
4,3,5,BERT,Anglais,8.938169479370117
4,3,7,BERT,Anglais,9.00536823272705
4,3,8,BERT,Anglais,6.6065287590026855
4,3,9,BERT,Anglais,11.394232749938965
4,4,1,BERT,Anglais,9.196897506713867
4,4,2,BERT,Anglais,4.766265392303467
4,4,3,BERT,Anglais,11.184903144836426
4,4,5,BERT,Anglais,8.938169479370117
4,4,7,BERT,Anglais,9.00536823272705
4,4,8,BERT,Anglais,6.6065287590026855
4,4,9,BERT,Anglais,11.394232749938965
4,5,1,BERT,Anglais,9.190951347351074
4,5,2,BERT,Anglais,12.351678848266602
4,5,3,BERT,Anglais,7.021530628204346
