numero,variable,region,model,langue,surprisal
1,2,1,BERT,Français,9.45063175950523
1,2,2,BERT,Français,7.8061104335631235
1,2,3,BERT,Français,0.7008329348119954
1,2,7,BERT,Français,12.401108663698132
1,2,8,BERT,Français,2.954590602242756
1,2,9,BERT,Français,11.426117902428723
1,2,11,BERT,Français,11.338794265302381
1,3,1,BERT,Français,9.026089583190625
1,3,2,BERT,Français,7.90322196185759
1,3,3,BERT,Français,3.32074445851904
1,3,7,BERT,Français,10.839156228288036
1,3,8,BERT,Français,5.078226876037368
1,3,9,BERT,Français,5.213860715768581
1,3,10,BERT,Français,0.9197445735424447
1,3,11,BERT,Français,13.54898463539305
1,4,1,BERT,Français,11.36521143451771
1,4,2,BERT,Français,9.562298971343797
1,4,3,BERT,Français,4.196559992816559
1,4,7,BERT,Français,12.82707553100106
1,4,8,BERT,Français,6.80508702899619
1,4,9,BERT,Français,9.330909171834465
1,4,11,BERT,Français,12.321256207660138
1,5,1,BERT,Français,10.296878048229418
1,5,2,BERT,Français,8.27539507619948
1,5,3,BERT,Français,1.3386810577060986
1,5,4,BERT,Français,6.824804845258432
1,5,5,BERT,Français,0.9212278084852628
1,5,6,BERT,Français,0.27536083511069465
1,5,7,BERT,Français,10.03481884283379
1,5,9,BERT,Français,5.395355155788871
1,5,10,BERT,Français,0.19887573492445038
1,5,11,BERT,Français,13.960468437869237
1,6,1,BERT,Français,9.849532651623962
1,6,2,BERT,Français,8.22818151994844
1,6,3,BERT,Français,1.1929111350655168
1,6,4,BERT,Français,5.638138797027838
1,6,5,BERT,Français,3.020230039647185
1,6,6,BERT,Français,0.30250307321104375
1,6,7,BERT,Français,13.691499174183344
1,6,9,BERT,Français,12.126373123674293
1,6,11,BERT,Français,10.70931878181864
1,7,1,BERT,Français,10.967279257674123
1,7,2,BERT,Français,8.532331146143898
1,7,3,BERT,Français,4.418003348196181
1,7,4,BERT,Français,8.973866653016358
1,7,5,BERT,Français,4.869186265322888
1,7,6,BERT,Français,0.09841769137662809
1,7,7,BERT,Français,11.138264283172758
1,7,9,BERT,Français,6.358375200599015
1,7,10,BERT,Français,0.6001696606706997
1,7,11,BERT,Français,14.8826300459197
1,8,1,BERT,Français,12.269569977947206
1,8,2,BERT,Français,9.265602740540055
1,8,3,BERT,Français,4.13974303912524
1,8,4,BERT,Français,8.223893521318917
1,8,5,BERT,Français,6.573465601701477
1,8,6,BERT,Français,0.13420680006130556
1,8,7,BERT,Français,12.923267242363659
1,8,9,BERT,Français,10.73091556509095
1,8,11,BERT,Français,12.520568422105242
2,1,1,BERT,Français,7.006751387166433
2,1,2,BERT,Français,0.38145956938466896
2,1,3,BERT,Français,0.7008716527281516
2,1,7,BERT,Français,7.240773956308496
2,1,8,BERT,Français,6.830559230084593
2,1,9,BERT,Français,4.063763037054924
2,1,10,BERT,Français,7.345929120694871
2,1,11,BERT,Français,15.88181582966144
2,2,1,BERT,Français,7.519617658346629
2,2,2,BERT,Français,0.6255521444766278
2,2,3,BERT,Français,0.6441573574546483
2,2,7,BERT,Français,10.065756540465609
2,2,8,BERT,Français,11.4059500676121
2,2,9,BERT,Français,7.95668212205467
2,2,11,BERT,Français,16.09095503922952
2,3,1,BERT,Français,6.745828600856535
2,3,2,BERT,Français,3.704020645307077
2,3,3,BERT,Français,1.8836528656086433
2,3,7,BERT,Français,6.969958645371633
2,3,8,BERT,Français,2.9123013392264965
2,3,9,BERT,Français,3.50168567379165
2,3,10,BERT,Français,7.400173967337822
2,3,11,BERT,Français,15.25007534745422
2,4,1,BERT,Français,6.938774185957985
2,4,2,BERT,Français,3.1420692958482523
2,4,3,BERT,Français,3.175306128723289
2,4,7,BERT,Français,13.14826553921275
2,4,8,BERT,Français,10.065298775902656
2,4,9,BERT,Français,7.597186731945681
2,4,11,BERT,Français,15.298379852653397
2,5,1,BERT,Français,7.644478718531806
2,5,2,BERT,Français,0.08714071608882197
2,5,3,BERT,Français,0.10008451929537714
2,5,4,BERT,Français,8.394406093946083
2,5,5,BERT,Français,2.817589581551651
2,5,6,BERT,Français,0.06824019608945547
2,5,7,BERT,Français,9.023708239508627
2,5,9,BERT,Français,2.9895108215736994
2,5,10,BERT,Français,4.249891994667223
2,5,11,BERT,Français,13.757146014666889
2,6,1,BERT,Français,7.930983812441902
2,6,2,BERT,Français,0.16937183931551875
2,6,3,BERT,Français,0.17002134719054143
2,6,4,BERT,Français,8.762824473802846
2,6,5,BERT,Français,2.272662613042202
2,6,6,BERT,Français,0.10732480566634924
2,6,7,BERT,Français,11.340562042976735
2,6,9,BERT,Français,6.986477799894045
2,6,11,BERT,Français,13.850141420664928
2,7,1,BERT,Français,7.906722363389447
2,7,2,BERT,Français,3.2283364457596666
2,7,3,BERT,Français,2.7745442351601084
2,7,4,BERT,Français,12.218841326312317
2,7,5,BERT,Français,2.7656501771368185
2,7,6,BERT,Français,0.05105010025191189
2,7,7,BERT,Français,9.06697162109655
2,7,9,BERT,Français,3.465372246774835
2,7,10,BERT,Français,5.059918367194324
2,7,11,BERT,Français,12.587281701068054
2,8,1,BERT,Français,7.572751104353641
2,8,2,BERT,Français,2.1221035896978564
2,8,3,BERT,Français,2.1659527956052576
2,8,4,BERT,Français,12.549815472821601
2,8,5,BERT,Français,2.768138107867026
2,8,6,BERT,Français,0.18009721031918333
2,8,7,BERT,Français,12.074713870228965
2,8,9,BERT,Français,6.799604676209391
2,8,11,BERT,Français,14.583678705652234
3,1,1,BERT,Français,12.418903800501836
3,1,2,BERT,Français,9.298319154051887
3,1,3,BERT,Français,3.2853355475660857
3,1,7,BERT,Français,7.213375503018857
3,1,8,BERT,Français,4.134794873376435
3,1,9,BERT,Français,14.364782402920016
3,1,10,BERT,Français,13.618877451131638
3,1,11,BERT,Français,13.877302316856245
3,2,1,BERT,Français,11.14698405499201
3,2,2,BERT,Français,7.3216622771948545
3,2,3,BERT,Français,1.6284140989776918
3,2,7,BERT,Français,10.919229631027612
3,2,8,BERT,Français,4.890287288617678
3,2,9,BERT,Français,10.588695523129076
3,2,11,BERT,Français,11.745065541256594
3,3,1,BERT,Français,12.201470749145995
3,3,2,BERT,Français,8.279327795728022
3,3,3,BERT,Français,0.9105031280399734
3,3,7,BERT,Français,11.025971819082027
3,3,8,BERT,Français,5.2077976206814105
3,3,9,BERT,Français,16.132570989897292
3,3,10,BERT,Français,11.838963327349584
3,3,11,BERT,Français,14.65432648423317
3,4,1,BERT,Français,12.278131056059879
3,4,2,BERT,Français,9.581833661974251
3,4,3,BERT,Français,1.8045336198781476
3,4,7,BERT,Français,9.506168976795978
3,4,8,BERT,Français,5.0474599341311075
3,4,9,BERT,Français,15.960614862637263
3,4,11,BERT,Français,14.839708307464678
3,5,1,BERT,Français,12.265239635288001
3,5,2,BERT,Français,6.114478258159517
3,5,3,BERT,Français,0.11279872517274943
3,5,4,BERT,Français,6.587143469567475
3,5,5,BERT,Français,0.9313251945872736
3,5,6,BERT,Français,0.03127582272493357
3,5,7,BERT,Français,9.492273942820821
3,5,9,BERT,Français,10.973416785925522
3,5,10,BERT,Français,13.742846846160258
3,5,11,BERT,Français,9.946405667926406
3,6,1,BERT,Français,12.008536195350835
3,6,2,BERT,Français,7.105101768398398
3,6,3,BERT,Français,0.6947889261055995
3,6,4,BERT,Français,7.4782352000868775
3,6,5,BERT,Français,2.9765065367450556
3,6,6,BERT,Français,0.08974979716172563
3,6,7,BERT,Français,12.105103433214177
3,6,9,BERT,Français,10.176854567045194
3,6,11,BERT,Français,9.727385733308836
3,7,1,BERT,Français,11.093571859593059
3,7,2,BERT,Français,9.235939959111006
3,7,3,BERT,Français,0.5743404951964246
3,7,4,BERT,Français,5.74619968044096
3,7,5,BERT,Français,0.4646340789773651
3,7,6,BERT,Français,0.035087988805150745
3,7,7,BERT,Français,6.36930160825293
3,7,9,BERT,Français,12.707866146071442
3,7,10,BERT,Français,14.36525130970557
3,7,11,BERT,Français,11.146027470521883
3,8,1,BERT,Français,11.783406729412963
3,8,2,BERT,Français,8.632235870225045
3,8,3,BERT,Français,0.8699143323961092
3,8,4,BERT,Français,7.088136267480476
3,8,5,BERT,Français,1.7694866571591015
3,8,6,BERT,Français,0.04461410462719889
3,8,7,BERT,Français,9.65726500192403
3,8,9,BERT,Français,10.46216889915175
