Groupe1;I know that your tears signaled an indication last night . ;I remember that we all pitched in to buy the gift at the last minute . ;The newspaper reported that the critics reviewed the novel in the press . ;I know that the family bought the painting sometime last year . ;You remember that the spy sold the instructions much to our regret . ;She told me that he has had an allergy ever since he was young . ;She knows that the doorman accepted the delivery last Tuesday . ;We all remember that the mailman lost the package in the holiday rush . ;My friend reported that we listened to the symphony yesterday night . ;I have an idea about that I saw the play last night . ;She can guess that my friend wrote a forward over the weekend . ;The newspaper reported that she made the salad dressing from a mix every time she cooked . ;We recall that the blogger drafted a critique late in the afternoon . ;I remember that the politician wrote a diatribe yesterday night . ;Our friend guessed that we saw a picture yesterday afternoon . ;The mayor told me that the newspapers printed a photograph two days after the battle . ;My friend remembers that the monk penned a description over a year ago . ;The newspaper said that I picked out the present while I was on vacation . ;Our neighbor said that she won the argument yesterday . ;My friend told me that he wrote a proposal last evening . ;She can not believe that we attended a conference last spring . 
Groupe2;I know that your tears signaled last night . ;I remember that we all pitched in to buy at the last minute . ;The newspaper reported that the critics reviewed in the press . ;I know that the family bought sometime last year . ;You remember that the spy sold much to our regret . ;She told me that he has had ever since he was young . ;She knows that the doorman accepted last Tuesday . ;We all remember that the mailman lost in the holiday rush . ;My friend reported that we listened to yesterday night . ;I have an idea about that I saw last night . ;She can guess that my friend wrote over the weekend . ;The newspaper reported that she made the salad dressing from every time she cooked . ;We recall that the blogger drafted late in the afternoon . ;I remember that the politician wrote yesterday night . ;Our friend guessed that we saw yesterday afternoon . ;The mayor told me that the newspapers printed two days after the battle . ;My friend remembers that the monk penned over a year ago . ;The newspaper said that I picked out while I was on vacation . ;Our neighbor said that she won yesterday . ;My friend told me that he wrote last evening . ;She can not believe that we attended last spring . 
Groupe3;I know what your tears signaled an indication last night . ;I remember what we all pitched in to buy the gift at the last minute . ;The newspaper reported what the critics reviewed the novel in the press . ;I know what the family bought the painting sometime last year . ;You remember what the spy sold the instructions much to our regret . ;She told me what he has had an allergy ever since he was young . ;She knows what the doorman accepted the delivery last Tuesday . ;We all remember what the mailman lost the package in the holiday rush . ;My friend reported what we listened to the symphony yesterday night . ;I have an idea about what I saw the play last night . ;She can guess what my friend wrote a forward over the weekend . ;The newspaper reported what she made the salad dressing from a mix every time she cooked . ;We recall what the blogger drafted a critique late in the afternoon . ;I remember what the politician wrote a diatribe yesterday night . ;Our friend guessed what we saw a picture yesterday afternoon . ;The mayor told me what the newspapers printed a photograph two days after the battle . ;My friend remembers what the monk penned a description over a year ago . ;The newspaper said what I picked out the present while I was on vacation . ;Our neighbor said what she won the argument yesterday . ;My friend told me what he wrote a proposal last evening . ;She can not believe what we attended a conference last spring . 
Groupe4;I know what your tears signaled last night . ;I remember what we all pitched in to buy at the last minute . ;The newspaper reported what the critics reviewed in the press . ;I know what the family bought sometime last year . ;You remember what the spy sold much to our regret . ;She told me what he has had ever since he was young . ;She knows what the doorman accepted last Tuesday . ;We all remember what the mailman lost in the holiday rush . ;My friend reported what we listened to yesterday night . ;I have an idea about what I saw last night . ;She can guess what my friend wrote over the weekend . ;The newspaper reported what she made the salad dressing from every time she cooked . ;We recall what the blogger drafted late in the afternoon . ;I remember what the politician wrote yesterday night . ;Our friend guessed what we saw yesterday afternoon . ;The mayor told me what the newspapers printed two days after the battle . ;My friend remembers what the monk penned over a year ago . ;The newspaper said what I picked out while I was on vacation . ;Our neighbor said what she won yesterday . ;My friend told me what he wrote last evening . ;She can not believe what we attended last spring . 
Groupe5;I know that your tears signaled an indication which signaled depression last night . ;I remember that we all pitched in to buy the gift which we bought Mary at the last minute . ;The newspaper reported that the critics reviewed the novel which provoked the famous author in the press . ;I know that the family bought the painting which depicted Monet sometime last year . ;You remember that the spy sold the instructions which showed how to operate the submarine much to our regret . ;She told me that he has had an allergy which is caused by peanuts ever since he was young . ;She knows that the doorman accepted the delivery which shocked Sarah last Tuesday . ;We all remember that the mailman lost the package which Sarah described to Robert in the holiday rush . ;My friend reported that we listened to the symphony which was dedicated to Mozart yesterday night . ;I have an idea about that I saw the play which delighted the amateur comedian last night . ;She can guess that my friend wrote a forward which introduced the new manuscript over the weekend . ;The newspaper reported that she made the salad dressing from a mix which included oil and vinegar every time she cooked . ;We recall that the blogger drafted a critique which was aimed at the fossil fuel industry late in the afternoon . ;I remember that the politician wrote a diatribe that criticized the mayor yesterday night . ;Our friend guessed that we saw a picture which showed the convict yesterday afternoon . ;The mayor told me that the newspapers printed a photograph which shocked the public two days after the battle . ;My friend remembers that the monk penned a description which mocked abbey life over a year ago . ;The newspaper said that I picked out the present that we gave Simon while I was on vacation . ;Our neighbor said that she won the argument which concerned childcare yesterday . ;My friend told me that he wrote a proposal which he will deliver to the board last evening . ;She can not believe that we attended a conference which popularized cell evolution last spring . 
Groupe6;I know that your tears signaled an indication which signaled last night . ;I remember that we all pitched in to buy the gift which we bought at the last minute . ;The newspaper reported that the critics reviewed the novel which provoked in the press . ;I know that the family bought the painting which depicted sometime last year . ;You remember that the spy sold the instructions which showed how to operate much to our regret . ;She told me that he has had an allergy which is caused by ever since he was young . ;She knows that the doorman accepted the delivery which shocked last Tuesday . ;We all remember that the mailman lost the package which Sarah described to in the holiday rush . ;My friend reported that we listened to the symphony which was dedicated to yesterday night . ;I have an idea about that I saw the play which delighted last night . ;She can guess that my friend wrote a forward which introduced over the weekend . ;The newspaper reported that she made the salad dressing from a mix which included every time she cooked . ;We recall that the blogger drafted a critique which was aimed at late in the afternoon . ;I remember that the politician wrote a diatribe that criticized yesterday night . ;Our friend guessed that we saw a picture which showed yesterday afternoon . ;The mayor told me that the newspapers printed a photograph which shocked two days after the battle . ;My friend remembers that the monk penned a description which mocked over a year ago . ;The newspaper said that I picked out the present that we gave while I was on vacation . ;Our neighbor said that she won the argument which concerned yesterday . ;My friend told me that he wrote a proposal which he will deliver to last evening . ;She can not believe that we attended a conference which popularized last spring . 
Groupe7;I know what your tears signaled an indication which signaled depression last night . ;I remember who we all pitched in to buy the gift which we bought Mary at the last minute . ;The newspaper reported who the critics reviewed the novel which provoked the famous author in the press . ;I know who the family bought the painting which depicted Monet sometime last year . ;You remember what the spy sold the instructions which showed how to operate the submarine much to our regret . ;She told me what he has had an allergy which is caused by peanuts ever since he was young . ;She knows who the doorman accepted the delivery which shocked Sarah last Tuesday . ;We all remember who the mailman lost the package which Sarah described to Robert in the holiday rush . ;My friend reported who we listened to the symphony which was dedicated to Mozart yesterday night . ;I have an idea about who I saw the play which delighted the amateur comedian last night . ;She can guess what my friend wrote a forward which introduced the new manuscript over the weekend . ;The newspaper reported what she made the salad dressing from a mix which included oil and vinegar every time she cooked . ;We recall what the blogger drafted a critique which was aimed at the fossil fuel industry late in the afternoon . ;I remember who the politician wrote a diatribe that criticized the mayor yesterday night . ;Our friend guessed who we saw a picture which showed the convict yesterday afternoon . ;The mayor told me who the newspapers printed a photograph which shocked the public two days after the battle . ;My friend remembers what the monk penned a description which mocked abbey life over a year ago . ;The newspaper said who I picked out the present that we gave Simon while I was on vacation . ;Our neighbor said what she won the argument which concerned childcare yesterday . ;My friend told me who he wrote a proposal which he will deliver to the board last evening . ;She can not believe what we attended a conference which popularized cell evolution last spring . 
Groupe8;I know what your tears signaled an indication which signaled last night . ;I remember who we all pitched in to buy the gift which we bought at the last minute . ;The newspaper reported who the critics reviewed the novel which provoked in the press . ;I know who the family bought the painting which depicted sometime last year . ;You remember what the spy sold the instructions which showed how to operate much to our regret . ;She told me what he has had an allergy which is caused by ever since he was young . ;She knows who the doorman accepted the delivery which shocked last Tuesday . ;We all remember who the mailman lost the package which Sarah described to in the holiday rush . ;My friend reported who we listened to the symphony which was dedicated to yesterday night . ;I have an idea about who I saw the play which delighted last night . ;She can guess what my friend wrote a forward which introduced over the weekend . ;The newspaper reported what she made the salad dressing from a mix which included every time she cooked . ;We recall what the blogger drafted a critique which was aimed at late in the afternoon . ;I remember who the politician wrote a diatribe that criticized yesterday night . ;Our friend guessed who we saw a picture which showed yesterday afternoon . ;The mayor told me who the newspapers printed a photograph which shocked two days after the battle . ;My friend remembers what the monk penned a description which mocked over a year ago . ;The newspaper said who I picked out the present that we gave while I was on vacation . ;Our neighbor said what she won the argument which concerned yesterday . ;My friend told me who he wrote a proposal which he will deliver to last evening . ;She can not believe what we attended a conference which popularized last spring . 
Groupe9;I know that your tears signaled an indication that signaled depression last night . ;I remember that we all pitched in to buy the gift that we bought Mary at the last minute . ;The newspaper reported that the critics reviewed the novel that provoked the famous author in the press . ;I know that the family bought the painting that depicted Monet sometime last year . ;You remember that the spy sold the instructions that showed how to operate the submarine much to our regret . ;She told me that he has had an allergy that is caused by peanuts ever since he was young . ;She knows that the doorman accepted the delivery that shocked Sarah last Tuesday . ;We all remember that the mailman lost the package that Sarah described to Robert in the holiday rush . ;My friend reported that we listened to the symphony that was dedicated to Mozart yesterday night . ;I have an idea about that I saw the play that delighted the amateur comedian last night . ;She can guess that my friend wrote a forward that introduced the new manuscript over the weekend . ;The newspaper reported that she made the salad dressing from a mix that included oil and vinegar every time she cooked . ;We recall that the blogger drafted a critique that was aimed at the fossil fuel industry late in the afternoon . ;I remember that the politician wrote a diatribe that criticized the mayor yesterday night . ;Our friend guessed that we saw a picture that showed the convict yesterday afternoon . ;The mayor told me that the newspapers printed a photograph that shocked the public two days after the battle . ;My friend remembers that the monk penned a description that mocked abbey life over a year ago . ;The newspaper said that I picked out the present that we gave Simon while I was on vacation . ;Our neighbor said that she won the argument that concerned childcare yesterday . ;My friend told me that he wrote a proposal that he will deliver to the board last evening . ;She can not believe that we attended a conference that popularized cell evolution last spring . 
Groupe10;I know that your tears signaled an indication that signaled last night . ;I remember that we all pitched in to buy the gift that we bought at the last minute . ;The newspaper reported that the critics reviewed the novel that provoked in the press . ;I know that the family bought the painting that depicted sometime last year . ;You remember that the spy sold the instructions that showed how to operate much to our regret . ;She told me that he has had an allergy that is caused by ever since he was young . ;She knows that the doorman accepted the delivery that shocked last Tuesday . ;We all remember that the mailman lost the package that Sarah described to in the holiday rush . ;My friend reported that we listened to the symphony that was dedicated to yesterday night . ;I have an idea about that I saw the play that delighted last night . ;She can guess that my friend wrote a forward that introduced over the weekend . ;The newspaper reported that she made the salad dressing from a mix that included every time she cooked . ;We recall that the blogger drafted a critique that was aimed at late in the afternoon . ;I remember that the politician wrote a diatribe that criticized yesterday night . ;Our friend guessed that we saw a picture that showed yesterday afternoon . ;The mayor told me that the newspapers printed a photograph that shocked two days after the battle . ;My friend remembers that the monk penned a description that mocked over a year ago . ;The newspaper said that I picked out the present that we gave while I was on vacation . ;Our neighbor said that she won the argument that concerned yesterday . ;My friend told me that he wrote a proposal that he will deliver to last evening . ;She can not believe that we attended a conference that popularized last spring . 
Groupe11;I know what your tears signaled an indication that signaled depression last night . ;I remember who we all pitched in to buy the gift that we bought Mary at the last minute . ;The newspaper reported who the critics reviewed the novel that provoked the famous author in the press . ;I know who the family bought the painting that depicted Monet sometime last year . ;You remember what the spy sold the instructions that showed how to operate the submarine much to our regret . ;She told me what he has had an allergy that is caused by peanuts ever since he was young . ;She knows who the doorman accepted the delivery that shocked Sarah last Tuesday . ;We all remember who the mailman lost the package that Sarah described to Robert in the holiday rush . ;My friend reported who we listened to the symphony that was dedicated to Mozart yesterday night . ;I have an idea about who I saw the play that delighted the amateur comedian last night . ;She can guess what my friend wrote a forward that introduced the new manuscript over the weekend . ;The newspaper reported what she made the salad dressing from a mix that included oil and vinegar every time she cooked . ;We recall what the blogger drafted a critique that was aimed at the fossil fuel industry late in the afternoon . ;I remember who the politician wrote a diatribe that criticized the mayor yesterday night . ;Our friend guessed who we saw a picture that showed the convict yesterday afternoon . ;The mayor told me who the newspapers printed a photograph that shocked the public two days after the battle . ;My friend remembers what the monk penned a description that mocked abbey life over a year ago . ;The newspaper said who I picked out the present that we gave Simon while I was on vacation . ;Our neighbor said what she won the argument that concerned childcare yesterday . ;My friend told me who he wrote a proposal that he will deliver to the board last evening . ;She can not believe what we attended a conference that popularized cell evolution last spring . 
