numero;variable;langue;phrase;;;;;;;;;
1;1;anglais;I;know;that;your tears;signaled;an indication ;;;;last night .
1;2;anglais;I;know;that;your tears;signaled;;;;;last night .
1;3;anglais;I;know;what;your tears;signaled;an indication ;;;;last night .
1;4;anglais;I;know;what;your tears;signaled;;;;;last night .
1;5;anglais;I;know;that;your tears;signaled;an indication ;which ;signaled ;depression ;last night .
1;6;anglais;I;know;that;your tears;signaled;an indication ;which ;signaled ;;last night .
1;7;anglais;I;know;what;your tears;signaled;an indication ;which ;signaled ;depression ;last night .
1;8;anglais;I;know;what;your tears;signaled;an indication ;which ;signaled ;;last night .
1;9;anglais;I;know;that;your tears;signaled;an indication ;that;signaled ;depression ;last night .
1;10;anglais;I;know;that;your tears;signaled;an indication ;that;signaled ;;last night .
1;11;anglais;I;know;what;your tears;signaled;an indication ;that;signaled ;depression ;last night .
1;12;anglais;I;know;what;your tears;signaled;an indication ;that;signaled ;;last night .
1;13;anglais;I;know;that;your tears;signaled;an indication ;of;;depression ;last night .
1;14;anglais;I;know;that;your tears;signaled;an indication ;of;;;last night .
1;15;anglais;I;know;what;your tears;signaled;an indication ;of;;depression ;last night .
1;16;anglais;I;know;what;your tears;signaled;an indication ;of;;;last night .
2;1;anglais;I;remember;that;we all;pitched in to buy;the gift;;;;at the last minute .
2;2;anglais;I;remember;that;we all;pitched in to buy;;;;;at the last minute .
2;3;anglais;I;remember;what;we all;pitched in to buy;the gift;;;;at the last minute .
2;4;anglais;I;remember;what;we all;pitched in to buy;;;;;at the last minute .
2;5;anglais;I;remember;that;we all;pitched in to buy;the gift;which ;we bought;Mary;at the last minute .
2;6;anglais;I;remember;that;we all;pitched in to buy;the gift;which ;we bought;;at the last minute .
2;7;anglais;I;remember;who;we all;pitched in to buy;the gift;which ;we bought;Mary;at the last minute .
2;8;anglais;I;remember;who;we all;pitched in to buy;the gift;which ;we bought;;at the last minute .
2;9;anglais;I;remember;that;we all;pitched in to buy;the gift;that;we bought;Mary;at the last minute .
2;10;anglais;I;remember;that;we all;pitched in to buy;the gift;that;we bought;;at the last minute .
2;11;anglais;I;remember;who;we all;pitched in to buy;the gift;that;we bought;Mary;at the last minute .
2;12;anglais;I;remember;who;we all;pitched in to buy;the gift;that;we bought;;at the last minute .
2;13;anglais;I;remember;that;we all;pitched in to buy;the gift;for;;Mary;at the last minute .
2;14;anglais;I;remember;that;we all;pitched in to buy;the gift;for;;;at the last minute .
2;15;anglais;I;remember;who;we all;pitched in to buy;the gift;for;;Mary;at the last minute .
2;16;anglais;I;remember;who;we all;pitched in to buy;the gift;for;;;at the last minute .
3;1;anglais;The newspaper;reported;that;the critics;reviewed;the novel;;;;in the press .
3;2;anglais;The newspaper;reported;that;the critics;reviewed;;;;;in the press .
3;3;anglais;The newspaper;reported;what;the critics;reviewed;the novel;;;;in the press .
3;4;anglais;The newspaper;reported;what;the critics;reviewed;;;;;in the press .
3;5;anglais;The newspaper;reported;that;the critics;reviewed;the novel;which;provoked;the famous author ;in the press .
3;6;anglais;The newspaper;reported;that;the critics;reviewed;the novel;which;provoked;;in the press .
3;7;anglais;The newspaper;reported;who;the critics;reviewed;the novel;which;provoked;the famous author;in the press .
3;8;anglais;The newspaper;reported;who;the critics;reviewed;the novel;which;provoked;;in the press .
3;9;anglais;The newspaper;reported;that;the critics;reviewed;the novel;that;provoked;the famous author ;in the press .
3;10;anglais;The newspaper;reported;that;the critics;reviewed;the novel;that;provoked;;in the press .
3;11;anglais;The newspaper;reported;who;the critics;reviewed;the novel;that;provoked;the famous author;in the press .
3;12;anglais;The newspaper;reported;who;the critics;reviewed;the novel;that;provoked;;in the press .
3;13;anglais;The newspaper;reported;that;the critics;reviewed;the novel;by ;;by the famous author ;in the press .
3;14;anglais;The newspaper;reported;that;the critics;reviewed;the novel;by;;;in the press .
3;15;anglais;The newspaper;reported;who;the critics;reviewed;the novel;by;;by the famous author ;in the press .
3;16;anglais;The newspaper;reported;who;the critics;reviewed;the novel;by;;;in the press .
4;1;anglais;I;know;that;the family;bought;the painting sometime last year .;;;;
4;2;anglais;I;know;that;the family;bought;sometime last year .;;;;
4;3;anglais;I;know;what;the family;bought;the painting sometime last year .;;;;
4;4;anglais;I;know;what;the family;bought;sometime last year .;;;;
4;5;anglais;I;know;that;the family;bought;the painting which depicted Monet sometime last year .;;;;
4;6;anglais;I;know;that;the family;bought;the painting which depicted sometime last year .;;;;
4;7;anglais;I;know;who;the family;bought;the painting which depicted Monet sometime last year .;;;;
4;8;anglais;I;know;who;the family;bought;the painting which depicted sometime last year .;;;;
4;9;anglais;I;know;that;the family;bought;the painting that depicted Monet sometime last year .;;;;
4;10;anglais;I;know;that;the family;bought;the painting that depicted sometime last year .;;;;
4;11;anglais;I;know;who;the family;bought;the painting that depicted Monet sometime last year .;;;;
4;12;anglais;I;know;who;the family;bought;the painting that depicted sometime last year .;;;;
4;13;anglais;I;know;that;the family;bought;the painting by Monet sometime last year .;;;;
4;14;anglais;I;know;that;the family;bought;the painting by sometime last year .;;;;
4;15;anglais;I;know;who;the family;bought;the painting by Monet sometime last year .;;;;
4;16;anglais;I;know;who;the family;bought;the painting by sometime last year .;;;;
5;1;anglais;You;remember;that;the spy;sold;the instructions much to our regret .;;;;
5;2;anglais;You;remember;that;the spy;sold;much to our regret .;;;;
5;3;anglais;You;remember;what;the spy;sold;the instructions much to our regret .;;;;
5;4;anglais;You;remember;what;the spy;sold;much to our regret .;;;;
