numero;variable;langue;phrase;;;;;;;;;;
1;1;français;Je;sais;que ;tes larmes;ont signalé;une indication ;;;;la nuit dernière .;
1;2;français;Je;sais;que ;tes larmes;ont signalé;;;;;la nuit dernière .;
1;3;français;Je;sais;ce que;tes larmes;ont signalé;une indication ;;;;la nuit dernière .;
1;4;français;Je;sais;ce que;tes larmes;ont signalé;;;;;la nuit dernière .;
1;5;français;Je;sais;que ;tes larmes;ont signalé;une indication;qui;a signalé ;une dépression ;la nuit dernière .;
1;6;français;Je;sais;que ;tes larmes;ont signalé;une indication;qui;a signalé;;la nuit dernière .;
1;7;français;Je;sais;ce que ;tes larmes;ont signalé;une indication;qui;a signalé ;une dépression ;la nuit dernière .;
1;8;français;Je;sais;ce que ;tes larmes;ont signalé;une indication;qui;a signalé;;la nuit dernière .;
2;1;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;le cadeau ;;;;à la dernière minute .;
2;2;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;;;;;à la dernière minute .;
2;3;français;Je;me souviens;ce que ;nous;avons tous contribué pour acheter;le cadeau ;;;;à la dernière minute .;
2;4;français;Je;me souviens;ce que ;nous;avons tous contribué pour acheter;;;;;à la dernière minute .;
2;5;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;à Mary ;à la dernière minute .;
2;6;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;;à la dernière minute .;
2;7;français;Je;me souviens;à qui;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;à Mary ;à la dernière minute .;
2;8;français;Je;me souviens;à qui;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;;à la dernière minute .;
3;1;français;Le journal;a rapporté;que ;les critiques;ont revu;le roman ;;;;dans la presse .;
3;2;français;Le journal;a rapporté;que ;les critiques;ont revu;;;;;dans la presse .;
3;3;français;Le journal;a rapporté;ce que ;les critiques;ont revu;le roman;;;;dans la presse .;
3;4;français;Le journal;a rapporté;ce que ;les critiques;ont revu;;;;;dans la presse .;
3;5;français;Le journal;a rapporté;que ;les critiques;ont revu;le roman;qui ;a provoqué;le célèbre auteur;dans la presse .;
3;6;français;Le journal;a rapporté;que ;les critiques;ont revu;le roman;qui ;a provoqué;;dans la presse .;
3;7;français;Le journal;a rapporté;celui qui ;les critiques;ont revu;le roman;qui ;a provoqué;le célèbre auteur;dans la presse .;
3;8;français;Le journal;a rapporté;celui qui ;les critiques;ont revu;le roman;qui ;a provoqué;;dans la presse .;
4;1;français;Je;sais;que ;la famille;a acheté;le tableau;;;;l'année dernière .;
4;2;français;Je;sais;que ;la famille;a acheté;;;;;l'année dernière .;
4;3;français;Je;sais;ce que ;la famille;a acheté;le tableau;;;;l'année dernière .;
4;4;français;Je;sais;ce que ;la famille;a acheté;;;;;l'année dernière .;
4;5;français;Je;sais;que;la famille;a acheté;le tableau;qui ;représente;Monet;l'année dernière .;
4;6;français;Je;sais;que ;la famille;a acheté;le tableau;qui ;représente;;l'année dernière .;
4;7;français;Je;sais;ce qui;la famille;a acheté;le tableau;qui ;représente;Monet;l'année dernière .;
4;8;français;Je;sais;ce qui;la famille;a acheté;le tableau;qui ;représente;;l'année dernière .;
5;1;français;Vous;vous souvenez;que ;l'espion;a vendu;les instructions ;;;;à notre grand regret .;
5;2;français;Vous;vous souvenez;que ;l'espion;a vendu;;;;;à notre grand regret .;
5;3;français;Vous;vous souvenez;ce que ;l'espion;a vendu;les instructions ;;;;à notre grand regret .;
5;4;français;Vous;vous souvenez;ce que ;l'espion;a vendu;;;;;à notre grand regret .;
5;5;français;Vous;vous souvenez;que ;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;le sous-marin;à notre grand regret .;
5;6;français;Vous;vous souvenez;que;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;;à notre grand regret .;
5;7;français;Vous;vous souvenez;ce que ;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;le sous-marin;à notre grand regret .;
5;8;français;Vous;vous souvenez;ce que ;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;;à notre grand regret .;
6;1;français;Elle;m'a dit;qu';il;a;une allergie ;;;;depuis qu'il était jeune .;
6;2;français;Elle;m'a dit;qu';il;a;;;;;depuis qu'il était jeune .;
6;3;français;Elle;m'a dit;ce qu';il;a;une allergie ;;;;depuis qu'il était jeune .;
6;4;français;Elle;m'a dit;ce qu';il;a;;;;;depuis qu'il était jeune .;
6;5;français;Elle;m'a dit;qu';il;a;une allergie ;qui ;est causée ;les cacahuètes;depuis qu'il était jeune .;
6;6;français;Elle;m'a dit;qu';il;a;une allergie ;qui ;est causée ;;depuis qu'il était jeune .;
6;7;français;Elle;m'a dit;ce qu';il;a;une allergie ;qui ;est causée ;les cacahuètes;depuis qu'il était jeune .;
6;8;français;Elle;m'a dit;ce qu';il;a;une allergie ;qui ;est causée ;;depuis qu'il était jeune .;
7;1;français;Elle;sait;que ;le portier;a accepté;la livraison;;;;mardi dernier .;
7;2;français;Elle;sait;que ;le portier;a accepté;;;;;mardi dernier .;
7;3;français;Elle;sait;ce que ;le portier;a accepté;la livraison;;;;mardi dernier .;
7;4;français;Elle;sait;ce que ;le portier;a accepté;;;;;mardi dernier .;
7;5;français;Elle;sait;que;le portier;a accepté;la livraison;qui;a choqué;Sarah;mardi dernier .;
7;6;français;Elle;sait;que;le portier;a accepté;la livraison;qui;a choqué;;mardi dernier .;
7;7;français;Elle;sait;qui;le portier;a accepté;la livraison;qui;a choqué;Sarah;mardi dernier .;
