numero,variable,region,model,langue,surprisal
1,1,1,BERT,Anglais,0.15864574909210205
1,1,2,BERT,Anglais,3.6306700706481934
1,1,3,BERT,Anglais,0.27501180768013
1,1,4,BERT,Anglais,8.904260635375977
1,1,5,BERT,Anglais,17.26706314086914
1,1,6,BERT,Anglais,13.581767082214355
1,1,10,BERT,Anglais,0.038008563220500946
1,2,1,BERT,Anglais,0.16421855986118317
1,2,2,BERT,Anglais,2.7010374069213867
1,2,3,BERT,Anglais,6.98495626449585
1,2,4,BERT,Anglais,14.722431182861328
1,2,5,BERT,Anglais,18.608163833618164
1,2,10,BERT,Anglais,0.03997844085097313
1,3,1,BERT,Anglais,0.29809626936912537
1,3,2,BERT,Anglais,2.4609432220458984
1,3,3,BERT,Anglais,7.31535530090332
1,3,4,BERT,Anglais,9.016136169433594
1,3,5,BERT,Anglais,15.702051162719727
1,3,6,BERT,Anglais,14.07068920135498
1,3,10,BERT,Anglais,0.0605623796582222
1,4,1,BERT,Anglais,0.09939277172088623
1,4,2,BERT,Anglais,1.7105088233947754
1,4,3,BERT,Anglais,0.038914140313863754
1,4,4,BERT,Anglais,10.367483139038086
1,4,5,BERT,Anglais,10.651253700256348
1,4,10,BERT,Anglais,0.04008462280035019
1,5,1,BERT,Anglais,0.19810627400875092
1,5,2,BERT,Anglais,4.815235614776611
1,5,3,BERT,Anglais,0.2397218644618988
1,5,4,BERT,Anglais,7.505364894866943
1,5,5,BERT,Anglais,15.156827926635742
1,5,6,BERT,Anglais,12.899889945983887
1,5,7,BERT,Anglais,0.8408110737800598
1,5,8,BERT,Anglais,13.749443054199219
1,5,9,BERT,Anglais,14.056633949279785
1,5,10,BERT,Anglais,0.023779748007655144
1,6,1,BERT,Anglais,0.2792244851589203
1,6,2,BERT,Anglais,4.105452060699463
1,6,3,BERT,Anglais,0.3321138322353363
1,6,4,BERT,Anglais,9.822736740112305
1,6,5,BERT,Anglais,17.473373413085938
1,6,6,BERT,Anglais,14.88017749786377
1,6,7,BERT,Anglais,4.853421211242676
1,6,8,BERT,Anglais,15.849647521972656
1,6,10,BERT,Anglais,0.025188079103827477
1,7,1,BERT,Anglais,0.6367361545562744
1,7,2,BERT,Anglais,3.846310615539551
1,7,3,BERT,Anglais,8.891304969787598
1,7,4,BERT,Anglais,8.668266296386719
1,7,5,BERT,Anglais,12.921257972717285
1,7,6,BERT,Anglais,12.585003852844238
1,7,7,BERT,Anglais,1.9215232133865356
1,7,8,BERT,Anglais,12.00377082824707
1,7,9,BERT,Anglais,14.1639986038208
1,7,10,BERT,Anglais,0.04927245154976845
1,8,1,BERT,Anglais,0.6191695928573608
1,8,2,BERT,Anglais,3.4912612438201904
1,8,3,BERT,Anglais,8.068231582641602
1,8,4,BERT,Anglais,10.429010391235352
1,8,5,BERT,Anglais,13.856268882751465
1,8,6,BERT,Anglais,13.951395034790039
1,8,7,BERT,Anglais,4.024887561798096
1,8,8,BERT,Anglais,14.993971824645996
1,8,10,BERT,Anglais,0.04999193549156189
2,1,1,BERT,Anglais,0.11087550967931747
2,1,2,BERT,Anglais,3.4765210151672363
2,1,3,BERT,Anglais,4.4219231605529785
2,1,4,BERT,Anglais,0.8948639035224915
2,1,5,BERT,Anglais,2.0118346214294434
2,1,6,BERT,Anglais,12.075610160827637
2,1,10,BERT,Anglais,0.023723537102341652
2,2,1,BERT,Anglais,0.5593780279159546
2,2,2,BERT,Anglais,3.6176040172576904
2,2,3,BERT,Anglais,4.186952590942383
2,2,4,BERT,Anglais,0.9895535111427307
2,2,5,BERT,Anglais,13.549062728881836
2,2,10,BERT,Anglais,0.0471055768430233
2,3,1,BERT,Anglais,0.10074321180582047
2,3,2,BERT,Anglais,3.647735834121704
2,3,3,BERT,Anglais,12.458401679992676
2,3,4,BERT,Anglais,4.951404094696045
2,3,5,BERT,Anglais,1.9525930881500244
2,3,6,BERT,Anglais,12.443041801452637
2,3,10,BERT,Anglais,0.03431927040219307
2,4,1,BERT,Anglais,0.16980542242527008
2,4,2,BERT,Anglais,4.6897687911987305
2,4,3,BERT,Anglais,7.0723137855529785
2,4,4,BERT,Anglais,1.8825023174285889
2,4,5,BERT,Anglais,11.453028678894043
2,4,10,BERT,Anglais,0.05293627083301544
2,5,1,BERT,Anglais,0.42070454359054565
2,5,2,BERT,Anglais,2.5928993225097656
2,5,3,BERT,Anglais,2.974296808242798
2,5,4,BERT,Anglais,0.42984145879745483
2,5,5,BERT,Anglais,3.614089012145996
2,5,6,BERT,Anglais,11.20970344543457
2,5,7,BERT,Anglais,4.828845500946045
2,5,8,BERT,Anglais,2.678253650665283
2,5,9,BERT,Anglais,14.387395858764648
2,5,10,BERT,Anglais,0.04044504463672638
2,6,1,BERT,Anglais,0.3618656396865845
2,6,2,BERT,Anglais,2.7539658546447754
2,6,3,BERT,Anglais,2.48337984085083
2,6,4,BERT,Anglais,0.4216383695602417
2,6,5,BERT,Anglais,3.820901870727539
2,6,6,BERT,Anglais,11.092072486877441
2,6,7,BERT,Anglais,4.375810146331787
2,6,8,BERT,Anglais,3.945803642272949
2,6,10,BERT,Anglais,0.0381503589451313
2,7,1,BERT,Anglais,0.6409199237823486
2,7,2,BERT,Anglais,3.608996868133545
2,7,3,BERT,Anglais,12.758336067199707
2,7,4,BERT,Anglais,3.9504950046539307
2,7,5,BERT,Anglais,2.7410969734191895
2,7,6,BERT,Anglais,10.708884239196777
2,7,7,BERT,Anglais,5.143304824829102
2,7,8,BERT,Anglais,2.8512651920318604
2,7,9,BERT,Anglais,13.303577423095703
2,7,10,BERT,Anglais,0.05568792670965195
2,8,1,BERT,Anglais,0.5558550953865051
2,8,2,BERT,Anglais,4.2857208251953125
2,8,3,BERT,Anglais,12.84948444366455
2,8,4,BERT,Anglais,4.268420696258545
2,8,5,BERT,Anglais,2.769163131713867
2,8,6,BERT,Anglais,10.641356468200684
2,8,7,BERT,Anglais,4.707687854766846
2,8,8,BERT,Anglais,3.6114721298217773
2,8,10,BERT,Anglais,0.05652463436126709
3,1,1,BERT,Anglais,4.741209030151367
3,1,2,BERT,Anglais,2.177471160888672
3,1,3,BERT,Anglais,0.1984669715166092
3,1,4,BERT,Anglais,6.5003509521484375
3,1,5,BERT,Anglais,4.799112319946289
3,1,6,BERT,Anglais,6.0033464431762695
3,1,10,BERT,Anglais,0.10955758392810822
3,2,1,BERT,Anglais,2.895759344100952
3,2,2,BERT,Anglais,2.9626646041870117
3,2,3,BERT,Anglais,4.095338344573975
3,2,4,BERT,Anglais,11.747271537780762
3,2,5,BERT,Anglais,12.970623016357422
3,2,10,BERT,Anglais,0.16935394704341888
3,3,1,BERT,Anglais,3.0128462314605713
3,3,2,BERT,Anglais,5.229831695556641
3,3,3,BERT,Anglais,9.21791934967041
3,3,4,BERT,Anglais,2.9763035774230957
3,3,5,BERT,Anglais,10.581780433654785
3,3,6,BERT,Anglais,7.159661293029785
3,3,10,BERT,Anglais,0.07663832604885101
3,4,1,BERT,Anglais,3.9834649562835693
3,4,2,BERT,Anglais,5.075799465179443
3,4,3,BERT,Anglais,2.0433764457702637
3,4,4,BERT,Anglais,9.987902641296387
3,4,5,BERT,Anglais,10.888542175292969
3,4,10,BERT,Anglais,0.08471889793872833
3,5,1,BERT,Anglais,2.1696996688842773
3,5,2,BERT,Anglais,1.6178979873657227
3,5,3,BERT,Anglais,0.2289298176765442
3,5,4,BERT,Anglais,5.268890857696533
3,5,5,BERT,Anglais,5.834936141967773
3,5,6,BERT,Anglais,3.4006752967834473
3,5,7,BERT,Anglais,3.2301015853881836
3,5,8,BERT,Anglais,10.25502872467041
3,5,9,BERT,Anglais,18.43660545349121
3,5,10,BERT,Anglais,0.014475495554506779
3,6,1,BERT,Anglais,2.4445385932922363
3,6,2,BERT,Anglais,1.7031612396240234
3,6,3,BERT,Anglais,0.2674649655818939
3,6,4,BERT,Anglais,5.74433708190918
3,6,5,BERT,Anglais,5.790071487426758
3,6,6,BERT,Anglais,6.544742584228516
3,6,7,BERT,Anglais,5.507118225097656
3,6,8,BERT,Anglais,18.15692138671875
3,6,10,BERT,Anglais,0.044126734137535095
3,7,1,BERT,Anglais,2.10243558883667
3,7,2,BERT,Anglais,5.125650882720947
3,7,3,BERT,Anglais,13.096390724182129
3,7,4,BERT,Anglais,3.1653695106506348
3,7,5,BERT,Anglais,6.91754674911499
3,7,6,BERT,Anglais,2.0732650756835938
3,7,7,BERT,Anglais,1.9356743097305298
3,7,8,BERT,Anglais,8.932342529296875
3,7,9,BERT,Anglais,18.87291145324707
3,7,10,BERT,Anglais,0.009658644907176495
3,8,1,BERT,Anglais,2.3323426246643066
3,8,2,BERT,Anglais,5.174765110015869
3,8,3,BERT,Anglais,12.361818313598633
3,8,4,BERT,Anglais,2.649054527282715
3,8,5,BERT,Anglais,7.041722774505615
3,8,6,BERT,Anglais,6.018550872802734
3,8,7,BERT,Anglais,4.781224250793457
3,8,8,BERT,Anglais,16.62823486328125
3,8,10,BERT,Anglais,0.029088318347930908
4,1,1,BERT,Anglais,0.3162582218647003
4,1,2,BERT,Anglais,3.1073427200317383
4,1,3,BERT,Anglais,0.03605265915393829
4,1,4,BERT,Anglais,4.194272041320801
4,1,5,BERT,Anglais,1.4043928384780884
4,1,6,BERT,Anglais,9.844414710998535
4,1,10,BERT,Anglais,0.026935841888189316
4,2,1,BERT,Anglais,0.35791733860969543
4,2,2,BERT,Anglais,3.261531352996826
4,2,3,BERT,Anglais,1.2983635663986206
4,2,4,BERT,Anglais,5.198873519897461
4,2,5,BERT,Anglais,13.71599006652832
4,2,10,BERT,Anglais,0.05020124465227127
4,3,1,BERT,Anglais,2.2445008754730225
4,3,2,BERT,Anglais,3.3983871936798096
4,3,3,BERT,Anglais,13.189398765563965
4,3,4,BERT,Anglais,5.121490955352783
4,3,5,BERT,Anglais,2.717604160308838
4,3,6,BERT,Anglais,9.479635238647461
4,3,10,BERT,Anglais,0.10456644743680954
4,4,1,BERT,Anglais,2.6492011547088623
4,4,2,BERT,Anglais,3.5759878158569336
4,4,3,BERT,Anglais,1.7323678731918335
4,4,4,BERT,Anglais,6.795151233673096
4,4,5,BERT,Anglais,8.181896209716797
4,4,10,BERT,Anglais,0.12189725041389465
4,5,1,BERT,Anglais,2.074810743331909
4,5,2,BERT,Anglais,2.8841590881347656
4,5,3,BERT,Anglais,0.03290499374270439
4,5,4,BERT,Anglais,4.06374454498291
4,5,5,BERT,Anglais,1.326459527015686
4,5,6,BERT,Anglais,0.5803412795066833
4,5,7,BERT,Anglais,4.166938781738281
4,5,8,BERT,Anglais,4.695938587188721
4,5,9,BERT,Anglais,17.428499221801758
4,5,10,BERT,Anglais,0.02315552532672882
4,6,1,BERT,Anglais,1.2585158348083496
4,6,2,BERT,Anglais,2.5554306507110596
4,6,3,BERT,Anglais,0.4855425953865051
4,6,4,BERT,Anglais,4.695075035095215
4,6,5,BERT,Anglais,3.7402679920196533
4,6,6,BERT,Anglais,1.5375946760177612
4,6,7,BERT,Anglais,10.692569732666016
4,6,8,BERT,Anglais,15.608014106750488
4,6,10,BERT,Anglais,0.05232391878962517
4,7,1,BERT,Anglais,0.8927351832389832
4,7,2,BERT,Anglais,2.4934873580932617
4,7,3,BERT,Anglais,12.244454383850098
4,7,4,BERT,Anglais,10.6948881149292
4,7,5,BERT,Anglais,1.4297901391983032
4,7,6,BERT,Anglais,0.5873817205429077
4,7,7,BERT,Anglais,4.317495822906494
4,7,8,BERT,Anglais,5.516521453857422
4,7,9,BERT,Anglais,16.94265365600586
4,7,10,BERT,Anglais,0.04266330972313881
4,8,1,BERT,Anglais,0.9581772685050964
4,8,2,BERT,Anglais,4.403597354888916
4,8,3,BERT,Anglais,8.645359992980957
4,8,4,BERT,Anglais,9.873188972473145
4,8,5,BERT,Anglais,6.758584022521973
4,8,6,BERT,Anglais,1.6650171279907227
4,8,7,BERT,Anglais,7.57899808883667
4,8,8,BERT,Anglais,16.629899978637695
4,8,10,BERT,Anglais,0.051212962716817856
5,1,1,BERT,Anglais,4.361923694610596
5,1,2,BERT,Anglais,7.754183292388916
5,1,3,BERT,Anglais,2.0001847743988037
5,1,4,BERT,Anglais,11.910472869873047
5,1,5,BERT,Anglais,10.862935066223145
5,1,6,BERT,Anglais,13.111846923828125
5,1,10,BERT,Anglais,0.11274061352014542
5,2,1,BERT,Anglais,4.214634418487549
5,2,2,BERT,Anglais,7.024614334106445
5,2,3,BERT,Anglais,1.9212981462478638
5,2,4,BERT,Anglais,12.93161678314209
5,2,5,BERT,Anglais,13.35345458984375
5,2,10,BERT,Anglais,0.10458771139383316
5,3,1,BERT,Anglais,4.909602642059326
5,3,2,BERT,Anglais,6.155881881713867
5,3,3,BERT,Anglais,9.394207000732422
5,3,4,BERT,Anglais,11.959946632385254
5,3,5,BERT,Anglais,13.86450481414795
5,3,6,BERT,Anglais,16.96814727783203
5,3,10,BERT,Anglais,0.42570212483406067
5,4,1,BERT,Anglais,4.497668266296387
5,4,2,BERT,Anglais,6.775191783905029
5,4,3,BERT,Anglais,8.230928421020508
5,4,4,BERT,Anglais,12.443168640136719
5,4,5,BERT,Anglais,13.546919822692871
5,4,10,BERT,Anglais,0.31130489706993103
5,5,1,BERT,Anglais,4.728090286254883
5,5,2,BERT,Anglais,5.513344764709473
5,5,3,BERT,Anglais,1.3038005828857422
5,5,4,BERT,Anglais,12.756717681884766
5,5,5,BERT,Anglais,10.341134071350098
5,5,6,BERT,Anglais,8.02109432220459
5,5,7,BERT,Anglais,2.5360870361328125
5,5,8,BERT,Anglais,4.447369575500488
5,5,9,BERT,Anglais,5.951310157775879
5,5,10,BERT,Anglais,0.08757942169904709
5,6,1,BERT,Anglais,4.610317230224609
5,6,2,BERT,Anglais,6.255167484283447
5,6,3,BERT,Anglais,1.375678300857544
5,6,4,BERT,Anglais,12.669427871704102
5,6,5,BERT,Anglais,11.112947463989258
5,6,6,BERT,Anglais,8.747617721557617
5,6,7,BERT,Anglais,2.878922462463379
5,6,8,BERT,Anglais,6.947409152984619
5,6,10,BERT,Anglais,0.049418386071920395
5,7,1,BERT,Anglais,4.244951248168945
5,7,2,BERT,Anglais,3.9748830795288086
5,7,3,BERT,Anglais,8.756545066833496
5,7,4,BERT,Anglais,11.991694450378418
5,7,5,BERT,Anglais,12.575704574584961
5,7,6,BERT,Anglais,10.655879974365234
5,7,7,BERT,Anglais,2.8248672485351562
5,7,8,BERT,Anglais,4.507818698883057
5,7,9,BERT,Anglais,6.023501396179199
5,7,10,BERT,Anglais,0.47111931443214417
5,8,1,BERT,Anglais,4.189500331878662
5,8,2,BERT,Anglais,4.474290370941162
5,8,3,BERT,Anglais,7.983445644378662
5,8,4,BERT,Anglais,12.443029403686523
5,8,5,BERT,Anglais,12.943482398986816
5,8,6,BERT,Anglais,11.237391471862793
5,8,7,BERT,Anglais,3.054267406463623
5,8,8,BERT,Anglais,7.39381217956543
5,8,10,BERT,Anglais,0.3338567316532135
6,1,1,BERT,Anglais,5.775508880615234
6,1,2,BERT,Anglais,1.5268616676330566
6,1,3,BERT,Anglais,0.0229586660861969
6,1,4,BERT,Anglais,1.0112611055374146
6,1,5,BERT,Anglais,0.014021123759448528
6,1,6,BERT,Anglais,15.425393104553223
6,1,10,BERT,Anglais,0.017051324248313904
6,2,1,BERT,Anglais,4.3595428466796875
6,2,2,BERT,Anglais,2.429537057876587
6,2,3,BERT,Anglais,4.415134906768799
6,2,4,BERT,Anglais,0.420122355222702
6,2,5,BERT,Anglais,5.812944412231445
6,2,10,BERT,Anglais,0.035960614681243896
6,3,1,BERT,Anglais,6.475868225097656
6,3,2,BERT,Anglais,0.9099995493888855
6,3,3,BERT,Anglais,14.084465026855469
6,3,4,BERT,Anglais,1.6699903011322021
