numero,variable,region,model,langue,surprisal
1,1,1,BERT,Français,2.3230732873084663
1,1,2,BERT,Français,5.56657692557731
1,1,3,BERT,Français,0.2629515813666413
1,1,4,BERT,Français,14.810692706873954
1,1,5,BERT,Français,10.596450771153108
1,1,6,BERT,Français,18.586508033450432
1,1,10,BERT,Français,10.874591574760515
1,2,1,BERT,Français,2.984634803835827
1,2,2,BERT,Français,4.339277645309104
1,2,3,BERT,Français,0.4103496534670338
1,2,4,BERT,Français,14.456393693188568
1,2,5,BERT,Français,19.486632740227908
1,2,10,BERT,Français,11.769625481008296
1,3,1,BERT,Français,4.476267447240142
1,3,2,BERT,Français,8.285117586095339
1,3,3,BERT,Français,1.0040717543370128
1,3,4,BERT,Français,11.372084890582018
1,3,5,BERT,Français,11.093132243868302
1,3,6,BERT,Français,17.677975598042714
1,3,10,BERT,Français,16.8949371322675
1,4,1,BERT,Français,5.487004133667677
1,4,2,BERT,Français,6.152270589482748
1,4,3,BERT,Français,0.6952513882452458
1,4,4,BERT,Français,11.153425651577148
1,4,5,BERT,Français,17.465248420924485
1,4,10,BERT,Français,13.554594454560815
1,5,1,BERT,Français,2.6486846442583096
1,5,2,BERT,Français,6.159600657449187
1,5,3,BERT,Français,0.507631261900787
1,5,4,BERT,Français,12.688981112608278
1,5,5,BERT,Français,8.60959760508097
1,5,6,BERT,Français,18.79525051784991
1,5,7,BERT,Français,3.437144581506498
1,5,8,BERT,Français,6.957543727024113
1,5,9,BERT,Français,12.685379003495758
1,5,10,BERT,Français,12.515909507088503
1,6,1,BERT,Français,3.7676524173544883
1,6,2,BERT,Français,6.193355983656559
1,6,3,BERT,Français,0.40515832156546994
1,6,4,BERT,Français,15.19805151971693
1,6,5,BERT,Français,9.232510690384432
1,6,6,BERT,Français,20.080327755792794
1,6,7,BERT,Français,4.136405986892543
1,6,8,BERT,Français,7.479416565898053
1,6,10,BERT,Français,13.602914261990804
1,7,1,BERT,Français,4.0808424266786485
1,7,2,BERT,Français,9.449163518592366
1,7,3,BERT,Français,1.6775836945852753
1,7,4,BERT,Français,12.19521600190992
1,7,5,BERT,Français,7.908529585759846
1,7,6,BERT,Français,18.871473511937484
1,7,7,BERT,Français,5.953312934031963
1,7,8,BERT,Français,5.248953507469905
1,7,9,BERT,Français,13.65939941381573
1,7,10,BERT,Français,15.013855633185626
1,8,1,BERT,Français,4.432542409618229
1,8,2,BERT,Français,8.735576585893998
1,8,3,BERT,Français,1.682608779094638
1,8,4,BERT,Français,13.341963548308788
1,8,5,BERT,Français,9.786435919598418
1,8,6,BERT,Français,20.17402214124348
1,8,7,BERT,Français,4.539251407926436
1,8,8,BERT,Français,7.453190301538655
1,8,10,BERT,Français,15.218730345656127
2,1,1,BERT,Français,2.737850659006714
2,1,2,BERT,Français,1.5924307530496447
2,1,3,BERT,Français,1.3061794712808317
2,1,4,BERT,Français,0.0440827595594316
2,1,5,BERT,Français,7.102069906495552
2,1,6,BERT,Français,10.61084436150519
2,1,10,BERT,Français,11.73031512800905
2,2,1,BERT,Français,3.2580245231973644
2,2,2,BERT,Français,2.6997410143615084
2,2,3,BERT,Français,1.3556420933754416
2,2,4,BERT,Français,0.0748756229367403
2,2,5,BERT,Français,12.015564156285397
2,2,10,BERT,Français,13.844501400851833
2,3,1,BERT,Français,3.169355013064531
2,3,2,BERT,Français,4.9063873976440755
2,3,3,BERT,Français,0.9106360005724212
2,3,4,BERT,Français,0.014149205408506787
2,3,5,BERT,Français,6.89370799924224
2,3,6,BERT,Français,9.871969953797281
2,3,10,BERT,Français,12.166504637371093
2,4,1,BERT,Français,3.658356853036706
2,4,2,BERT,Français,4.350579564628802
2,4,3,BERT,Français,1.374697828256776
2,4,4,BERT,Français,0.023404937450911052
2,4,5,BERT,Français,12.801053393867825
2,4,10,BERT,Français,13.017343458216848
2,5,1,BERT,Français,2.7798274687650135
2,5,2,BERT,Français,1.6907483464537492
2,5,3,BERT,Français,0.6569872869640102
2,5,4,BERT,Français,0.02074176578481722
2,5,5,BERT,Français,7.879783009198227
2,5,6,BERT,Français,5.254875650916621
2,5,7,BERT,Français,0.5090476706876833
2,5,8,BERT,Français,3.4924667668731177
2,5,9,BERT,Français,14.132699105265
2,5,10,BERT,Français,14.361889385247121
2,6,1,BERT,Français,2.654567951204936
2,6,2,BERT,Français,1.931385707343771
2,6,3,BERT,Français,0.8113417380467773
2,6,4,BERT,Français,0.026650429835912304
2,6,5,BERT,Français,7.679297492359631
2,6,6,BERT,Français,4.2094833581026805
2,6,7,BERT,Français,0.320269072600518
2,6,8,BERT,Français,6.81469987638705
2,6,10,BERT,Français,14.169747773457921
2,7,1,BERT,Français,3.632769903018577
2,7,2,BERT,Français,1.6913698895649159
2,7,3,BERT,Français,7.95920461513383
2,7,4,BERT,Français,0.1703497428694412
2,7,5,BERT,Français,9.310492811449835
2,7,6,BERT,Français,3.2227177918719265
2,7,7,BERT,Français,0.3806687194400464
2,7,8,BERT,Français,2.8481219089608616
2,7,9,BERT,Français,14.390254370452338
2,7,10,BERT,Français,16.241897688184906
2,8,1,BERT,Français,4.732820695464849
2,8,2,BERT,Français,2.1960569207711926
2,8,3,BERT,Français,7.7581582107800156
2,8,4,BERT,Français,0.3736272181026862
2,8,5,BERT,Français,8.833712465358603
2,8,6,BERT,Français,4.525022284782256
2,8,7,BERT,Français,0.3862616724622136
2,8,8,BERT,Français,6.674682602956313
2,8,10,BERT,Français,14.783748667134116
3,1,1,BERT,Français,8.77095355824546
3,1,2,BERT,Français,9.507602654497978
3,1,3,BERT,Français,1.3541596424591926
3,1,4,BERT,Français,4.317260391621121
3,1,5,BERT,Français,11.494395578212378
3,1,6,BERT,Français,12.706832892632493
3,1,10,BERT,Français,14.00969257996282
3,2,1,BERT,Français,9.347448099818564
3,2,2,BERT,Français,8.158279800731057
3,2,3,BERT,Français,1.562986332113784
3,2,4,BERT,Français,8.326426298056907
3,2,5,BERT,Français,17.917666087238086
3,2,10,BERT,Français,14.856758958040917
3,3,1,BERT,Français,7.9393043981069304
3,3,2,BERT,Français,12.753258386880349
3,3,3,BERT,Français,3.657673128371727
3,3,4,BERT,Français,6.302738951205983
3,3,5,BERT,Français,13.595358121850216
3,3,6,BERT,Français,9.812402057990223
3,3,10,BERT,Français,14.845866875175549
3,4,1,BERT,Français,7.978168915003922
3,4,2,BERT,Français,10.326188995141113
3,4,3,BERT,Français,2.4656859548359984
3,4,4,BERT,Français,10.829782428408786
3,4,5,BERT,Français,13.351715936285384
3,4,10,BERT,Français,17.11673528860871
3,5,1,BERT,Français,7.426593192956561
3,5,2,BERT,Français,6.086280681646594
3,5,3,BERT,Français,2.476369132888349
3,5,4,BERT,Français,3.8222206823376546
3,5,5,BERT,Français,11.92614233461849
3,5,6,BERT,Français,9.743368593646416
3,5,7,BERT,Français,4.967605795191996
3,5,8,BERT,Français,11.519710857285512
3,5,9,BERT,Français,8.504937686913292
3,5,10,BERT,Français,16.935269403515207
3,6,1,BERT,Français,9.72354329594282
3,6,2,BERT,Français,9.262782060562365
